Pokemon,Battle Rating,Energy Remaining,HP Remaining
Altaria DB+SA/Ft,144,59,0
Annihilape C+RF/IP,128,48,0
Annihilape (Shadow) C+RF/IP,100,21,0
Azumarill B+IB/PR,348,45,0
Bastiodon SD+SE/Ft,507,1,2
Blastoise RO+HC/SkB,496,0,0
Charjabug VS+XS/D,111,27,0
Clodsire PSt+SE/Eq,582,0,23
Corsola (Galarian) A+NSh/PG,68,0,0
Corviknight SdA+AC/Pbk,93,95,0
Cradily Ac+RT/GK,719,1,61
Diggersby QA+FiP/ScS,123,86,0
Doublade SC+SSw/GB,108,18,0
Dunsparce RO+DR/RS,388,27,0
Dusclops H+IP/ShP,106,18,0
Dusknoir (Shadow) A+DyP/ShP,83,34,0
Empoleon MSo+HC/DrlP,532,0,9
Empoleon (Shadow) MSo+HC/DrlP,135,95,0
Fearow Pk+DrlP/DR,157,45,0
Feraligatr SC+HC/IB,112,27,0
Florges FW+TBl/CW,550,1,14
Forretress BBi+RT/ST,571,27,20
Furret SkP+Sw/TBl,59,0,0
Gastrodon MSl+BS/WP,80,18,0
Golisopod FC+XS/AJ,586,0,24
Gourgeist (Super) I+SB/SeB,85,9,0
Greninja WSh+HC/NS,100,18,0
Jellicent H+S/SB,89,27,0
Lickilicky RO+BS/SB,375,9,0
Ludicolo A+WBW/LfS,78,59,0
Malamar Psy+SP/FoP,82,36,0
Mandibuzz AS+FoP/SB,291,45,0
Marowak (Shadow) MSl+BC/RS,68,46,0
Moltres (Galarian) SkP+Fl/BrB,403,9,0
Morpeko (Full Belly) TS+AuW/PsF,88,9,0
Murkrow Pk+DrlP/FoP,103,95,0
Primeape KC+RF/CC,125,33,0
Regidrago DB+DrE/VG,561,0,17
Sableye SC+FoP/PG,92,18,0
Sableye (Shadow) SC+FoP/PG,72,50,0
Sandslash (Alolan) PS+IP/DR,112,50,0
Scizor (Shadow) BP+NS/TBl,147,36,0
Sealeo PS+S/BS,485,18,0
Sealeo (Shadow) PS+S/BS,532,0,9
Spidops SC+Lu/RT,305,36,0
Steelix (Shadow) TF+Cr/PsF,91,18,0
Stunfisk TS+MB/D,418,0,0
Talonflame I+Fl/FmC,66,50,0
Talonflame (Shadow) I+FmC/Fl,66,50,0
Tinkaton FW+PR/Bd,407,39,0
Togekiss Pk+Psh/AuS,564,0,18
Wigglytuff Ch+IW/Sw,450,45,0
