Pokemon,Battle Rating,Energy Remaining,HP Remaining
Altaria DB+SA/Ft,616,0,36
Annihilape C+RF/IP,464,3,0
Annihilape (Shadow) C+RF/IP,310,53,0
Azumarill B+IB/PR,779,0,86
Bastiodon SD+SE/Ft,662,22,50
Blastoise RO+HC/SkB,694,3,60
Charjabug VS+XS/D,545,4,14
Clodsire PSt+SE/Eq,230,34,0
Corsola (Galarian) A+NSh/PG,678,0,55
Corviknight SdA+AC/Pbk,681,3,56
Cradily Ac+RT/GK,274,16,0
Diggersby QA+FiP/ScS,178,16,0
Doublade SC+SSw/GB,500,30,0
Dunsparce RO+DR/RS,652,0,47
Dusclops H+IP/ShP,610,0,34
Dusknoir (Shadow) A+DyP/ShP,294,53,0
Empoleon MSo+HC/DrlP,698,3,61
Empoleon (Shadow) MSo+HC/DrlP,636,3,42
Fearow Pk+DrlP/DR,590,3,28
Feraligatr SC+HC/IB,633,3,41
Florges FW+TBl/CW,522,18,7
Forretress BBi+RT/ST,506,0,2
Furret SkP+Sw/TBl,548,0,15
Gastrodon MSl+BS/WP,139,35,0
Golisopod FC+XS/AJ,561,3,19
Gourgeist (Super) I+SB/SeB,302,57,0
Greninja WSh+HC/NS,452,53,0
Jellicent H+S/SB,639,3,43
Lickilicky RO+BS/SB,597,0,30
Ludicolo A+WBW/LfS,410,21,0
Malamar Psy+SP/FoP,577,0,24
Mandibuzz AS+FoP/SB,850,0,108
Marowak (Shadow) MSl+BC/RS,112,17,0
Moltres (Galarian) SkP+Fl/BrB,659,3,49
Morpeko (Full Belly) TS+AuW/PsF,398,3,0
Murkrow Pk+DrlP/FoP,659,53,49
Primeape KC+RF/CC,232,17,0
Regidrago DB+DrE/VG,161,71,0
Sableye SC+FoP/PG,574,0,23
Sableye (Shadow) SC+FoP/PG,525,3,8
Sandslash (Alolan) PS+IP/DR,620,0,37
Scizor (Shadow) BP+NS/TBl,701,3,62
Sealeo PS+S/BS,639,3,43
Sealeo (Shadow) PS+S/BS,577,3,24
Spidops SC+Lu/RT,438,34,0
Steelix (Shadow) TF+Cr/PsF,238,16,0
Stunfisk TS+MB/D,148,7,0
Talonflame I+Fl/FmC,607,3,33
Talonflame (Shadow) I+FmC/Fl,538,3,12
Tinkaton FW+PR/Bd,610,0,34
Togekiss Pk+Psh/AuS,691,3,59
Wigglytuff Ch+IW/Sw,594,0,29
