Pokemon,Battle Rating,Energy Remaining,HP Remaining
Altaria DB+SA/Ft,460,2,0
Annihilape C+RF/IP,146,37,0
Annihilape (Shadow) C+RF/IP,114,20,0
Azumarill B+IB/PR,439,18,0
Bastiodon SD+SE/Ft,828,3,94
Blastoise RO+HC/SkB,867,2,105
Charjabug VS+XS/D,384,20,0
Clodsire PSt+SE/Eq,406,1,0
Corsola (Galarian) A+NSh/PG,215,9,0
Corviknight SdA+AC/Pbk,541,11,12
Cradily Ac+RT/GK,720,12,63
Diggersby QA+FiP/ScS,765,2,76
Doublade SC+SSw/GB,334,12,0
Dunsparce RO+DR/RS,881,3,109
Dusclops H+IP/ShP,268,18,0
Dusknoir (Shadow) A+DyP/ShP,144,38,0
Empoleon MSo+HC/DrlP,699,3,57
Empoleon (Shadow) MSo+HC/DrlP,685,100,53
Fearow Pk+DrlP/DR,225,1,0
Feraligatr SC+HC/IB,741,3,69
Florges FW+TBl/CW,418,11,0
Forretress BBi+RT/ST,681,2,52
Furret SkP+Sw/TBl,783,3,81
Gastrodon MSl+BS/WP,555,2,16
Golisopod FC+XS/AJ,361,30,0
Gourgeist (Super) I+SB/SeB,248,0,0
Greninja WSh+HC/NS,772,100,78
Jellicent H+S/SB,217,9,0
Lickilicky RO+BS/SB,881,3,109
Ludicolo A+WBW/LfS,615,2,33
Malamar Psy+SP/FoP,244,29,0
Mandibuzz AS+FoP/SB,368,11,0
Marowak (Shadow) MSl+BC/RS,248,38,0
Moltres (Galarian) SkP+Fl/BrB,720,2,63
Morpeko (Full Belly) TS+AuW/PsF,748,100,71
Murkrow Pk+DrlP/FoP,274,1,0
Primeape KC+RF/CC,318,38,0
Regidrago DB+DrE/VG,615,2,33
Sableye SC+FoP/PG,392,11,0
Sableye (Shadow) SC+FoP/PG,476,2,0
Sandslash (Alolan) PS+IP/DR,751,99,72
Scizor (Shadow) BP+NS/TBl,342,20,0
Sealeo PS+S/BS,699,3,57
Sealeo (Shadow) PS+S/BS,657,3,45
Spidops SC+Lu/RT,297,29,0
Steelix (Shadow) TF+Cr/PsF,615,3,33
Stunfisk TS+MB/D,562,4,18
Talonflame I+Fl/FmC,322,3,0
Talonflame (Shadow) I+FmC/Fl,170,29,0
Tinkaton FW+PR/Bd,667,2,48
Togekiss Pk+Psh/AuS,95,0,0
Wigglytuff Ch+IW/Sw,145,37,0
