Pokemon,Battle Rating,Energy Remaining,HP Remaining
Altaria DB+SA/Ft,369,50,0
Annihilape C+RF/IP,453,45,0
Annihilape (Shadow) C+RF/IP,532,100,8
Azumarill B+IB/PR,463,9,0
Bastiodon SD+SE/Ft,223,50,0
Blastoise RO+HC/SkB,353,5,0
Charjabug VS+XS/D,432,55,0
Clodsire PSt+SE/Eq,324,43,0
Corsola (Galarian) A+NSh/PG,770,100,67
Corviknight SdA+AC/Pbk,608,5,27
Cradily Ac+RT/GK,340,43,0
Diggersby QA+FiP/ScS,540,5,10
Doublade SC+SSw/GB,729,84,57
Dunsparce RO+DR/RS,328,29,0
Dusclops H+IP/ShP,665,100,41
Dusknoir (Shadow) A+DyP/ShP,794,84,73
Empoleon MSo+HC/DrlP,495,0,0
Empoleon (Shadow) MSo+HC/DrlP,709,5,52
Fearow Pk+DrlP/DR,455,45,0
Feraligatr SC+HC/IB,576,100,19
Florges FW+TBl/CW,272,43,0
Forretress BBi+RT/ST,339,29,0
Furret SkP+Sw/TBl,612,5,28
Gastrodon MSl+BS/WP,657,5,39
Golisopod FC+XS/AJ,425,0,0
Gourgeist (Super) I+SB/SeB,750,100,62
Greninja WSh+HC/NS,378,29,0
Jellicent H+S/SB,685,100,46
Lickilicky RO+BS/SB,325,29,0
Ludicolo A+WBW/LfS,564,5,16
Malamar Psy+SP/FoP,653,100,38
Mandibuzz AS+FoP/SB,560,2,15
Marowak (Shadow) MSl+BC/RS,460,55,0
Moltres (Galarian) SkP+Fl/BrB,500,5,0
Morpeko (Full Belly) TS+AuW/PsF,283,1,0
Murkrow Pk+DrlP/FoP,340,5,0
Primeape KC+RF/CC,288,1,0
Regidrago DB+DrE/VG,377,5,0
Sableye SC+FoP/PG,436,45,0
Sableye (Shadow) SC+FoP/PG,612,100,28
Sandslash (Alolan) PS+IP/DR,388,45,0
Scizor (Shadow) BP+NS/TBl,564,46,16
Sealeo PS+S/BS,318,15,0
Sealeo (Shadow) PS+S/BS,380,100,0
Spidops SC+Lu/RT,354,36,0
Steelix (Shadow) TF+Cr/PsF,265,1,0
Stunfisk TS+MB/D,302,29,0
Talonflame I+Fl/FmC,470,45,0
Talonflame (Shadow) I+FmC/Fl,520,100,5
Tinkaton FW+PR/Bd,248,29,0
Togekiss Pk+Psh/AuS,269,5,0
Wigglytuff Ch+IW/Sw,174,46,0
