Pokemon,Battle Rating,Energy Remaining,HP Remaining
Altaria DB+SA/Ft,434,40,0
Annihilape C+RF/IP,117,0,0
Annihilape (Shadow) C+RF/IP,107,65,0
Azumarill B+IB/PR,538,0,10
Bastiodon SD+SE/Ft,817,0,82
Blastoise RO+HC/SkB,589,0,23
Charjabug VS+XS/D,190,70,0
Clodsire PSt+SE/Eq,221,55,0
Corsola (Galarian) A+NSh/PG,413,35,0
Corviknight SdA+AC/Pbk,153,60,0
Cradily Ac+RT/GK,624,0,32
Diggersby QA+FiP/ScS,135,75,0
Doublade SC+SSw/GB,188,30,0
Dunsparce RO+DR/RS,519,10,5
Dusclops H+IP/ShP,481,30,0
Dusknoir (Shadow) A+DyP/ShP,216,25,0
Empoleon MSo+HC/DrlP,196,70,0
Empoleon (Shadow) MSo+HC/DrlP,180,50,0
Fearow Pk+DrlP/DR,193,70,0
Feraligatr SC+HC/IB,176,50,0
Florges FW+TBl/CW,445,75,0
Forretress BBi+RT/ST,476,50,0
Furret SkP+Sw/TBl,503,0,1
Gastrodon MSl+BS/WP,116,35,0
Golisopod FC+XS/AJ,531,0,8
Gourgeist (Super) I+SB/SeB,143,15,0
Greninja WSh+HC/NS,173,30,0
Jellicent H+S/SB,157,75,0
Lickilicky RO+BS/SB,732,0,60
Ludicolo A+WBW/LfS,171,70,0
Malamar Psy+SP/FoP,467,60,0
Mandibuzz AS+FoP/SB,593,0,24
Marowak (Shadow) MSl+BC/RS,144,20,0
Moltres (Galarian) SkP+Fl/BrB,189,65,0
Morpeko (Full Belly) TS+AuW/PsF,161,30,0
Murkrow Pk+DrlP/FoP,162,50,0
Primeape KC+RF/CC,125,60,0
Regidrago DB+DrE/VG,431,60,0
Sableye SC+FoP/PG,184,60,0
Sableye (Shadow) SC+FoP/PG,176,50,0
Sandslash (Alolan) PS+IP/DR,554,0,14
Scizor (Shadow) BP+NS/TBl,209,50,0
Sealeo PS+S/BS,550,0,13
Sealeo (Shadow) PS+S/BS,145,75,0
Spidops SC+Lu/RT,366,60,0
Steelix (Shadow) TF+Cr/PsF,170,55,0
Stunfisk TS+MB/D,360,15,0
Talonflame I+Fl/FmC,125,0,0
Talonflame (Shadow) I+FmC/Fl,118,75,0
Tinkaton FW+PR/Bd,429,25,0
Togekiss Pk+Psh/AuS,191,50,0
Wigglytuff Ch+IW/Sw,558,0,15
