Pokemon,Battle Rating,Energy Remaining,HP Remaining
Altaria DB+SA/Ft,659,12,45
Annihilape C+RF/IP,748,3,70
Annihilape (Shadow) C+RF/IP,705,3,58
Azumarill B+IB/PR,574,6,21
Bastiodon SD+SE/Ft,609,0,31
Blastoise RO+HC/SkB,549,6,14
Charjabug VS+XS/D,560,6,17
Clodsire PSt+SE/Eq,271,27,0
Corsola (Galarian) A+NSh/PG,377,12,0
Corviknight SdA+AC/Pbk,360,42,0
Cradily Ac+RT/GK,641,6,40
Diggersby QA+FiP/ScS,267,57,0
Doublade SC+SSw/GB,433,0,0
Dunsparce RO+DR/RS,274,39,0
Dusclops H+IP/ShP,517,24,5
Dusknoir (Shadow) A+DyP/ShP,472,39,0
Empoleon MSo+HC/DrlP,258,45,0
Empoleon (Shadow) MSo+HC/DrlP,331,45,0
Fearow Pk+DrlP/DR,467,39,0
Feraligatr SC+HC/IB,376,30,0
Florges FW+TBl/CW,666,6,47
Forretress BBi+RT/ST,606,15,30
Furret SkP+Sw/TBl,663,6,46
Gastrodon MSl+BS/WP,336,30,0
Golisopod FC+XS/AJ,560,12,17
Gourgeist (Super) I+SB/SeB,360,48,0
Greninja WSh+HC/NS,709,3,59
Jellicent H+S/SB,307,48,0
Lickilicky RO+BS/SB,556,6,16
Ludicolo A+WBW/LfS,432,12,0
Malamar Psy+SP/FoP,730,12,65
Mandibuzz AS+FoP/SB,751,6,71
Marowak (Shadow) MSl+BC/RS,352,21,0
Moltres (Galarian) SkP+Fl/BrB,758,21,73
Morpeko (Full Belly) TS+AuW/PsF,638,3,39
Murkrow Pk+DrlP/FoP,812,3,88
Primeape KC+RF/CC,794,3,83
Regidrago DB+DrE/VG,861,3,102
Sableye SC+FoP/PG,819,3,90
Sableye (Shadow) SC+FoP/PG,748,3,70
Sandslash (Alolan) PS+IP/DR,392,9,0
Scizor (Shadow) BP+NS/TBl,409,48,0
Sealeo PS+S/BS,535,6,10
Sealeo (Shadow) PS+S/BS,380,48,0
Spidops SC+Lu/RT,469,51,0
Steelix (Shadow) TF+Cr/PsF,546,0,13
Stunfisk TS+MB/D,276,48,0
Talonflame I+Fl/FmC,229,30,0
Talonflame (Shadow) I+FmC/Fl,262,3,0
Tinkaton FW+PR/Bd,500,0,0
Togekiss Pk+Psh/AuS,535,6,10
Wigglytuff Ch+IW/Sw,652,6,43
