Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,209,32,0
Aerodactyl (Shadow) DB+RS/EP,247,27,0
Aggron DT+T/RT,359,38,0
Aggron (Shadow) DT+T/RT,426,38,0
Alakazam PC+FiP/SB,137,9,0
Alakazam (Shadow) PC+FiP/SB,137,9,0
Ampharos VS+BrS/TP,163,20,0
Ampharos (Shadow) VS+BrS/TP,190,20,0
Annihilape C+RF/IP,58,27,0
Annihilape (Shadow) C+RF/IP,86,27,0
Arboliva ML+TBl/EP,312,38,0
Arcanine FF+WC/PsF,263,2,0
Arcanine (Hisuian) Sn+WC/RS,234,20,0
Arcanine (Shadow) Sn+WC/PsF,172,14,0
Archeops WA+AP/Cr,128,36,0
Archeops (Shadow) WA+AP/Cr,121,30,0
Armaldo FC+RB/CP,167,14,0
Armaldo (Shadow) FC+RB/CP,195,9,0
Armarouge I+Psh/HW,58,42,0
Articuno PS+IW/Hu,131,32,0
Articuno (Galarian) PC+AP/BrB,56,15,0
Articuno (Shadow) PS+IW/Hu,155,32,0
Aurorus PS+WBI/Tb,270,14,0
Aurorus (Shadow) PS+WBI/MeB,327,9,0
Avalugg IF+Av/BS,188,32,0
Avalugg (Hisuian) PS+RS/IW,280,32,0
Azelf Cf+Sw/FS,73,36,0
Barbaracle FC+CrC/SE,265,27,0
Baxcalibur DB+Av/DC,265,27,0
Beartic PS+IP/Li,260,20,0
Bellibolt SkP+D/PbC,170,32,0
Bewear SC+SP/Pbk,225,15,0
Bisharp Sn+DP/XS,618,27,29
Blacephalon I+MdB/SB,57,30,0
Blastoise RO+HC/IB,150,20,0
Blastoise (Shadow) RO+HC/IB,179,20,0
Blissey ZH+WC/DG,290,23,0
Bouffalant MS+St/Eq,311,45,0
Braviary AS+CC/BrB,89,36,0
Braviary (Hisuian) AS+BrB/Fl,41,36,0
Buzzwole C+SP/Lu,172,45,0
Carracosta WG+Li/BS,297,32,0
Carracosta (Shadow) RTh+Li/BS,251,14,0
Celebi Cf+AuS/LfS,54,2,0
Celesteela AS+BS/Bd,76,36,0
Centiskorch E+HW/Cr,101,15,0
Ceruledge I+SB/HW,42,42,0
Cetitan PS+Av/SP,238,27,0
Chandelure I+SB/FmC,49,42,0
Chandelure (Shadow) I+SB/FmC,52,30,0
Charizard DB+BB/AC,110,14,0
