Pokemon,Battle Rating,Energy Remaining,HP Remaining
Zacian (Crowned Sword) MC+CC/BB,309,16,0
Palkia (Origin) DB+AT/SpR,213,13,0
Metagross SC+MM/Eq,284,24,0
Kyurem (White) DB+FuF/IBu,259,72,0
Lunala SC+SB/M,277,16,0
Xerneas Geo+CC/M,347,0,0
Dialga (Origin) DB+ROT/IH,217,32,0
Reshiram DB+FuF/DM,271,16,0
Zamazenta (Crowned Shield) IF+CC/BB,346,32,0
Kyurem (Black) DT+FSh/FuB,204,48,0
Kyogre W+Av/OP,326,0,0
Zekrom DB+O/FuB,198,8,0
Marshadow SC+CC/IP,322,0,0
Reshiram (Shadow) DB+FuF/DM,296,8,0
Eternatus DT+DyC/Ft,640,13,50
Palkia (Shadow) DB+AT/DM,116,29,0
Lugia DT+A/Fl,490,5,0
Metagross (Shadow) SC+MM/Eq,319,24,0
Lugia (Shadow) DT+A/Fl,525,5,9
Garchomp (Shadow) DT+Tw/EP,157,48,0
Necrozma (Dawn Wings) SC+DP/MoG,325,32,0
Yveltal SkP+DP/ObW,278,32,0
Garchomp DT+Tw/EP,131,48,0
Ho-Oh I+BrB/SF,346,40,0
Zygarde (Complete Forme) DT+Cr/Eq,439,5,0
Meloetta (Aria) Cf+Psh/DG,395,29,0
Palkia DB+AT/FiB,134,45,0
Latios DB+AuS/LrP,119,5,0
Latios (Shadow) DB+AuS/LrP,148,5,0
Kyogre (Shadow) W+Av/OP,364,0,0
Necrozma (Dusk Mane) SC+DP/Stl,469,8,0
Gyarados (Shadow) DB+AT/Tw,570,29,25
Groudon DT+FiP/PrB,396,24,0
Gholdengo H+SB/FB,315,40,0
Mewtwo (Shadow) PC+Pst/SB,445,32,0
Florges FW+M/CW,707,5,74
Solgaleo FS+PsF/IH,393,0,0
Melmetal TS+DbI/DyP,232,24,0
Keldeo (Resolute) LK+SeS/AJ,74,32,0
Latias (Shadow) DB+AuS/MsB,148,5,0
Dialga DB+IH/DM,222,32,0
Dialga (Shadow) DB+IH/DM,244,32,0
Hydreigon (Shadow) DB+BrS/Fl,362,32,0
Jirachi Cf+DD/AuS,442,16,0
Mewtwo PC+Pst/SB,385,40,0
Togekiss Pk+DG/AuS,558,5,21
Annihilape (Shadow) C+RF/IP,346,0,0
Kyurem DB+G/DC,685,5,66
Primarina W+DV/HC,626,24,45
Latias DB+AuS/MsB,544,5,16
Tapu Lele A+Psh/NM,528,32,10
Dragonite (Shadow) DB+TP/SP,135,5,0
Goodra DB+AT/DM,752,5,90
Keldeo (Ordinary) LK+AJ/SSw,74,32,0
Tyranitar (Shadow) DB+BrS/SE,691,0,68
Sylveon FW+M/SB,679,5,64
Landorus (Therian) MS+SSt/SE,347,8,0
