Pokemon,Battle Rating,Energy Remaining,HP Remaining
Zacian (Crowned Sword) MC+CC/BB,450,10,0
Palkia (Origin) DB+AT/SpR,506,5,2
Metagross SC+MM/Eq,328,35,0
Kyurem (White) DB+FuF/IBu,229,45,0
Lunala SC+SB/M,769,45,88
Xerneas Geo+CC/M,506,5,2
Dialga (Origin) DB+ROT/IH,555,5,18
Reshiram DB+FuF/DM,607,5,35
Zamazenta (Crowned Shield) IF+CC/BB,361,10,0
Kyurem (Black) DT+FSh/FuB,229,45,0
Kyogre W+Av/OP,222,45,0
Zekrom DB+O/FuB,220,35,0
Marshadow SC+CC/IP,542,0,14
Reshiram (Shadow) DB+FuF/DM,515,5,5
Eternatus DT+DyC/Ft,665,25,54
Palkia (Shadow) DB+AT/DM,388,10,0
Lugia DT+A/Fl,582,25,27
Metagross (Shadow) SC+MM/Eq,398,35,0
Lugia (Shadow) DT+A/Fl,527,5,9
Garchomp (Shadow) DT+Tw/EP,754,5,83
Necrozma (Dawn Wings) SC+DP/MoG,760,80,85
Yveltal SkP+DP/ObW,481,35,0
Garchomp DT+Tw/EP,754,5,83
Ho-Oh I+BrB/SF,351,40,0
Zygarde (Complete Forme) DT+Cr/Eq,610,5,36
Meloetta (Aria) Cf+Psh/DG,121,20,0
Palkia DB+AT/FiB,555,5,18
Latios DB+AuS/LrP,546,10,15
Latios (Shadow) DB+AuS/LrP,421,35,0
Kyogre (Shadow) W+Av/OP,271,45,0
Necrozma (Dusk Mane) SC+DP/Stl,662,0,53
Gyarados (Shadow) DB+AT/Tw,542,5,14
Groudon DT+FiP/PrB,631,5,43
Gholdengo H+SB/FB,598,0,32
Mewtwo (Shadow) PC+Pst/SB,385,10,0
Florges FW+M/CW,607,5,35
Solgaleo FS+PsF/IH,329,45,0
Melmetal TS+DbI/DyP,190,35,0
Keldeo (Resolute) LK+SeS/AJ,561,5,20
Latias (Shadow) DB+AuS/MsB,549,0,16
Dialga DB+IH/DM,552,5,17
Dialga (Shadow) DB+IH/DM,241,35,0
Hydreigon (Shadow) DB+BrS/Fl,338,20,0
Jirachi Cf+DD/AuS,300,35,0
Mewtwo PC+Pst/SB,558,0,19
Togekiss Pk+DG/AuS,530,5,10
Annihilape (Shadow) C+RF/IP,693,0,63
Kyurem DB+G/DC,316,10,0
Primarina W+DV/HC,542,5,14
Latias DB+AuS/MsB,579,5,26
Tapu Lele A+Psh/NM,549,0,16
Dragonite (Shadow) DB+TP/SP,420,10,0
Goodra DB+AT/DM,702,5,66
Keldeo (Ordinary) LK+AJ/SSw,561,5,20
Tyranitar (Shadow) DB+BrS/SE,141,35,0
Sylveon FW+M/SB,659,5,52
Landorus (Therian) MS+SSt/SE,536,5,12
Gyarados DB+AT/Cr,647,5,48
Annihilape C+RF/IP,748,0,81
