Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,81,48,0
Aerodactyl (Shadow) DB+RS/EP,93,48,0
Aggron DT+T/RT,111,3,0
Aggron (Shadow) DT+T/RT,140,3,0
Alakazam PC+FiP/SB,103,48,0
Alakazam (Shadow) PC+FiP/SB,88,36,0
Ampharos VS+BrS/TP,260,27,0
Ampharos (Shadow) VS+BrS/TP,86,48,0
Annihilape C+RF/IP,55,48,0
Annihilape (Shadow) C+RF/IP,65,48,0
Arboliva ML+TBl/SeB,380,53,0
Arcanine FF+WC/PsF,75,48,0
Arcanine (Hisuian) Sn+WC/RS,72,48,0
Arcanine (Shadow) FF+WC/PsF,86,48,0
Archeops WA+AP/Cr,97,48,0
Archeops (Shadow) WA+AP/Cr,109,48,0
Armaldo FC+RB/Li,73,48,0
Armaldo (Shadow) FC+RB/CP,73,36,0
Armarouge I+Psh/HW,50,36,0
Articuno PS+IW/Hu,53,48,0
Articuno (Galarian) PC+AP/BrB,48,36,0
Articuno (Shadow) PS+IW/Hu,64,48,0
Aurorus PS+WBI/Tb,44,36,0
Aurorus (Shadow) PS+WBI/MeB,51,36,0
Avalugg IF+Av/BS,51,48,0
Avalugg (Hisuian) PS+RS/IW,51,48,0
Azelf Cf+Sw/FS,85,48,0
Barbaracle FC+CrC/SE,218,3,0
Baxcalibur DB+Av/DC,97,48,0
Beartic PS+IP/Li,54,36,0
Bellibolt SkP+D/PbC,212,15,0
Bewear SC+SP/St,51,36,0
Bewear (Shadow) SC+SP/St,58,36,0
Bisharp Sn+DP/XS,53,48,0
Blacephalon I+MdB/SB,80,36,0
Blastoise RO+HC/IB,202,3,0
Blastoise (Shadow) RO+HC/IB,241,3,0
Blissey ZH+WC/DG,121,39,0
Bouffalant MS+St/Mh,208,15,0
Braviary AS+CC/BrB,218,3,0
Braviary (Hisuian) AS+BrB/Fl,227,3,0
Buzzwole C+SP/Lu,185,3,0
Carracosta WG+Li/BS,276,39,0
Carracosta (Shadow) WG+Li/BS,260,3,0
Celebi Cf+AuS/LfS,49,48,0
Celesteela AS+BS/Bd,117,3,0
Centiskorch E+HW/Lu,266,39,0
Ceruledge I+SB/HW,222,3,0
Cetitan PS+Av/SP,59,48,0
Chandelure I+SB/FmC,264,3,0
Chandelure (Shadow) I+SB/FmC,313,3,0
Charizard DB+BB/AC,53,36,0
Charizard (Shadow) DB+BB/DC,285,3,0
Chesnaught LK+FP/SP,301,29,0
Chesnaught (Shadow) LK+FP/SP,76,48,0
Cinderace FS+BB/PB,81,48,0
Coalossal FS+RS/FmC,193,27,0
Cobalion DK+SSw/SE,101,3,0
Conkeldurr C+DyP/BrS,67,48,0
Conkeldurr (Shadow) C+DyP/BrS,76,48,0
Corviknight SdA+AC/IH,118,3,0
Crabominable B+IP/BkB,81,48,0
Cresselia Cf+GK/M,123,3,0
Cresselia (Shadow) Cf+GK/M,138,3,0
Crobat AS+AC/CP,230,15,0
Crobat (Shadow) AS+AC/CP,78,48,0
Cryogonal IS+TAx/NS,58,48,0
Cursola A+NSh/PG,264,3,0
Darkrai Sn+DP/FB,76,48,0
Darkrai (Shadow) Sn+SB/DP,89,48,0
Darmanitan (Galarian) IF+Av/SP,86,48,0
Darmanitan (Standard) I+RS/Ov,274,3,0
Darmanitan (Standard) (Shadow) I+RS/Ov,329,3,0
Decidueye Lf+FP/BrB,226,3,0
Decidueye (Hisuian) PC+AuS/TBl,65,48,0
Delphox FS+Psh/BB,73,48,0
Delphox (Shadow) FS+Psh/BB,85,48,0
Deoxys (Defense) C+PB/RS,177,3,0
Deoxys (Speed) CB+PB/Sw,248,3,0
Dhelmise SC+SB/BrS,57,36,0
Dialga DB+IH/DM,54,48,0
Dialga (Origin) DB+ROT/IH,54,48,0
Dialga (Shadow) DB+IH/DM,48,36,0
Diancie RTh+RS/M,125,17,0
Dondozo W+S/O,149,15,0
Donphan MSl+BS/TBl,64,48,0
Donphan (Shadow) MSl+BS/TBl,75,48,0
Dragapult DT+SB/O,345,3,0
Dragonite DB+TP/SP,71,36,0
Dragonite (Shadow) DB+TP/SP,87,36,0
Drampa DB+Sw/Fl,98,36,0
Druddigon DT+NS/RT,89,36,0
Dudunsparce RO+BS/DR,59,48,0
Duraludon DT+DC/FC,235,3,0
Electivire TS+WC/IP,64,36,0
Electivire (Shadow) TS+WC/IP,73,36,0
Emboar E+BB/RS,55,36,0
Emboar (Shadow) E+BB/RS,69,36,0
Empoleon MSo+HC/DrlP,33,36,0
Empoleon (Shadow) MSo+HC/DrlP,42,36,0
Enamorus (Incarnate) FW+Fl/DG,27,36,0
Enamorus (Therian) FW+MF/M,95,3,0
Entei FS+FmC/ScS,183,3,0
Entei (Shadow) FS+FmC/ScS,217,3,0
Escavalier BBi+DR/Mh,162,15,0
Escavalier (Shadow) BBi+DR/Mh,200,15,0
