Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,636,4,58
Aerodactyl (Shadow) DB+RS/EP,730,20,98
Aggron DT+T/RT,882,10,163
Aggron (Shadow) DT+T/RT,859,10,153
Alakazam PC+FiP/SB,706,20,88
Alakazam (Shadow) PC+FiP/SB,661,8,69
Ampharos VS+BrS/TP,887,10,165
Ampharos (Shadow) VS+BrS/TP,861,10,154
Annihilape C+RF/IP,528,4,12
Annihilape (Shadow) C+RF/IP,369,20,0
Arboliva ML+EP/EB,685,4,79
Arcanine FF+WC/PsF,856,10,152
Arcanine (Hisuian) Sn+WC/RS,859,10,153
Arcanine (Shadow) Sn+WC/PsF,863,10,155
Archeops WA+AP/Cr,713,32,91
Archeops (Shadow) WA+AP/Cr,711,8,90
Armaldo FC+RB/CP,816,22,135
Armaldo (Shadow) FC+RB/CP,779,10,119
Armarouge I+Psh/HW,788,10,123
Articuno PS+IW/Hu,239,20,0
Articuno (Galarian) PC+AP/BrB,755,4,109
Articuno (Shadow) PS+IW/Hu,303,8,0
Aurorus PS+WBI/Tb,489,10,0
Aurorus (Shadow) PS+WBI/MeB,336,8,0
Avalugg IF+Av/BS,298,10,0
Avalugg (Hisuian) PS+RS/IW,237,8,0
Azelf Cf+Sw/FS,758,10,110
Barbaracle FC+CrC/SE,845,10,147
Baxcalibur DB+GlR/Av,487,8,0
Beartic PS+IP/Li,92,36,0
Bellibolt SkP+D/PbC,892,10,167
Bewear SC+SP/St,701,4,86
Bewear (Shadow) SC+SP/St,669,22,72
Bisharp Sn+DP/XS,776,10,118
Blacephalon I+MdB/SB,760,8,111
Blastoise RO+HC/IB,636,4,58
Blastoise (Shadow) RO+HC/IB,565,22,28
Blissey ZH+WC/DG,715,16,92
Bouffalant MS+St/Eq,762,4,112
Braviary AS+CC/BrB,568,4,29
Braviary (Hisuian) AS+BrB/Fl,706,4,88
Buzzwole C+SP/Lu,622,4,52
Carracosta WG+Li/BS,809,10,132
Carracosta (Shadow) RTh+Li/BS,816,10,135
Celebi Cf+AuS/LfS,553,16,23
Celesteela AS+BS/Bd,610,2,47
Centiskorch E+HW/Cr,685,4,79
Ceruledge I+SB/HW,915,10,177
Cetitan PS+Av/SP,279,8,0
Chandelure I+SB/FmC,647,10,63
Chandelure (Shadow) I+SB/FmC,577,20,33
Charizard DB+BB/AC,647,4,63
Charizard (Shadow) DB+BB/DC,518,32,8
Chesnaught LK+SP/FP,678,4,76
Chesnaught (Shadow) LK+SP/FP,640,4,60
Cinderace FS+BB/PB,828,10,140
Coalossal FS+RS/FmC,941,10,188
Cobalion DK+SSw/SE,664,6,70
Conkeldurr FPm+DyP/BrS,579,4,34
Conkeldurr (Shadow) FPm+DyP/BrS,528,22,12
Corviknight SdA+AC/IH,633,0,57
Corviknight (Shadow) SdA+AC/IH,610,18,47
Crabominable B+IP/BkB,568,22,29
Cresselia Cf+M/GK,603,0,44
Cresselia (Shadow) Cf+M/GK,556,18,24
Crobat AS+AC/SB,713,4,91
Crobat (Shadow) AS+AC/SB,666,44,71
Cryogonal IS+TAx/NS,345,32,0
Cursola A+NSh/PG,847,10,148
Darkrai Sn+DP/FB,687,34,80
Darkrai (Shadow) Sn+SB/DP,669,10,72
Darmanitan (Galarian) IF+Av/SP,473,20,0
Darmanitan (Standard) I+RS/Ov,701,10,86
Darmanitan (Standard) (Shadow) I+RS/Ov,924,8,181
Decidueye A+FP/SSh,619,4,51
Decidueye (Hisuian) PC+AuS/TBl,605,4,45
Delphox FS+Psh/BB,781,10,120
Delphox (Shadow) FS+Psh/BB,741,10,103
Deoxys (Defense) C+PB/RS,807,4,131
Deoxys (Speed) CB+PB/Sw,838,10,144
Dhelmise SC+SB/BrS,624,4,53
Dialga DB+IH/DM,497,10,0
Dialga (Origin) DB+ROT/IH,475,10,0
Dialga (Shadow) DB+IH/DM,737,10,101
Diancie RTh+RS/M,809,46,132
Dondozo W+S/O,582,18,35
Donphan MSl+BS/Eq,591,4,39
Donphan (Shadow) MSl+BS/Eq,718,22,93
Dragapult DT+SB/O,849,8,149
Dragonite DB+TP/SP,629,20,55
Dragonite (Shadow) DB+TP/SP,786,8,122
Drampa DB+Sw/Fl,739,8,102
Druddigon DT+NS/RT,823,8,138
Dudunsparce RO+DR/BS,753,4,108
Duraludon DT+DC/FC,835,10,143
Electivire TS+WC/IP,687,10,80
Electivire (Shadow) TS+WC/IP,612,20,48
Emboar E+BB/RS,805,10,130
Emboar (Shadow) E+BB/RS,774,10,117
Empoleon MSo+HC/DrlP,769,10,115
Empoleon (Shadow) MSo+HC/DrlP,723,10,95
Enamorus (Incarnate) FW+Fl/DG,165,8,0
Enamorus (Therian) FW+MF/M,134,8,0
Entei FS+FmC/ScS,753,22,108
Entei (Shadow) FS+FmC/ScS,906,10,173
Escavalier BBi+DR/Mh,640,6,60
Escavalier (Shadow) BBi+DR/Mh,652,22,65
Espeon Cf+PsF/SB,781,10,120
Eternatus DT+DyC/Ft,405,20,0
Excadrill MS+DR/RS,776,10,118
Excadrill (Shadow) MS+DR/RS,741,10,103
Exeggutor Cf+SeB/P,659,4,68
Exeggutor (Alolan) DT+SeB/DM,868,8,157
Exeggutor (Alolan) (Shadow) DT+SeB/DM,849,8,149
Exeggutor (Shadow) Cf+SeB/P,633,32,57
Feraligatr SC+HC/IB,407,44,0
Feraligatr (Shadow) SC+HC/IB,387,8,0
Flareon E+SP/HW,849,10,149
Florges FW+M/CW,285,34,0
Gallade PC+CC/LB,643,34,61
Gallade (Shadow) PC+CC/LB,760,10,111
Garchomp DT+Tw/EP,500,44,0
Garchomp (Shadow) DT+Tw/EP,500,20,0
Gardevoir Ch+SB/TAx,366,10,0
Gardevoir (Shadow) Ch+SB/TAx,441,10,0
Garganacl MS+RT/RB,819,6,136
Genesect FC+MgB/TBN,439,46,0
Genesect (Burn) FC+MgB/TBB,439,46,0
Genesect (Chill) FC+MgB/TBC,218,8,0
Genesect (Douse) FC+MgB/TBD,439,46,0
Genesect (Shock) FC+MgB/TBS,439,46,0
Gholdengo H+SB/FB,687,10,80
Gigalith LO+SP/MeB,807,10,131
Gigalith (Shadow) LO+MeB/SP,772,10,116
Giratina (Altered) DB+DC/AP,565,4,28
Giratina (Altered) (Shadow) DB+AP/DC,432,32,0
Giratina (Origin) DT+SB/OW,572,4,31
Glaceon IS+Av/WP,449,10,0
Glimmora SD+MeB/PG,917,10,178
Gliscor WA+NS/Acr,701,4,86
Gliscor (Shadow) SdA+NS/Acr,661,4,69
Gogoat VW+LB/BkB,643,4,61
Golem MSl+Eq/SE,882,10,163
Golem (Alolan) VS+WC/SE,929,10,183
Golem (Alolan) (Shadow) VS+WC/SE,913,20,176
Golem (Shadow) MSl+Eq/SE,859,10,153
Golisopod FC+AJ/XS,561,4,26
Golurk A+ShP/EP,657,22,67
Golurk (Shadow) A+ShP/EP,739,10,102
Goodra DB+AT/DM,427,20,0
Gourgeist (Large) H+SB/FoP,730,4,98
Gourgeist (Super) H+SB/FoP,727,4,97
Grimmsnarl SkP+FoP/PR,414,34,0
Groudon DT+FiP/PrB,347,22,0
Groudon (Shadow) DT+FiP/PrB,312,8,0
Guzzlord DT+BrS/DC,589,44,38
Gyarados DB+AT/Cr,549,4,21
Gyarados (Shadow) DB+AT/Tw,417,32,0
Hariyama FPm+UH/HS,680,4,77
Hariyama (Shadow) FPm+UH/HS,701,10,86
Haxorus DT+NS/DC,730,8,98
Haxorus (Shadow) DT+NS/DC,678,8,76
Heatran FS+MgS/EP,838,10,144
Heatran (Shadow) FS+MgS/EP,800,10,128
Heracross FC+UH/RT,542,4,18
Hippowdon SdA+WBR/EP,725,4,96
Hippowdon (Shadow) SdA+WBR/EP,690,4,81
Ho-Oh I+BrB/SF,568,28,29
Ho-Oh (Shadow) I+BrB/SF,509,4,4
Hoopa A+SB/P,542,34,18
Hoopa (Unbound) Cf+SB/DP,525,34,11
Hydrapple DT+SeB/O,438,8,0
Hydreigon DB+BrS/Fl,687,20,80
Hydreigon (Shadow) DB+BrS/Fl,685,8,79
Incineroar Sn+BB/DkL,812,10,133
Jirachi Cf+DD/AuS,643,6,61
Jolteon VS+D/LR,941,10,188
Kangaskhan LK+BkB/Cr,741,4,103
Kartana FC+LB/SSw,650,10,64
Keldeo (Ordinary) LK+AJ/SSw,516,4,7
Keldeo (Resolute) LK+SeS/AJ,530,4,13
Kingambit Sn+FoP/IH,615,6,49
Kingdra DB+S/Sw,802,8,129
Kingdra (Shadow) DB+S/Sw,755,8,109
Kleavor QA+XS/SE,774,10,117
Klinklang MSo+MrS/FC,849,10,149
Kommo-o DT+ClS/UH,448,8,0
Krookodile MSl+Cr/ST,666,34,71
Kyogre W+Av/OP,258,8,0
Kyogre (Shadow) W+Av/OP,312,8,0
Kyurem DB+G/DC,396,8,0
Kyurem (Black) DT+FSh/FuB,426,8,0
Kyurem (White) DB+FuF/IBu,463,20,0
Landorus (Incarnate) MS+EP/RS,676,4,75
Landorus (Incarnate) (Shadow) MS+EP/RS,633,4,57
Landorus (Therian) MS+SSt/SE,563,16,27
Lapras Psy+S/IB,516,6,7
Lapras (Shadow) Psy+SpA/IB,302,8,0
Latias DB+AuS/MsB,622,44,52
Latias (Shadow) DB+AuS/MsB,631,20,56
Latios DB+AuS/LrP,636,20,58
Latios (Shadow) DB+AuS/LrP,786,8,122
Leafeon QA+LB/LR,629,4,55
Lickilicky RO+BS/SB,821,4,137
Lugia DT+A/Fl,323,4,0
Lugia (Shadow) DT+A/Fl,247,32,0
Lunala SC+SB/M,331,22,0
Luxray Sn+WC/PsF,887,10,165
Luxray (Shadow) Sn+WC/PsF,861,20,154
Machamp KC+CrC/RS,638,34,59
Machamp (Shadow) KC+CrC/SE,755,10,109
Magmortar KC+FiP/Tb,842,10,146
Magmortar (Shadow) KC+FiP/Tb,823,10,138
Magnezone VS+WC/MrS,892,10,167
Magnezone (Shadow) VS+WC/MrS,877,10,161
Mamoswine PS+ISp/HH,90,36,0
Mamoswine (Shadow) PS+HH/ISp,104,36,0
Marshadow SC+CC/IP,443,34,0
Melmetal TS+DbI/DyP,652,6,65
Meloetta (Aria) Cf+Psh/DG,380,46,0
Mesprit Cf+Sw/FS,615,4,49
Metagross SC+MM/Eq,589,6,38
Metagross (Shadow) SC+MM/Eq,612,10,48
Mew SC+Psh/WC,577,6,33
Mewtwo PC+Pst/SB,440,34,0
Mewtwo (Armored) Cf+Pst/DyP,673,8,74
Mewtwo (Shadow) PC+Pst/SB,558,34,25
Milotic W+AT/Wr,708,6,89
Milotic (Shadow) W+AT/Wr,680,4,77
Miltank RO+BS/IB,659,4,68
Moltres WA+Fl/HW,683,4,78
Moltres (Galarian) SkP+AP/Pbk,591,16,39
Moltres (Shadow) WA+Fl/HW,619,4,51
Mr. Rime Cf+IP/TAx,528,4,12
Mudsdale MSl+BS/Eq,591,4,39
Muk Ac+TP/DP,828,10,140
Muk (Alolan) PJ+DP/SW,924,10,181
Muk (Alolan) (Shadow) PJ+DP/SW,906,10,173
Muk (Shadow) PJ+TP/DP,889,10,166
Musharna CB+Psh/DG,772,4,116
Naganadel PJ+DC/SlB,929,8,183
Necrozma SC+DP/O,525,4,11
Necrozma (Dawn Wings) SC+DP/MoG,330,32,0
Necrozma (Dusk Mane) SC+DP/Stl,483,34,0
Nihilego PJ+PG/SlB,906,10,173
Noivern AS+HW/Hu,924,8,181
Noivern (Shadow) AS+HW/Hu,915,8,177
Obstagoon C+NS/Ob,809,6,132
Obstagoon (Shadow) C+NS/CrC,755,34,109
Oinkologne MSl+BS/TBl,779,4,119
Oinkologne (Female) MSl+BS/TBl,791,4,124
Omastar MS+RS/RB,863,10,155
Omastar (Shadow) MS+RS/RB,847,10,148
Oranguru Cf+BrS/TBl,781,4,120
Overqwil PSt+AT/SB,781,10,120
Palkia DB+AT/FiB,645,20,62
Palkia (Origin) DB+AT/SpR,461,8,0
Palkia (Shadow) DB+AT/DM,786,8,122
Pangoro KC+CC/NS,690,22,81
Passimian C+CC/BrS,603,4,44
Pinsir FC+CC/XS,561,4,26
Pinsir (Shadow) FC+CC/XS,683,20,78
Poliwrath C+Sc/IW,622,4,52
Poliwrath (Shadow) C+Sc/IW,582,22,35
Polteageist H+SB/DP,701,10,86
Porygon-Z LO+TA/Bl,426,20,0
Porygon-Z (Shadow) LO+TA/Bl,741,20,103
Porygon2 LO+TA/Re,704,4,87
