Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,851,2,111
Aerodactyl (Shadow) DB+RS/EP,851,2,111
Aggron DT+T/RT,464,21,0
Aggron (Shadow) DT+T/RT,601,1,32
Alakazam PC+FiP/SB,425,21,0
Alakazam (Shadow) PC+FiP/SB,496,21,0
Ampharos VS+BrS/TP,610,0,35
Ampharos (Shadow) VS+BrS/TP,541,10,13
Annihilape C+RF/IP,309,22,0
Annihilape (Shadow) C+RF/IP,325,6,0
Arboliva ML+EP/EB,895,2,125
Arcanine FF+WC/PsF,282,27,0
Arcanine (Hisuian) Sn+WC/RS,474,46,0
Arcanine (Shadow) Sn+WC/PsF,384,18,0
Archeops WA+AP/Cr,768,2,85
Archeops (Shadow) WA+AP/Cr,731,2,73
Armaldo FC+RB/CP,712,2,67
Armaldo (Shadow) FC+RB/CP,686,2,59
Armarouge I+Psh/HW,216,31,0
Articuno PS+IW/Hu,572,1,23
Articuno (Galarian) PC+AP/BrB,204,55,0
Articuno (Shadow) PS+IW/Hu,405,30,0
Aurorus PS+WBI/Tb,803,2,96
Aurorus (Shadow) PS+WBI/MeB,753,2,80
Avalugg IF+Av/BS,642,46,45
Avalugg (Hisuian) PS+RS/IW,844,2,109
Azelf Cf+Sw/FS,727,96,72
Barbaracle FC+CrC/SE,556,34,18
Baxcalibur DB+GlR/Av,844,2,109
Beartic PS+IP/Li,689,2,60
Bellibolt SkP+D/PbC,680,0,57
Bewear SC+SP/St,493,24,0
Bewear (Shadow) SC+SP/St,218,55,0
Bisharp Sn+DP/XS,639,10,44
Blacephalon I+MdB/SB,103,7,0
Blastoise RO+HC/IB,509,1,3
Blastoise (Shadow) RO+HC/IB,661,0,51
Blissey ZH+WC/DG,705,2,65
Bouffalant MS+St/Eq,835,0,106
Braviary AS+CC/BrB,768,2,85
Braviary (Hisuian) AS+BrB/Fl,794,6,93
Buzzwole C+SP/Lu,337,30,0
Carracosta WG+Li/BS,534,34,11
Carracosta (Shadow) RTh+Li/BS,693,2,61
Celebi Cf+AuS/LfS,825,2,103
Celesteela AS+BS/Bd,569,1,22
Centiskorch E+HW/Cr,159,39,0
Ceruledge I+SB/HW,118,31,0
Cetitan PS+Av/SP,648,18,47
Chandelure I+SB/FmC,95,7,0
Chandelure (Shadow) I+SB/FmC,95,7,0
Charizard DB+BB/AC,139,47,0
Charizard (Shadow) DB+BB/DC,838,0,107
Chesnaught LK+SP/FP,632,0,42
Chesnaught (Shadow) LK+SP/FP,550,10,16
Cinderace FS+BB/PB,177,35,0
Coalossal FS+RS/FmC,283,14,0
Cobalion DK+SSw/SE,311,24,0
Conkeldurr FPm+DyP/BrS,182,55,0
Conkeldurr (Shadow) FPm+DyP/BrS,161,43,0
Corviknight SdA+AC/IH,444,38,0
Corviknight (Shadow) SdA+AC/IH,494,38,0
Crabominable B+IP/BkB,680,2,57
Cresselia Cf+M/GK,762,1,83
Cresselia (Shadow) Cf+M/GK,819,12,101
Crobat AS+AC/SB,708,0,66
Crobat (Shadow) AS+AC/SB,636,0,43
Cryogonal IS+TAx/NS,772,6,86
Cursola A+NSh/PG,693,0,61
Darkrai Sn+DP/FB,844,2,109
Darkrai (Shadow) Sn+SB/DP,819,2,101
Darmanitan (Galarian) IF+Av/SP,768,2,85
Darmanitan (Standard) I+RS/Ov,185,31,0
Darmanitan (Standard) (Shadow) I+RS/Ov,127,7,0
Decidueye A+FP/SSh,743,2,77
Decidueye (Hisuian) PC+AuS/TBl,708,0,66
Delphox FS+Psh/BB,246,35,0
Delphox (Shadow) FS+Psh/BB,210,23,0
Deoxys (Defense) C+PB/RS,832,0,105
Deoxys (Speed) CB+PB/Sw,781,2,89
Dhelmise SC+SB/BrS,296,47,0
Dialga DB+IH/DM,413,6,0
Dialga (Origin) DB+ROT/IH,402,10,0
Dialga (Shadow) DB+IH/DM,750,0,79
Diancie RTh+RS/M,768,2,85
Dondozo W+S/O,483,3,0
Donphan MSl+BS/Eq,667,0,53
Donphan (Shadow) MSl+BS/Eq,601,10,32
Dragapult DT+SB/O,844,0,109
Dragonite DB+TP/SP,832,0,105
Dragonite (Shadow) DB+TP/SP,414,6,0
Drampa DB+Sw/Fl,753,2,80
Druddigon DT+NS/RT,775,2,87
Dudunsparce RO+DR/BS,715,12,68
Duraludon DT+DC/FC,825,4,103
Electivire TS+WC/IP,537,10,12
Electivire (Shadow) TS+WC/IP,323,39,0
Emboar E+BB/RS,100,39,0
Emboar (Shadow) E+BB/RS,148,39,0
Empoleon MSo+HC/DrlP,292,14,0
Empoleon (Shadow) MSo+HC/DrlP,401,24,0
Enamorus (Incarnate) FW+Fl/DG,617,2,37
Enamorus (Therian) FW+MF/M,107,47,0
Entei FS+FmC/ScS,123,27,0
Entei (Shadow) FS+FmC/ScS,123,27,0
Escavalier BBi+DR/Mh,359,42,0
Escavalier (Shadow) BBi+DR/Mh,740,4,76
Espeon Cf+PsF/SB,715,2,68
Eternatus DT+DyC/Ft,451,4,0
Excadrill MS+DR/RS,664,0,52
Excadrill (Shadow) MS+DR/RS,582,0,26
Exeggutor Cf+SeB/P,870,80,117
Exeggutor (Alolan) DT+SeB/DM,800,2,95
Exeggutor (Alolan) (Shadow) DT+SeB/DM,765,2,84
Exeggutor (Shadow) Cf+SeB/P,860,68,114
Feraligatr SC+HC/IB,569,12,22
Feraligatr (Shadow) SC+HC/IB,563,0,20
Flareon E+SP/HW,214,39,0
Florges FW+M/CW,569,1,22
Gallade PC+CC/LB,591,10,29
Gallade (Shadow) PC+CC/LB,541,2,13
Garchomp DT+Tw/EP,556,0,18
Garchomp (Shadow) DT+Tw/EP,427,6,0
Gardevoir Ch+SB/TAx,819,2,101
Gardevoir (Shadow) Ch+SB/TAx,768,2,85
Garganacl MS+RT/RB,620,1,38
Genesect FC+MgB/TBN,500,9,0
Genesect (Burn) FC+MgB/TBB,297,10,0
Genesect (Chill) FC+MgB/TBC,500,9,0
Genesect (Douse) FC+MgB/TBD,329,30,0
Genesect (Shock) FC+MgB/TBS,329,30,0
Gholdengo H+SB/FB,315,0,0
Gigalith LO+SP/MeB,588,2,28
Gigalith (Shadow) LO+MeB/SP,522,2,7
Giratina (Altered) DB+DC/AP,515,1,5
Giratina (Altered) (Shadow) DB+AP/DC,474,40,0
Giratina (Origin) DT+SB/OW,528,3,9
Glaceon IS+Av/WP,844,2,109
Glimmora SD+MeB/PG,718,2,69
Gliscor WA+NS/Acr,746,0,78
Gliscor (Shadow) SdA+NS/Acr,531,0,10
Gogoat VW+LB/BkB,693,2,61
Golem MSl+Eq/SE,743,2,77
Golem (Alolan) VS+WC/SE,768,0,85
Golem (Alolan) (Shadow) VS+WC/SE,731,2,73
Golem (Shadow) MSl+Eq/SE,718,2,69
Golisopod FC+AJ/XS,402,34,0
Golurk A+ShP/EP,566,0,21
Golurk (Shadow) A+ShP/EP,472,2,0
Goodra DB+AT/DM,712,0,67
Gourgeist (Large) H+SB/FoP,645,0,46
Gourgeist (Super) H+SB/FoP,617,0,37
Grimmsnarl SkP+FoP/PR,693,2,61
Groudon DT+FiP/PrB,182,43,0
Groudon (Shadow) DT+FiP/PrB,241,43,0
Guzzlord DT+BrS/DC,740,0,76
Gyarados DB+AT/Cr,420,6,0
Gyarados (Shadow) DB+AT/Tw,645,0,46
Hariyama FPm+UH/HS,494,0,0
Hariyama (Shadow) FPm+UH/HS,189,55,0
Haxorus DT+NS/DC,696,2,62
Haxorus (Shadow) DT+NS/DC,645,2,46
Heatran FS+MgS/EP,93,13,0
Heatran (Shadow) FS+MgS/EP,71,7,0
Heracross FC+UH/RT,636,0,43
Hippowdon SdA+WBR/EP,613,0,36
Hippowdon (Shadow) SdA+WBR/EP,566,0,21
Ho-Oh I+BrB/SF,52,21,0
Ho-Oh (Shadow) I+BrB/SF,70,7,0
Hoopa A+SB/P,667,2,53
Hoopa (Unbound) Cf+SB/DP,844,80,109
Hydrapple DT+SeB/O,870,0,117
Hydreigon DB+BrS/Fl,670,6,54
Hydreigon (Shadow) DB+BrS/Fl,525,2,8
Incineroar Sn+BB/DkL,260,55,0
Jirachi Cf+DD/AuS,422,48,0
Jolteon VS+D/LR,591,0,29
Kangaskhan LK+BkB/Cr,642,0,45
Kartana FC+LB/SSw,655,2,49
Keldeo (Ordinary) LK+AJ/SSw,324,16,0
Keldeo (Resolute) LK+SeS/AJ,324,16,0
Kingambit Sn+FoP/IH,383,24,0
Kingdra DB+S/Sw,655,0,49
Kingdra (Shadow) DB+S/Sw,620,0,38
Kleavor QA+XS/SE,882,2,121
Klinklang MSo+MrS/FC,664,1,52
Kommo-o DT+ClS/UH,677,0,56
Krookodile MSl+Cr/ST,715,2,68
Kyogre W+Av/OP,326,18,0
Kyogre (Shadow) W+Av/OP,461,4,0
Kyurem DB+G/DC,515,1,5
Kyurem (Black) DT+FSh/FuB,537,10,12
Kyurem (White) DB+FuF/IBu,213,47,0
Landorus (Incarnate) MS+EP/RS,645,0,46
Landorus (Incarnate) (Shadow) MS+EP/RS,432,2,0
Landorus (Therian) MS+SSt/SE,632,0,42
Lapras Psy+S/IB,623,1,39
Lapras (Shadow) Psy+SpA/IB,582,1,26
Latias DB+AuS/MsB,648,0,47
Latias (Shadow) DB+AuS/MsB,626,2,40
Latios DB+AuS/LrP,632,2,42
Latios (Shadow) DB+AuS/LrP,768,2,85
Leafeon QA+LB/LR,882,2,121
Lickilicky RO+BS/SB,712,8,67
Lugia DT+A/Fl,390,10,0
Lugia (Shadow) DT+A/Fl,623,16,39
Lunala SC+SB/M,442,4,0
Luxray Sn+WC/PsF,829,0,104
