Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,701,8,74
Aerodactyl (Shadow) DB+RS/EP,660,8,59
Aggron DT+T/RT,850,8,129
Aggron (Shadow) DT+T/RT,826,8,120
Alakazam PC+FiP/SB,657,16,58
Alakazam (Shadow) PC+FiP/SB,611,4,41
Ampharos VS+BrS/TP,839,8,125
Ampharos (Shadow) VS+BrS/TP,807,8,113
Annihilape C+RF/IP,652,8,56
Annihilape (Shadow) C+RF/IP,369,16,0
Arboliva ML+EP/EB,679,8,66
Arcanine FF+WC/PsF,684,8,68
Arcanine (Hisuian) Sn+WC/RS,807,8,113
Arcanine (Shadow) Sn+WC/PsF,701,8,74
Archeops WA+AP/Cr,663,8,60
Archeops (Shadow) WA+AP/Cr,597,28,36
Armaldo FC+RB/CP,722,8,82
Armaldo (Shadow) FC+RB/CP,698,28,73
Armarouge I+Psh/HW,627,8,47
Articuno PS+IW/Hu,454,0,0
Articuno (Galarian) PC+AP/BrB,554,28,20
Articuno (Shadow) PS+IW/Hu,368,28,0
Aurorus PS+WBI/Tb,581,8,30
Aurorus (Shadow) PS+WBI/MeB,510,8,4
Avalugg IF+Av/BS,345,28,0
Avalugg (Hisuian) PS+RS/IW,466,8,0
Azelf Cf+Sw/FS,638,28,51
Barbaracle FC+CrC/SE,766,8,98
Baxcalibur DB+GlR/Av,407,4,0
Beartic PS+IP/Li,505,8,2
Bellibolt SkP+D/PbC,782,8,104
Bewear SC+SP/St,711,8,78
Bewear (Shadow) SC+SP/St,605,8,39
Bisharp Sn+DP/XS,736,28,87
Blacephalon I+MdB/SB,339,36,0
Blastoise RO+HC/IB,722,8,82
Blastoise (Shadow) RO+HC/IB,682,8,67
Blissey ZH+WC/DG,823,0,119
Bouffalant MS+St/Eq,747,8,91
Braviary AS+CC/BrB,758,0,95
Braviary (Hisuian) AS+BrB/Fl,646,0,54
Buzzwole C+SP/Lu,524,0,9
Carracosta WG+Li/BS,619,8,44
Carracosta (Shadow) RTh+Li/BS,845,8,127
Celebi Cf+AuS/LfS,380,28,0
Celesteela AS+BS/Bd,717,0,80
Centiskorch E+HW/Cr,701,8,74
Ceruledge I+SB/HW,543,8,16
Cetitan PS+Av/SP,384,16,0
Chandelure I+SB/FmC,383,16,0
Chandelure (Shadow) I+SB/FmC,464,16,0
Charizard DB+BB/AC,625,8,46
Charizard (Shadow) DB+BB/DC,510,8,4
Chesnaught LK+SP/FP,532,0,12
Chesnaught (Shadow) LK+SP/FP,486,16,0
Cinderace FS+BB/PB,635,8,50
Coalossal FS+RS/FmC,739,8,88
Cobalion DK+SSw/SE,758,8,95
Conkeldurr FPm+DyP/BrS,554,8,20
Conkeldurr (Shadow) FPm+DyP/BrS,420,16,0
Corviknight SdA+AC/IH,804,0,112
Corviknight (Shadow) SdA+AC/IH,698,0,73
Crabominable B+IP/BkB,595,16,35
Cresselia Cf+M/GK,576,8,28
Cresselia (Shadow) Cf+M/GK,516,36,6
Crobat AS+AC/SB,722,20,82
Crobat (Shadow) AS+AC/SB,722,8,82
Cryogonal IS+TAx/NS,668,8,62
Cursola A+NSh/PG,728,8,84
Darkrai Sn+DP/FB,676,8,65
Darkrai (Shadow) Sn+SB/DP,603,8,38
Darmanitan (Galarian) IF+Av/SP,638,4,51
Darmanitan (Standard) I+RS/Ov,687,8,69
Darmanitan (Standard) (Shadow) I+RS/Ov,622,28,45
Decidueye A+FP/SSh,701,28,74
Decidueye (Hisuian) PC+AuS/TBl,644,40,53
Delphox FS+Psh/BB,649,8,55
Delphox (Shadow) FS+Psh/BB,576,8,28
Deoxys (Defense) C+PB/RS,855,8,131
Deoxys (Speed) CB+PB/Sw,853,8,130
Dhelmise SC+SB/BrS,747,16,91
Dialga DB+IH/DM,769,8,99
Dialga (Origin) DB+ROT/IH,600,8,37
Dialga (Shadow) DB+IH/DM,361,16,0
Diancie RTh+RS/M,845,8,127
Dondozo W+S/O,439,0,0
Donphan MSl+BS/Eq,709,8,77
Donphan (Shadow) MSl+BS/Eq,668,8,62
Dragapult DT+SB/O,777,8,102
Dragonite DB+TP/SP,614,0,42
Dragonite (Shadow) DB+TP/SP,385,68,0
Drampa DB+Sw/Fl,633,28,49
Druddigon DT+NS/RT,760,28,96
Dudunsparce RO+DR/BS,834,8,123
Duraludon DT+DC/FC,801,8,111
Electivire TS+WC/IP,741,8,89
Electivire (Shadow) TS+WC/IP,709,16,77
Emboar E+BB/RS,625,8,46
Emboar (Shadow) E+BB/RS,578,8,29
Empoleon MSo+HC/DrlP,603,8,38
Empoleon (Shadow) MSo+HC/DrlP,519,8,7
Enamorus (Incarnate) FW+Fl/DG,319,40,0
