Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,148,35,0
Aerodactyl (Shadow) DB+RS/EP,142,25,0
Aggron DT+T/RT,213,10,0
Aggron (Shadow) DT+T/RT,222,0,0
Alakazam PC+FiP/SB,300,35,0
Alakazam (Shadow) PC+FiP/SB,285,15,0
Ampharos VS+BrS/TP,120,60,0
Ampharos (Shadow) VS+BrS/TP,96,40,0
Annihilape C+RF/IP,176,35,0
Annihilape (Shadow) C+RF/IP,169,25,0
Arboliva ML+TBl/EP,615,95,26
Arcanine FF+WC/PsF,137,45,0
Arcanine (Hisuian) Sn+WC/RS,97,0,0
Arcanine (Shadow) Sn+WC/PsF,196,65,0
Archeops WA+AP/Cr,149,25,0
Archeops (Shadow) WA+AP/Cr,131,5,0
Armaldo FC+RB/CP,231,35,0
Armaldo (Shadow) FC+RB/CP,277,35,0
Armarouge I+Psh/HW,129,35,0
Articuno PS+IW/Hu,228,35,0
Articuno (Galarian) PC+AP/BrB,215,0,0
Articuno (Shadow) PS+IW/Hu,225,15,0
Aurorus PS+WBI/Tb,172,35,0
Aurorus (Shadow) PS+WBI/MeB,163,15,0
Avalugg IF+Av/BS,188,15,0
Avalugg (Hisuian) PS+RS/IW,134,35,0
Azelf Cf+Sw/FS,155,60,0
Barbaracle FC+CrC/SE,100,0,0
Baxcalibur DB+Av/DC,119,5,0
Beartic PS+IP/Li,280,15,0
Bellibolt SkP+D/PbC,151,15,0
Bewear SC+SP/Pbk,196,45,0
Bisharp Sn+DP/XS,489,0,0
Blacephalon I+MdB/SB,171,25,0
Blastoise RO+HC/IB,94,80,0
Blastoise (Shadow) RO+HC/IB,91,5,0
Blissey ZH+WC/DG,421,25,0
Bouffalant MS+St/Eq,219,65,0
Braviary AS+CC/BrB,171,15,0
Braviary (Hisuian) AS+BrB/Fl,223,35,0
Buzzwole C+SP/Lu,273,45,0
Carracosta WG+Li/BS,58,5,0
Carracosta (Shadow) RTh+Li/BS,21,20,0
Celebi Cf+AuS/LfS,151,5,0
Celesteela AS+BS/Bd,270,35,0
Centiskorch E+HW/Cr,243,0,0
Ceruledge I+SB/HW,140,35,0
Cetitan PS+Av/SP,212,15,0
Chandelure I+SB/FmC,161,35,0
Chandelure (Shadow) I+SB/FmC,158,25,0
Charizard DB+BB/AC,151,35,0
Charizard (Shadow) DB+BB/DC,133,25,0
Chesnaught LK+SP/FP,404,20,0
Chesnaught (Shadow) LK+SP/FP,480,20,0
Cinderace FS+BB/PB,180,0,0
Coalossal FS+RS/FmC,116,40,0
Cobalion DK+SSw/SE,305,55,0
Conkeldurr C+DyP/BrS,156,15,0
Conkeldurr (Shadow) C+DyP/BrS,194,25,0
Corviknight SdA+AC/IH,338,0,0
Crabominable B+IP/BkB,298,25,0
Cresselia Cf+M/GK,121,45,0
Cresselia (Shadow) Cf+M/GK,114,25,0
Crobat AS+AC/SB,213,35,0
Crobat (Shadow) AS+AC/SB,205,25,0
Cryogonal IS+TAx/NS,279,35,0
Cursola A+NSh/PG,151,5,0
Darkrai Sn+DP/FB,254,0,0
Darkrai (Shadow) Sn+SB/DP,257,35,0
Darmanitan (Galarian) IF+Av/SP,254,5,0
Darmanitan (Standard) I+RS/Ov,170,35,0
Darmanitan (Standard) (Shadow) I+RS/Ov,156,25,0
Decidueye A+FP/SSh,273,80,0
Decidueye (Hisuian) PC+AuS/TBl,394,55,0
Delphox FS+Psh/BB,170,0,0
Delphox (Shadow) FS+Psh/BB,170,35,0
Deoxys (Defense) C+PB/RS,291,50,0
Deoxys (Speed) CB+PB/Sw,291,0,0
Dhelmise SC+SB/BrS,296,25,0
Dialga DB+IH/DM,108,5,0
Dialga (Origin) DB+ROT/IH,100,5,0
Dialga (Shadow) DB+IH/DM,125,5,0
Diancie RTh+RS/M,47,40,0
Dondozo W+S/O,51,5,0
Donphan MSl+BS/Eq,231,0,0
Donphan (Shadow) MSl+BS/Eq,231,35,0
Dragapult DT+SB/O,111,25,0
Dragonite DB+TP/SP,74,5,0
Dragonite (Shadow) DB+TP/SP,82,5,0
Drampa DB+Sw/Fl,122,25,0
Druddigon DT+NS/RT,140,45,0
Dudunsparce RO+BS/DR,109,5,0
Duraludon DT+DC/FC,181,15,0
Electivire TS+WC/IP,198,15,0
Electivire (Shadow) TS+WC/IP,176,5,0
Emboar E+BB/RS,186,0,0
Emboar (Shadow) E+BB/RS,213,0,0
Empoleon MSo+HC/DrlP,241,0,0
Empoleon (Shadow) MSo+HC/DrlP,292,0,0
Enamorus (Incarnate) FW+Fl/DG,300,0,0
Enamorus (Therian) FW+MF/M,220,0,0
Entei FS+FmC/ScS,114,45,0
Entei (Shadow) FS+FmC/ScS,109,15,0
Escavalier BBi+DR/Mh,676,35,40
Escavalier (Shadow) BBi+DR/Mh,756,80,58
Espeon Cf+PsF/SB,154,5,0
Eternatus DT+DyC/Ft,59,5,0
Excadrill MS+DR/RS,437,0,0
Excadrill (Shadow) MS+DR/RS,743,55,55
Exeggutor Cf+SeB/P,211,5,0
Exeggutor (Alolan) DT+SeB/DM,177,15,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,206,80,0
Exeggutor (Shadow) Cf+SeB/P,255,60,0
Feraligatr SC+HC/IB,157,0,0
Feraligatr (Shadow) SC+HC/IB,126,15,0
Flareon E+SP/HW,218,20,0
Florges FW+M/CW,181,0,0
Gallade PC+CC/LB,230,35,0
Gallade (Shadow) PC+CC/LB,262,35,0
Garchomp DT+Tw/EP,86,25,0
Garchomp (Shadow) DT+Tw/EP,72,5,0
Gardevoir Ch+SB/TAx,230,45,0
Gardevoir (Shadow) Ch+SB/TAx,211,25,0
Garganacl MS+RT/RB,114,0,0
Genesect FC+MgB/TBN,787,35,65
Genesect (Burn) FC+MgB/TBB,787,35,65
Genesect (Chill) FC+MgB/TBC,787,35,65
Genesect (Douse) FC+MgB/TBD,787,35,65
Genesect (Shock) FC+MgB/TBS,787,35,65
Gholdengo H+SB/FB,304,35,0
Gigalith MSl+SP/MeB,140,0,0
Gigalith (Shadow) MSl+MeB/SP,171,55,0
Giratina (Altered) DB+DC/AP,81,35,0
Giratina (Altered) (Shadow) DB+AP/DC,73,25,0
Giratina (Origin) DT+SB/OW,73,25,0
Glaceon IS+Av/WP,285,15,0
Glimmora RTh+MeB/PG,25,20,0
Gliscor WA+NS/Acr,222,55,0
Gliscor (Shadow) SdA+NS/Acr,216,35,0
Gogoat VW+LB/BkB,478,95,0
Golem MSl+SE/Eq,162,0,0
Golem (Alolan) VS+WC/SE,78,60,0
Golem (Alolan) (Shadow) VS+WC/SE,58,40,0
Golem (Shadow) MSl+Eq/SE,148,35,0
Golisopod FC+AJ/XS,225,0,0
Golurk A+ShP/DyP,184,80,0
Golurk (Shadow) A+ShP/DyP,165,5,0
Goodra DB+AT/DM,77,25,0
Gourgeist (Large) I+SB/FoP,371,0,0
Gourgeist (Super) H+SB/FoP,359,0,0
Grimmsnarl SkP+FoP/PR,141,5,0
Groudon DT+FiP/PrB,133,15,0
