Pokemon,Battle Rating,Energy Remaining,HP Remaining
Zacian (Crowned Sword) MC+CC/BB,358,35,0
Palkia (Origin) DB+AT/SpR,383,7,0
Metagross SC+MM/Eq,296,21,0
Kyurem (White) DB+FuF/IBu,490,21,0
Lunala SC+SB/M,260,4,0
Xerneas Geo+CC/M,686,16,70
Dialga (Origin) DB+ROT/IH,391,28,0
Reshiram DB+FuF/DM,413,28,0
Zamazenta (Crowned Shield) IF+CC/BB,531,0,12
Kyurem (Black) DT+FSh/FuB,474,14,0
Kyogre W+Av/OP,648,0,56
Zekrom DB+O/FuB,364,7,0
Marshadow SC+CC/IP,198,2,0
Reshiram (Shadow) DB+FuF/DM,486,28,0
Eternatus DT+DyC/Ft,225,35,0
Palkia (Shadow) DB+AT/DM,479,14,0
Lugia DT+A/Fl,257,25,0
Metagross (Shadow) SC+MM/Eq,334,21,0
Lugia (Shadow) DT+A/Fl,290,11,0
Garchomp (Shadow) DT+Tw/EP,347,14,0
Necrozma (Dawn Wings) SC+DP/MoG,336,18,0
Yveltal SkP+DP/ObW,349,28,0
Garchomp DT+Tw/EP,314,35,0
Ho-Oh I+BrB/SF,440,30,0
Zygarde (Complete Forme) DT+Cr/Eq,320,35,0
Meloetta (Aria) Cf+Psh/DG,323,7,0
Palkia DB+AT/FiB,441,28,0
Latios DB+AuS/LrP,334,14,0
Latios (Shadow) DB+AuS/LrP,392,14,0
Kyogre (Shadow) W+Av/OP,595,0,36
Necrozma (Dusk Mane) SC+DP/Stl,483,0,0
Gyarados (Shadow) DB+AT/Tw,438,28,0
Groudon DT+FiP/PrB,312,21,0
Gholdengo H+SB/FB,288,30,0
Mewtwo (Shadow) PC+Pst/SB,210,35,0
Florges FW+M/CW,336,7,0
Solgaleo FS+PsF/IH,416,2,0
Melmetal TS+DbI/DyP,542,0,16
Keldeo (Resolute) LK+SeS/AJ,457,28,0
Latias (Shadow) DB+AuS/MsB,340,14,0
Dialga DB+IH/DM,407,28,0
Dialga (Shadow) DB+IH/DM,464,28,0
Hydreigon (Shadow) DB+BrS/Fl,670,0,64
Jirachi Cf+DD/AuS,251,7,0
Mewtwo PC+Pst/SB,184,35,0
Togekiss Pk+DG/AuS,463,2,0
Annihilape (Shadow) C+RF/IP,372,11,0
Kyurem DB+G/DC,587,21,33
Primarina W+DV/HC,723,21,84
Latias DB+AuS/MsB,281,14,0
Tapu Lele A+Psh/NM,792,2,110
Dragonite (Shadow) DB+TP/SP,377,7,0
Goodra DB+AT/DM,322,14,0
Keldeo (Ordinary) LK+AJ/SSw,457,28,0
Tyranitar (Shadow) DB+BrS/SE,683,0,69
Sylveon FW+M/SB,489,9,0
Landorus (Therian) MS+SSt/SE,391,25,0
Gyarados DB+AT/Cr,582,0,31
Annihilape C+RF/IP,369,32,0
Groudon (Shadow) DT+FiP/PrB,347,21,0
Ho-Oh (Shadow) I+BrB/SF,797,23,112
Volcanion I+Sc/EP,587,0,33
Dragonite DB+TP/SP,329,21,0
Urshifu (Single Strike) SkP+DyP/Pbk,805,7,115
Hydreigon DB+BrS/Fl,688,0,71
Heatran (Shadow) FS+MgS/EP,515,0,6
Raikou (Shadow) TS+WC/AuS,446,35,0
Rhyperior MSl+DR/RW,763,9,99
Baxcalibur DB+GlR/Av,784,0,107
Giratina (Origin) DT+SB/OW,223,32,0
Urshifu (Rapid Strike) W+AJ/DyP,566,0,25
Zapdos (Shadow) TS+DrlP/HW,196,28,0
Rhyperior (Shadow) MSl+DR/RW,755,2,96
Enamorus (Therian) FW+MF/M,688,9,71
Giratina (Altered) (Shadow) DB+AP/DC,332,6,0
Raikou TS+AuS/WC,357,0,0
Tyranitar DB+BrS/SE,744,0,92
Conkeldurr (Shadow) FPm+DyP/BrS,656,14,59
Salamence (Shadow) DT+Fl/BrS,394,0,0
Heatran FS+MgS/EP,609,0,41
Mewtwo (Armored) Cf+Pst/DyP,307,16,0
Zapdos TS+DrlP/Tb,317,0,0
Kartana FC+LB/SSw,510,0,4
Golisopod FC+AJ/XS,734,0,88
Victini Cf+VC/Psh,447,4,0
Zacian (Hero) QA+WC/PR,367,7,0
Giratina (Altered) DB+DC/AP,304,6,0
Hippowdon SdA+WBR/EP,625,2,47
Dondozo W+S/O,675,14,66
Tapu Bulu BS+GK/NM,848,0,131
Hippowdon (Shadow) SdA+WBR/EP,603,30,39
Conkeldurr FPm+DyP/BrS,442,14,0
Tapu Fini WG+S/NM,566,0,25
Zamazenta (Hero) IF+CC/Cr,526,0,10
Landorus (Incarnate) (Shadow) MS+EP/RS,880,2,143
Rayquaza DT+BkS/DrA,306,2,0
Kommo-o DT+ClS/UH,381,21,0
Landorus (Incarnate) MS+EP/RS,577,37,29
Genesect (Chill) FC+MgB/TBC,664,0,62
Avalugg (Hisuian) PS+RS/IW,750,0,94
Milotic W+AT/Wr,704,0,77
Cobalion DK+SSw/SE,561,0,23
Mamoswine (Shadow) PS+HH/ISp,864,0,137
Kingambit MSo+FoP/IH,917,0,157
Swampert MS+HC/Eq,609,0,41
Zeraora VS+PF/WC,407,0,0
Genesect (Shock) FC+MgB/TBS,341,14,0
Salamence DT+Fl/BrS,317,0,0
Skeledirge I+TSo/SB,598,2,37
Mamoswine PS+ISp/HH,595,21,36
Virizion DK+LB/SSw,595,28,36
Enamorus (Incarnate) FW+Fl/DG,371,35,0
Zygarde (50% Forme) DT+Cr/Eq,429,0,0
Blacephalon I+MdB/SB,640,7,53
Mew SC+Psh/WC,378,23,0
Terrakion DK+SSw/RS,462,28,0
Swampert (Shadow) MS+HC/Eq,513,0,5
Milotic (Shadow) W+AT/Wr,654,0,58
Thundurus (Incarnate) (Shadow) TS+TP/BkB,241,28,0
Ursaluna (Shadow) Tk+Sw/HH,457,35,0
Regidrago DB+DrE/VG,630,0,49
Tapu Koko VS+Tb/NM,691,0,72
Thundurus (Therian) VS+WbS/FB,435,2,0
Ursaluna Tk+Sw/HH,606,0,40
Sneasler (Shadow) SC+CC/XS,699,2,75
Xurkitree TS+D/DG,207,28,0
Articuno PS+IW/Hu,510,0,4
Genesect (Burn) FC+MgB/TBB,664,0,62
Gigalith (Shadow) LO+MeB/SP,707,0,78
Armarouge I+Psh/HW,587,2,33
Genesect FC+MgB/TBN,563,0,24
Magnezone (Shadow) VS+WC/MrS,651,0,57
Avalugg IF+Av/BS,739,0,90
Cetitan PS+Av/SP,712,56,80
Celebi Cf+AuS/LfS,353,7,0
Gallade (Shadow) PC+CC/LB,438,0,0
Necrozma SC+DP/O,431,37,0
Machamp (Shadow) KC+CrC/SE,688,0,71
Gallade PC+CC/LB,470,9,0
Genesect (Douse) FC+MgB/TBD,664,0,62
Moltres (Galarian) SkP+AP/Pbk,728,0,86
Zapdos (Galarian) LK+Fl/BrB,336,7,0
Golurk (Shadow) A+ShP/EP,598,2,37
Chesnaught (Shadow) LK+SP/FP,864,0,137
Articuno (Shadow) PS+IW/Hu,352,21,0
Gigalith LO+SP/MeB,712,0,80
Moltres WA+Fl/HW,734,2,88
Regirock LO+SE/FB,670,0,64
Empoleon MSo+HC/DrlP,664,0,62
Quaquaval LK+CC/HC,598,49,37
Empoleon (Shadow) MSo+HC/DrlP,627,7,48
Entei FS+FmC/ScS,829,23,124
Excadrill (Shadow) MS+DR/RS,672,0,65
Feraligatr SC+HC/IB,686,35,70
Zarude VW+DP/EB,492,7,0
Feraligatr (Shadow) SC+HC/IB,718,7,82
Ceruledge I+SB/HW,837,9,127
Cresselia Cf+M/GK,285,25,0
Heracross FC+UH/RT,672,23,65
Machamp KC+CrC/RS,561,21,23
Aurorus (Shadow) PS+WBI/MeB,808,0,116
Haxorus (Shadow) DT+NS/DC,694,0,73
Chandelure (Shadow) I+SB/EB,816,2,119
Grimmsnarl SkP+FoP/PR,864,0,137
Buzzwole C+SP/Lu,317,28,0
Chandelure I+SB/EB,848,2,131
Moltres (Shadow) WA+Fl/HW,704,2,77
Nihilego PJ+PG/SlB,364,37,0
Snorlax (Shadow) L+BS/SP,622,35,46
Walrein PS+ISp/Eq,805,21,115
Excadrill MS+DR/RS,488,28,0
Regirock (Shadow) LO+SE/FB,622,0,46
Walrein (Shadow) PS+ISp/Eq,890,0,147
Golurk A+ShP/EP,518,18,7
Electivire (Shadow) TS+WC/IP,704,0,77
Pangoro KC+CC/NS,864,0,137
Scizor (Shadow) BP+NS/TBl,410,14,0
Snorlax L+BS/SP,718,0,82
Typhlosion (Hisuian) H+SB/FiP,771,2,102
Dhelmise SC+SB/BrS,507,0,3
Entei (Shadow) FS+FmC/ScS,848,2,131
Suicune IF+Sc/IB,827,0,123
Magnezone VS+WC/MrS,449,0,0
Torterra (Shadow) MSl+FP/ST,734,21,88
Haxorus DT+NS/DC,763,14,99
Delphox (Shadow) FS+Psh/BB,848,2,131
Thundurus (Incarnate) TS+Cr/T,476,2,0
Hoopa A+SB/P,433,25,0
Charizard DB+BB/AC,648,2,56
Cresselia (Shadow) Cf+M/GK,341,30,0
Lapras Psy+SpA/IB,646,0,55
Torterra MSl+FP/ST,427,21,0
Dragapult DT+SB/O,304,9,0
Vaporeon WG+AT/LR,664,0,62
Sneasler SC+CC/AA,351,21,0
Delphox FS+Psh/BB,867,2,138
Sinistcha A+SB/EB,382,21,0
Hariyama (Shadow) FPm+UH/HS,736,7,89
Sirfetch'd FC+CC/LB,648,0,56
Decidueye (Hisuian) PC+AuS/TBl,614,0,43
Ursaring (Shadow) SC+CC/Sw,686,0,70
Scizor BP+NS/TBl,558,0,22
Hydrapple DT+SeB/O,601,28,38
Lapras (Shadow) Psy+SpA/IB,643,14,54
Suicune (Shadow) IF+Sc/IB,827,0,123
Gogoat VW+LB/BkB,553,7,20
Magmortar (Shadow) KC+FiP/Tb,757,0,97
Chesnaught LK+SP/FP,489,7,0
Charizard (Shadow) DB+BB/DC,813,2,118
Darmanitan (Standard) (Shadow) I+RS/Ov,827,0,123
Arcanine FF+WC/PsF,843,2,129
Electivire TS+WC/IP,744,0,92
Typhlosion (Shadow) I+BB/TP,848,0,131
Vikavolt (Shadow) VS+D/XS,272,35,0
Kingdra (Shadow) DB+S/Sw,728,0,86
Passimian C+CC/BrS,492,63,0
Kingdra DB+S/Sw,561,0,23
Bewear (Shadow) SC+SP/St,837,0,127
Darmanitan (Standard) I+RS/Ov,848,0,131
Mudsdale MSl+BS/Eq,731,30,87
Gourgeist (Super) H+SB/FoP,553,4,20
Pinsir (Shadow) FC+CC/XS,696,2,74
Decidueye A+FP/SSh,366,21,0
Guzzlord DT+BrS/DC,646,0,55
Typhlosion I+BB/TP,678,2,67
Regice LO+T/Eq,654,0,58
Vikavolt VS+D/XS,407,0,0
Aurorus PS+WBI/Tb,917,0,157
Donphan MSl+BS/Eq,368,35,0
Donphan (Shadow) MSl+BS/Eq,773,2,103
Hariyama FPm+UH/HS,545,35,17
Aggron (Shadow) DT+T/RT,848,0,131
Krookodile MSl+Cr/ST,691,7,72
Registeel LO+FC/FB,715,0,81
Cinderace FS+BB/PB,867,7,138
Darkrai (Shadow) Sn+SB/DP,904,0,152
Emboar (Shadow) E+BB/RS,917,0,157
Articuno (Galarian) PC+AP/BrB,387,9,0
Regigigas HPI+CrG/T,837,35,127
Samurott (Hisuian) FC+SSw/IW,779,0,105
Samurott (Shadow) FC+HC/RSh,829,0,124
Gardevoir (Shadow) Ch+SB/TAx,571,0,27
Roserade PSt+WBF/LfS,415,0,0
Aggron DT+T/RT,867,0,138
Escavalier BBi+DR/Mh,609,0,41
Sandaconda MSl+EP/Wr,757,16,97
Centiskorch E+HW/Cr,805,2,115
Darkrai Sn+DP/FB,922,0,159
Samurott FC+HC/RSh,734,28,88
Beartic PS+IP/Li,890,0,147
Aerodactyl (Shadow) DB+RS/EP,813,2,118
Cursola A+NSh/PG,457,11,0
Escavalier (Shadow) BBi+DR/Mh,582,0,31
Magmortar KC+FiP/Tb,763,2,99
Incineroar Sn+BB/DkL,941,0,166
Seismitoad MS+EP/IW,694,0,73
Alakazam (Shadow) PC+FiP/SB,337,35,0
Gourgeist (Large) H+SB/FoP,625,2,47
Tauros (Aqua) DK+AJ/TBl,640,21,53
Emboar E+BB/RS,909,2,154
Overqwil PSt+AT/SB,638,0,52
Ursaring SC+CC/Sw,736,0,89
Ampharos VS+BrS/TP,430,7,0
Venusaur (Shadow) VW+FP/Sl,398,0,0
Drampa DB+Sw/Fl,837,0,127
Tangrowth VW+PW/RS,492,7,0
Throh (Shadow) LK+BkB/BS,643,35,54
Volcarona FS+Ov/Hu,848,2,131
Bewear SC+SP/St,864,0,137
Polteageist H+SB/DP,526,39,10
Tangrowth (Shadow) VW+PW/RS,757,0,97
Ampharos (Shadow) VS+BrS/TP,691,0,72
Regice (Shadow) LO+T/Eq,603,0,39
Tornadus (Therian) G+BwS/HW,408,16,0
Espeon Cf+PsF/SB,238,35,0
Throh LK+BkB/BS,585,0,32
Hoopa (Unbound) Cf+SB/DP,458,0,0
Golem (Alolan) (Shadow) VS+WC/SE,691,0,72
Venusaur VW+FP/Sl,343,0,0
Bellibolt SkP+D/PbC,662,0,61
Celesteela AS+BS/Bd,494,14,0
Golem (Alolan) VS+WC/SE,465,7,0
Garganacl MS+RT/RB,829,0,124
Barbaracle FC+CrC/SE,760,21,98
Gliscor (Shadow) SdA+NS/Acr,816,2,119
Pinsir FC+CC/XS,781,2,106
Aerodactyl DB+RS/EP,813,2,118
Rillaboom RL+DrB/EP,497,21,0
Shaymin (Sky) ML+EB/GK,590,21,34
Slowbro Cf+S/DrP,448,14,0
Toedscruel MSl+EP/Wr,656,0,59
Gardevoir Ch+SB/TAx,643,2,54
Poliwrath C+Sc/IW,694,0,73
Registeel (Shadow) LO+FC/FB,675,0,66
Tauros (Blaze) DK+FmC/TBl,667,2,63
Tauros (Combat) DK+CC/TBl,640,21,53
Tyrantrum (Shadow) DT+MeB/RT,803,0,114
Alakazam PC+FiP/SB,792,2,110
Stakataka RTh+SE/Bd,784,0,107
Dudunsparce RO+DR/BS,827,14,123
Flareon E+SP/HW,917,0,157
Archeops (Shadow) WA+AP/Cr,678,0,67
Slowbro (Shadow) Cf+S/DrP,376,21,0
Cryogonal IS+TAx/NS,811,14,117
Weavile (Shadow) Sn+Av/FB,922,0,159
Duraludon DT+DC/FC,805,14,115
Exeggutor (Alolan) DT+SeB/DM,837,0,127
Poliwrath (Shadow) C+Sc/IW,603,35,39
Blastoise RO+HC/IB,821,0,121
Corviknight (Shadow) SdA+AC/IH,529,0,11
