Pokemon,Battle Rating,Energy Remaining,HP Remaining
Zacian (Crowned Sword) MC+CC/BB,263,40,0
Palkia (Origin) DB+AT/SpR,679,11,59
Metagross SC+MM/Eq,377,8,0
Kyurem (White) DB+FuF/IBu,801,3,99
Lunala SC+SB/M,290,11,0
Xerneas Geo+CC/M,189,8,0
Dialga (Origin) DB+ROT/IH,301,24,0
Reshiram DB+FuF/DM,494,19,0
Zamazenta (Crowned Shield) IF+CC/BB,248,32,0
Kyurem (Black) DT+FSh/FuB,673,3,57
Kyogre W+Av/OP,364,24,0
Zekrom DB+O/FuB,486,11,0
Marshadow SC+CC/IP,400,35,0
Reshiram (Shadow) DB+FuF/DM,762,3,86
Eternatus DT+DyC/Ft,126,0,0
Palkia (Shadow) DB+AT/DM,762,3,86
Lugia DT+A/Fl,235,35,0
Metagross (Shadow) SC+MM/Eq,468,8,0
Lugia (Shadow) DT+A/Fl,266,35,0
Garchomp (Shadow) DT+Tw/EP,234,0,0
Necrozma (Dawn Wings) SC+DP/MoG,352,19,0
Yveltal SkP+DP/ObW,358,0,0
Garchomp DT+Tw/EP,476,19,0
Ho-Oh I+BrB/SF,260,11,0
Zygarde (Complete Forme) DT+Cr/Eq,554,6,18
Meloetta (Aria) Cf+Psh/DG,203,16,0
Palkia DB+AT/FiB,740,19,79
Latios DB+AuS/LrP,801,3,99
Latios (Shadow) DB+AuS/LrP,801,3,99
Kyogre (Shadow) W+Av/OP,222,8,0
Necrozma (Dusk Mane) SC+DP/Stl,222,24,0
Gyarados (Shadow) DB+AT/Tw,412,27,0
Groudon DT+FiP/PrB,211,8,0
Gholdengo H+SB/FB,318,16,0
Mewtwo (Shadow) PC+Pst/SB,65,40,0
Florges FW+M/CW,184,8,0
Solgaleo FS+PsF/IH,352,24,0
Melmetal TS+DbI/DyP,637,8,45
Keldeo (Resolute) LK+SeS/AJ,414,0,0
Latias (Shadow) DB+AuS/MsB,801,3,99
Dialga DB+IH/DM,315,24,0
