Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,591,8,34
Aerodactyl (Shadow) DB+RS/EP,540,8,15
Aggron DT+T/RT,927,1,159
Aggron (Shadow) DT+T/RT,911,1,153
Alakazam PC+FiP/SB,259,10,0
Alakazam (Shadow) PC+FiP/SB,288,10,0
Ampharos VS+BrS/TP,610,2,41
Ampharos (Shadow) VS+BrS/TP,594,17,35
Annihilape C+RF/IP,276,0,0
Annihilape (Shadow) C+RF/IP,232,17,0
Arboliva ML+EP/EB,825,28,121
Arcanine FF+WC/PsF,634,8,50
Arcanine (Hisuian) Sn+WC/RS,658,28,59
Arcanine (Shadow) Sn+WC/PsF,717,8,81
Archeops WA+AP/Cr,610,8,41
Archeops (Shadow) WA+AP/Cr,500,28,0
Armaldo FC+RB/CP,741,8,90
Armaldo (Shadow) FC+RB/CP,715,8,80
Armarouge I+Psh/HW,171,10,0
Articuno PS+IW/Hu,706,8,77
Articuno (Galarian) PC+AP/BrB,112,19,0
Articuno (Shadow) PS+IW/Hu,637,8,51
Aurorus PS+WBI/Tb,924,1,158
Aurorus (Shadow) PS+WBI/MeB,913,1,154
Avalugg IF+Av/BS,508,2,3
Avalugg (Hisuian) PS+RS/IW,672,19,64
Azelf Cf+Sw/FS,225,10,0
Barbaracle FC+CrC/SE,774,37,102
Baxcalibur DB+GlR/Av,409,10,0
Beartic PS+IP/Li,637,19,51
Bellibolt SkP+D/PbC,663,0,61
Bewear SC+SP/St,551,37,19
Bewear (Shadow) SC+SP/St,534,10,13
Bisharp Sn+DP/XS,959,1,171
Blacephalon I+MdB/SB,164,1,0
Blastoise RO+HC/IB,717,11,81
Blastoise (Shadow) RO+HC/IB,672,2,64
Blissey ZH+WC/DG,631,3,49
Bouffalant MS+St/Eq,631,2,49
Braviary AS+CC/BrB,731,8,86
Braviary (Hisuian) AS+BrB/Fl,758,8,96
Buzzwole C+SP/Lu,159,19,0
Carracosta WG+Li/BS,688,37,70
Carracosta (Shadow) RTh+Li/BS,887,10,144
Celebi Cf+AuS/LfS,286,8,0
Celesteela AS+BS/Bd,513,0,5
Centiskorch E+HW/Cr,647,8,55
Ceruledge I+SB/HW,774,8,102
Cetitan PS+Av/SP,580,8,30
Chandelure I+SB/FmC,750,8,93
Chandelure (Shadow) I+SB/FmC,701,8,75
Charizard DB+BB/AC,199,19,0
Charizard (Shadow) DB+BB/DC,244,19,0
Chesnaught LK+SP/FP,483,20,0
Chesnaught (Shadow) LK+SP/FP,326,28,0
Cinderace FS+BB/PB,561,8,23
Coalossal FS+RS/FmC,712,17,79
Cobalion DK+SSw/SE,698,2,74
Conkeldurr FPm+DyP/BrS,298,28,0
Conkeldurr (Shadow) FPm+DyP/BrS,365,28,0
Corviknight SdA+AC/IH,526,0,10
Corviknight (Shadow) SdA+AC/IH,685,2,69
Crabominable B+IP/BkB,927,10,159
Cresselia Cf+M/GK,214,26,0
Cresselia (Shadow) Cf+M/GK,246,8,0
Crobat AS+AC/SB,599,8,37
Crobat (Shadow) AS+AC/SB,521,8,8
Cryogonal IS+TAx/NS,814,8,117
Cursola A+NSh/PG,422,8,0
Darkrai Sn+DP/FB,919,28,156
Darkrai (Shadow) Sn+SB/DP,943,1,165
Darmanitan (Galarian) IF+Av/SP,870,1,138
Darmanitan (Standard) I+RS/Ov,758,8,96
Darmanitan (Standard) (Shadow) I+RS/Ov,709,8,78
Decidueye A+FP/SSh,363,8,0
Decidueye (Hisuian) PC+AuS/TBl,583,2,31
Delphox FS+Psh/BB,195,19,0
Delphox (Shadow) FS+Psh/BB,237,19,0
Deoxys (Defense) C+PB/RS,366,53,0
Deoxys (Speed) CB+PB/Sw,488,35,0
