Pokemon,Battle Rating,Energy Remaining,HP Remaining
Zacian (Crowned Sword) MC+CC/BB,410,3,0
Palkia (Origin) DB+AT/SpR,187,32,0
Metagross SC+MM/Eq,296,3,0
Kyurem (White) DB+FuF/IBu,461,3,0
Lunala SC+SB/M,386,16,0
Xerneas Geo+CC/M,381,0,0
Dialga (Origin) DB+ROT/IH,480,11,0
Reshiram DB+FuF/DM,478,3,0
Zamazenta (Crowned Shield) IF+CC/BB,254,27,0
Kyurem (Black) DT+FSh/FuB,479,11,0
Kyogre W+Av/OP,233,0,0
Zekrom DB+O/FuB,704,0,88
Marshadow SC+CC/IP,443,0,0
Reshiram (Shadow) DB+FuF/DM,623,3,53
Eternatus DT+DyC/Ft,737,0,102
Palkia (Shadow) DB+AT/DM,213,32,0
Lugia DT+A/Fl,586,19,37
Metagross (Shadow) SC+MM/Eq,316,8,0
Lugia (Shadow) DT+A/Fl,818,3,137
Garchomp (Shadow) DT+Tw/EP,746,80,106
Necrozma (Dawn Wings) SC+DP/MoG,497,11,0
Yveltal SkP+DP/ObW,695,0,84
Garchomp DT+Tw/EP,753,0,109
Ho-Oh I+BrB/SF,333,0,0
Zygarde (Complete Forme) DT+Cr/Eq,818,0,137
Meloetta (Aria) Cf+Psh/DG,422,3,0
Palkia DB+AT/FiB,187,32,0
Latios DB+AuS/LrP,322,40,0
Latios (Shadow) DB+AuS/LrP,380,40,0
Kyogre (Shadow) W+Av/OP,138,40,0
Necrozma (Dusk Mane) SC+DP/Stl,300,11,0
Gyarados (Shadow) DB+AT/Tw,211,32,0
Groudon DT+FiP/PrB,786,0,123
Gholdengo H+SB/FB,313,16,0
Mewtwo (Shadow) PC+Pst/SB,236,40,0
Florges FW+M/CW,342,8,0
Solgaleo FS+PsF/IH,119,43,0
Melmetal TS+DbI/DyP,275,6,0
Keldeo (Resolute) LK+SeS/AJ,122,32,0
Latias (Shadow) DB+AuS/MsB,718,0,94
Dialga DB+IH/DM,497,11,0
Dialga (Shadow) DB+IH/DM,623,3,53
Hydreigon (Shadow) DB+BrS/Fl,373,40,0
Jirachi Cf+DD/AuS,293,3,0
Mewtwo PC+Pst/SB,210,40,0
Togekiss Pk+DG/AuS,788,0,124
Annihilape (Shadow) C+RF/IP,234,40,0
Kyurem DB+G/DC,364,8,0
Primarina W+DV/HC,328,16,0
Latias DB+AuS/MsB,765,0,114
Tapu Lele A+Psh/NM,737,3,102
Dragonite (Shadow) DB+TP/SP,765,72,114
Goodra DB+AT/DM,541,0,18
Keldeo (Ordinary) LK+AJ/SSw,122,32,0
Tyranitar (Shadow) DB+BrS/SE,730,3,99
Sylveon FW+M/SB,479,11,0
Landorus (Therian) MS+SSt/SE,609,0,47
Gyarados DB+AT/Cr,229,48,0
Annihilape C+RF/IP,395,0,0
Groudon (Shadow) DT+FiP/PrB,753,0,109
Ho-Oh (Shadow) I+BrB/SF,166,32,0
Volcanion I+Sc/EP,186,3,0
Dragonite DB+TP/SP,481,40,0
Urshifu (Single Strike) SkP+DyP/Pbk,665,3,71
Hydreigon DB+BrS/Fl,518,0,8
Heatran (Shadow) FS+MgS/EP,109,35,0
Raikou (Shadow) TS+WC/AuS,220,32,0
Rhyperior MSl+DR/RW,720,0,95
Baxcalibur DB+GlR/Av,473,8,0
Giratina (Origin) DT+SB/OW,786,0,123
Urshifu (Rapid Strike) W+AJ/DyP,266,0,0
Zapdos (Shadow) TS+DrlP/HW,405,40,0
Rhyperior (Shadow) MSl+DR/RW,672,0,74
Enamorus (Therian) FW+MF/M,834,0,144
Giratina (Altered) (Shadow) DB+AP/DC,753,0,109
Raikou TS+AuS/WC,558,3,25
Tyranitar DB+BrS/SE,442,3,0
Conkeldurr (Shadow) FPm+DyP/BrS,213,24,0
Salamence (Shadow) DT+Fl/BrS,820,64,138
Heatran FS+MgS/EP,90,43,0
Mewtwo (Armored) Cf+Pst/DyP,359,24,0
Zapdos TS+DrlP/Tb,679,0,77
Kartana FC+LB/SSw,282,32,0
Golisopod FC+AJ/XS,262,0,0
Victini Cf+VC/Psh,258,8,0
Zacian (Hero) QA+WC/PR,651,27,65
Giratina (Altered) DB+DC/AP,783,3,122
Hippowdon SdA+WBR/EP,711,0,91
Dondozo W+S/O,251,14,0
Tapu Bulu BS+GK/NM,786,0,123
Hippowdon (Shadow) SdA+WBR/EP,634,0,58
Conkeldurr FPm+DyP/BrS,218,40,0
Tapu Fini WG+S/NM,359,35,0
