Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,194,44,0
Aerodactyl (Shadow) DB+RS/EP,247,44,0
Aggron DT+T/RT,143,4,0
Aggron (Shadow) DT+T/RT,171,4,0
Alakazam PC+FiP/SB,107,1,0
Alakazam (Shadow) PC+FiP/SB,122,1,0
Ampharos VS+BrS/TP,150,30,0
Ampharos (Shadow) VS+BrS/TP,177,30,0
Annihilape C+RF/IP,188,30,0
Annihilape (Shadow) C+RF/IP,188,16,0
Arboliva ML+TBl/SeB,151,30,0
Arcanine FF+WC/PsF,274,30,0
Arcanine (Hisuian) Sn+WC/RS,144,30,0
Arcanine (Shadow) FF+WC/PsF,290,16,0
Archeops WA+AP/Cr,240,44,0
Archeops (Shadow) WA+AP/Cr,231,30,0
Armaldo FC+RB/Li,137,16,0
Armaldo (Shadow) FC+RB/CP,121,2,0
Armarouge I+Psh/HW,70,16,0
Articuno PS+IW/Hu,123,44,0
Articuno (Galarian) PC+AP/BrB,83,15,0
Articuno (Shadow) PS+IW/Hu,147,44,0
Aurorus PS+WBI/Tb,95,16,0
Aurorus (Shadow) PS+WBI/MeB,112,16,0
Avalugg IF+Av/BS,105,30,0
Avalugg (Hisuian) PS+RS/IW,118,44,0
Azelf Cf+Sw/FS,125,30,0
Barbaracle FC+CrC/SE,115,16,0
Baxcalibur DB+Av/DC,136,30,0
Beartic PS+IP/Li,157,30,0
Bellibolt SkP+D/PbC,121,30,0
Bewear SC+SP/St,218,30,0
Bewear (Shadow) SC+SP/St,261,30,0
Bisharp Sn+DP/XS,53,15,0
Blacephalon I+MdB/SB,187,16,0
Blastoise RO+HC/IB,135,15,0
Blastoise (Shadow) RO+HC/IB,164,15,0
Blissey ZH+WC/DG,315,8,0
Bouffalant MS+St/Mh,131,30,0
Braviary AS+CC/BrB,305,44,0
Braviary (Hisuian) AS+BrB/Fl,267,43,0
Buzzwole C+SP/Lu,180,30,0
Carracosta WG+Li/BS,187,44,0
Carracosta (Shadow) WG+Li/BS,171,30,0
Celebi Cf+AuS/LfS,92,29,0
Celesteela AS+BS/Bd,94,44,0
Centiskorch E+HW/Lu,129,30,0
Ceruledge I+SB/HW,125,16,0
Cetitan PS+Av/SP,139,44,0
Chandelure I+SB/FmC,144,16,0
Chandelure (Shadow) I+SB/FmC,130,2,0
Charizard DB+BB/AC,133,16,0
Charizard (Shadow) DB+BB/DC,395,4,0
Chesnaught LK+FP/SP,230,44,0
Chesnaught (Shadow) LK+FP/SP,279,44,0
Cinderace FS+BB/PB,162,30,0
Coalossal FS+RS/FmC,220,4,0
Cobalion DK+SSw/SE,87,1,0
Conkeldurr C+DyP/BrS,175,16,0
Conkeldurr (Shadow) C+DyP/BrS,213,16,0
Corviknight SdA+AC/IH,78,30,0
Crabominable B+IP/BkB,308,44,0
Cresselia Cf+GK/M,121,3,0
Cresselia (Shadow) Cf+GK/M,142,3,0
Crobat AS+AC/CP,272,44,0
Crobat (Shadow) AS+AC/CP,339,44,0
Cryogonal IS+TAx/NS,133,15,0
Cursola A+NSh/PG,366,4,0
Darkrai Sn+DP/FB,79,29,0
Darkrai (Shadow) Sn+SB/DP,66,1,0
Darmanitan (Galarian) IF+Av/SP,146,16,0
Darmanitan (Standard) I+RS/Ov,146,16,0
Darmanitan (Standard) (Shadow) I+RS/Ov,173,56,0
Decidueye Lf+FP/BrB,181,44,0
