Pokemon,Battle Rating,Energy Remaining,HP Remaining
Zacian (Crowned Sword) MC+CC/BB,854,5,122
Palkia (Origin) DB+AT/SpR,327,18,0
Metagross SC+MM/Eq,322,18,0
Kyurem (White) DB+FuF/IBu,206,42,0
Lunala SC+SB/M,399,4,0
Xerneas Geo+CC/M,680,4,62
Dialga (Origin) DB+ROT/IH,526,5,9
Reshiram DB+FuF/DM,81,42,0
Zamazenta (Crowned Shield) IF+CC/BB,569,5,24
Kyurem (Black) DT+FSh/FuB,633,4,46
Kyogre W+Av/OP,301,18,0
Zekrom DB+O/FuB,531,5,11
Marshadow SC+CC/IP,145,42,0
Reshiram (Shadow) DB+FuF/DM,97,42,0
Eternatus DT+DyC/Ft,411,11,0
Palkia (Shadow) DB+AT/DM,403,18,0
Lugia DT+A/Fl,645,1,50
Metagross (Shadow) SC+MM/Eq,386,18,0
Lugia (Shadow) DT+A/Fl,569,1,24
Garchomp (Shadow) DT+Tw/EP,744,4,84
Necrozma (Dawn Wings) SC+DP/MoG,155,49,0
Yveltal SkP+DP/ObW,436,4,0
Garchomp DT+Tw/EP,436,4,0
Ho-Oh I+BrB/SF,291,25,0
Zygarde (Complete Forme) DT+Cr/Eq,289,18,0
Meloetta (Aria) Cf+Psh/DG,738,39,82
Palkia DB+AT/FiB,336,18,0
Latios DB+AuS/LrP,648,11,51
Latios (Shadow) DB+AuS/LrP,622,4,42
Kyogre (Shadow) W+Av/OP,345,11,0
Necrozma (Dusk Mane) SC+DP/Stl,97,49,0
Gyarados (Shadow) DB+AT/Tw,443,32,0
Groudon DT+FiP/PrB,437,4,0
Gholdengo H+SB/FB,98,42,0
Mewtwo (Shadow) PC+Pst/SB,171,42,0
Florges FW+M/CW,819,4,110
Solgaleo FS+PsF/IH,587,5,30
Melmetal TS+DbI/DyP,691,5,66
Keldeo (Resolute) LK+SeS/AJ,348,18,0
Latias (Shadow) DB+AuS/MsB,659,4,55
Dialga DB+IH/DM,683,5,63
Dialga (Shadow) DB+IH/DM,361,11,0
Hydreigon (Shadow) DB+BrS/Fl,555,4,19
Jirachi Cf+DD/AuS,761,5,90
Mewtwo PC+Pst/SB,156,42,0
Togekiss Pk+DG/AuS,750,4,86
Annihilape (Shadow) C+RF/IP,590,4,31
Kyurem DB+G/DC,808,4,106
