Pokemon,Battle Rating,Energy Remaining,HP Remaining
Zacian (Crowned Sword) MC+CC/BB,329,26,0
Palkia (Origin) DB+AT/SpR,192,23,0
Metagross SC+MM/Eq,615,2,43
Kyurem (White) DB+FuF/IBu,199,46,0
Lunala SC+SB/M,790,2,108
Xerneas Geo+CC/M,356,2,0
Dialga (Origin) DB+ROT/IH,168,40,0
Reshiram DB+FuF/DM,190,46,0
Zamazenta (Crowned Shield) IF+CC/BB,277,47,0
Kyurem (Black) DT+FSh/FuB,357,1,0
Kyogre W+Av/OP,233,48,0
Zekrom DB+O/FuB,144,16,0
Marshadow SC+CC/IP,607,2,40
Reshiram (Shadow) DB+FuF/DM,236,46,0
Eternatus DT+DyC/Ft,215,40,0
Palkia (Shadow) DB+AT/DM,239,38,0
Lugia DT+A/Fl,261,11,0
Metagross (Shadow) SC+MM/Eq,521,2,8
Lugia (Shadow) DT+A/Fl,466,3,0
Garchomp (Shadow) DT+Tw/EP,204,46,0
Necrozma (Dawn Wings) SC+DP/MoG,790,2,108
Yveltal SkP+DP/ObW,315,49,0
Garchomp DT+Tw/EP,312,3,0
Ho-Oh I+BrB/SF,583,4,31
Zygarde (Complete Forme) DT+Cr/Eq,333,7,0
Meloetta (Aria) Cf+Psh/DG,849,2,130
Palkia DB+AT/FiB,324,9,0
Latios DB+AuS/LrP,526,2,10
Latios (Shadow) DB+AuS/LrP,223,30,0
Kyogre (Shadow) W+Av/OP,575,2,28
Necrozma (Dusk Mane) SC+DP/Stl,841,2,127
Gyarados (Shadow) DB+AT/Tw,492,9,0
Groudon DT+FiP/PrB,293,3,0
Gholdengo H+SB/FB,723,2,83
Mewtwo (Shadow) PC+Pst/SB,728,2,85
Florges FW+M/CW,175,46,0
Solgaleo FS+PsF/IH,119,24,0
Melmetal TS+DbI/DyP,119,24,0
Keldeo (Resolute) LK+SeS/AJ,409,9,0
Latias (Shadow) DB+AuS/MsB,521,2,8
Dialga DB+IH/DM,168,40,0
Dialga (Shadow) DB+IH/DM,160,32,0
Hydreigon (Shadow) DB+BrS/Fl,243,15,0
Jirachi Cf+DD/AuS,690,26,71
Mewtwo PC+Pst/SB,755,2,95
Togekiss Pk+DG/AuS,196,46,0
Annihilape (Shadow) C+RF/IP,437,1,0
Kyurem DB+G/DC,268,1,0
Primarina W+DV/HC,444,2,0
Latias DB+AuS/MsB,548,2,18
