Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,638,7,50
Aerodactyl (Shadow) DB+RS/EP,586,22,31
Aggron DT+T/RT,769,7,97
Aggron (Shadow) DT+T/RT,736,7,85
Alakazam PC+FiP/SB,613,6,41
Alakazam (Shadow) PC+FiP/SB,711,6,76
Ampharos VS+BrS/TP,536,31,13
Ampharos (Shadow) VS+BrS/TP,669,7,61
Annihilape C+RF/IP,663,7,59
Annihilape (Shadow) C+RF/IP,602,7,37
Arboliva ML+EP/EB,655,7,56
Arcanine FF+WC/PsF,475,15,0
Arcanine (Hisuian) Sn+WC/RS,708,7,75
Arcanine (Shadow) FF+WC/PsF,172,64,0
Archeops WA+AP/Cr,644,22,52
Archeops (Shadow) WA+AP/Cr,613,6,41
Armaldo FC+RB/Li,722,7,80
Armaldo (Shadow) FC+RB/CP,766,22,96
Armarouge I+Psh/HW,786,6,103
Articuno PS+IW/Hu,861,7,130
Articuno (Galarian) PC+AP/BrB,877,14,136
Articuno (Shadow) PS+IW/Hu,825,7,117
Aurorus PS+WBI/Tb,791,7,105
Aurorus (Shadow) PS+WBI/MeB,741,7,87
Avalugg IF+Av/BS,800,7,108
Avalugg (Hisuian) PS+RS/IW,852,7,127
Azelf Cf+Sw/FS,872,6,134
Barbaracle FC+CrC/SE,811,7,112
Baxcalibur DB+GlR/Av,758,7,93
Beartic PS+IP/Li,775,7,99
Bellibolt SkP+D/PbC,580,4,29
Bewear SC+SP/St,495,15,0
Bewear (Shadow) SC+SP/St,594,7,34
Bisharp Sn+DP/XS,486,23,0
Blacephalon I+MdB/SB,229,40,0
Blastoise RO+HC/IB,655,4,56
Blastoise (Shadow) RO+HC/IB,783,15,102
Blissey ZH+WC/DG,694,4,70
Bouffalant MS+St/Mh,655,39,56
Braviary AS+CC/BrB,725,7,81
Braviary (Hisuian) AS+BrB/Fl,930,6,155
Buzzwole C+SP/Lu,647,7,53
Carracosta WG+Li/BS,713,7,77
Carracosta (Shadow) WG+Li/BS,688,7,68
Celebi Cf+AuS/LfS,805,7,110
Celesteela AS+BS/Bd,750,4,90
Centiskorch E+HW/Lu,452,15,0
Ceruledge I+SB/HW,775,6,99
Cetitan PS+Av/SP,816,7,114
Chandelure I+SB/EB,741,6,87
Chandelure (Shadow) I+SB/EB,691,6,69
Charizard DB+BB/AC,500,15,0
Charizard (Shadow) DB+BB/DC,166,56,0
Chesnaught LK+SP/FP,741,7,87
Chesnaught (Shadow) LK+SP/FP,683,7,66
Cinderace FS+BB/PB,392,6,0
Coalossal FS+RS/FmC,605,31,38
Cobalion DK+SSw/SE,396,47,0
Conkeldurr FPm+DyP/BrS,583,7,30
Conkeldurr (Shadow) FPm+DyP/BrS,508,7,3
Corviknight SdA+AC/IH,711,4,76
Corviknight (Shadow) SdA+AC/IH,722,39,80
Crabominable B+IP/BkB,783,7,102
Cresselia Cf+GK/M,861,4,130
Cresselia (Shadow) Cf+GK/M,841,23,123
Crobat AS+AC/CP,877,7,136
