Pokemon,Battle Rating,Energy Remaining,HP Remaining
Palkia (Origin) DB+AT/SpR,356,6,0
Zacian (Crowned Sword) MC+CC/BB,291,9,0
Zygarde (Complete Forme) DT+Cr/Bd,457,4,0
Metagross SC+MM/Eq,197,42,0
Kyurem (White) DB+FuF/IBu,275,39,0
Xerneas Geo+CC/M,141,49,0
Kyogre W+Av/OP,691,4,73
Dialga (Origin) DB+ROT/IH,274,32,0
Reshiram DB+FuF/DM,331,6,0
Ursaluna Scr+IP/HH,228,25,0
Eternatus DT+DyC/Ft,291,6,0
Reshiram (Shadow) DB+FuF/DM,345,39,0
Kyurem (Black) DT+FSh/FuB,314,51,0
Lugia DT+A/EP,392,9,0
Lunala SC+SB/M,286,44,0
Zamazenta (Crowned Shield) IF+CC/BB,89,27,0
Ursaluna (Shadow) Scr+IP/HH,269,25,0
Necrozma (Dawn Wings) SC+DP/MoG,531,11,12
Marshadow SC+CC/IP,301,25,0
Zekrom DB+O/FuB,453,32,0
Necrozma (Dusk Mane) SC+DP/Stl,188,42,0
Lugia (Shadow) DT+A/EP,233,49,0
Palkia (Shadow) DB+AT/DM,371,39,0
Ho-Oh I+BrB/SF,756,11,98
Garchomp (Shadow) DT+Tw/EP,380,6,0
Groudon DT+FiP/PrB,250,25,0
Metagross (Shadow) SC+MM/Eq,229,32,0
Melmetal TS+DbI/DyP,168,42,0
Keldeo (Resolute) LK+SeS/AJ,646,4,56
Garchomp DT+Tw/EP,403,25,0
Gyarados (Shadow) DB+AT/Tw,306,13,0
Kyogre (Shadow) W+Av/OP,649,4,57
Palkia DB+AT/FiB,356,6,0
Rillaboom Scr+DrB/EP,620,4,46
Keldeo (Ordinary) LK+AJ/SSw,646,4,56
Latios (Shadow) DB+AuS/LrP,421,51,0
Yveltal SkP+DP/ObW,607,11,41
Giratina (Altered) (Shadow) DB+DC/SS,342,25,0
Florges FW+M/CW,107,30,0
Landorus (Therian) MS+SSt/SE,596,11,37
Solgaleo FS+PsF/IH,168,42,0
Dialga (Shadow) DB+IH/DM,230,39,0
Meloetta (Aria) Cf+Psh/DG,633,4,51
Dialga DB+IH/DM,222,6,0
Primarina W+M/HC,732,4,89
Kyurem DB+G/DC,357,25,0
Gholdengo H+SB/FB,453,9,0
Dragonite (Shadow) DB+TP/SP,356,39,0
Latios DB+AuS/LrP,354,6,0
Giratina (Altered) DB+DC/SS,310,37,0
Mewtwo (Shadow) PC+Pst/SB,343,25,0
Groudon (Shadow) DT+FiP/PrB,244,6,0
Hydreigon (Shadow) DB+BrS/Fl,373,39,0
Ho-Oh (Shadow) I+BrB/SF,706,11,79
Goodra DB+AT/DM,381,25,0
Latias (Shadow) DB+AuS/MsB,377,6,0
Gyarados DB+AT/Cr,260,13,0
Togekiss Pk+DG/AuS,129,32,0
Tapu Lele A+Psh/NM,586,4,33
Enamorus (Therian) FW+MF/M,122,30,0
Jirachi Cf+DD/AuS,363,9,0
Latias DB+AuS/MsB,409,37,0
Tyranitar (Shadow) DB+BrS/SE,273,13,0
Conkeldurr (Shadow) FPm+DyP/BrS,401,37,0
Mewtwo PC+Pst/SB,291,25,0
Dragonite DB+TP/SP,345,6,0
Sylveon FW+DK/SB,309,9,0
Rhyperior (Shadow) MSl+DR/RW,795,4,113
Rhyperior MSl+DR/RW,803,11,116
Genesect (Shock) FC+MgB/TBS,250,37,0
Heatran (Shadow) FS+MgS/EP,454,4,0
Genesect (Chill) FC+MgB/TBC,250,37,0
Raikou (Shadow) TS+WC/AuS,295,13,0
Urshifu (Single Strike) SkP+DyP/Pbk,575,11,29
Baxcalibur DB+GlR/Av,421,18,0
Salamence (Shadow) DT+BrS/Fl,417,39,0
Darkrai (Shadow) SkP+FoP/SB,388,25,0
Kingambit LK+FoP/IH,196,42,0
Snorlax (Shadow) Psy+BS/Eq,510,4,4
Hydreigon DB+BrS/Fl,410,13,0
Volcanion I+Sc/EP,630,11,50
Urshifu (Rapid Strike) W+AJ/DyP,722,4,85
Tyranitar DB+BrS/SE,253,20,0
Golisopod FC+AJ/XS,667,4,64
Raikou TS+AuS/WC,602,11,39
Heatran FS+MgS/EP,385,9,0
Zapdos TS+DrlP/Tb,513,4,5
Zapdos (Shadow) TS+DrlP/HW,389,37,0
Hippowdon (Shadow) SdA+WBR/EP,641,4,54
Snorlax Psy+BS/Eq,659,11,61
Annihilape (Shadow) C+RF/IP,706,11,79
Zamazenta (Hero) IF+CC/Cr,184,34,0
Annihilape C+RF/IP,756,11,98
Mamoswine (Shadow) PS+HH/ISp,225,22,0
Genesect (Burn) FC+MgB/TBB,513,4,5
Zacian (Hero) QA+WC/PR,476,40,0
Kommo-o DT+ClS/UH,432,30,0
Landorus (Incarnate) MS+EP/RS,599,4,38
Kartana FC+LB/SSw,333,49,0
Victini Cf+VC/Psh,675,4,67
Genesect (Douse) FC+MgB/TBD,513,4,5
Landorus (Incarnate) (Shadow) MS+EP/RS,539,4,15
Rayquaza DT+BkS/DrA,500,18,0
Swampert MS+HC/Eq,787,4,110
Hippowdon SdA+WBR/EP,712,4,81
Mamoswine PS+ISp/HH,265,1,0
