Pokemon,Battle Rating,Energy Remaining,HP Remaining
Zacian (Crowned Sword) MC+CC/BB,488,25,0
Palkia (Origin) DB+AT/SpR,309,25,0
Metagross SC+MM/Eq,369,25,0
Kyurem (White) DB+FuF/IBu,204,63,0
Lunala SC+SB/M,331,14,0
Xerneas Geo+CC/M,390,35,0
Dialga (Origin) DB+ROT/IH,225,4,0
Reshiram DB+FuF/DM,247,79,0
Zamazenta (Crowned Shield) IF+CC/BB,210,31,0
Kyurem (Black) DT+FSh/FuB,229,79,0
Kyogre W+Av/OP,623,100,42
Zekrom DB+O/FuB,149,79,0
Marshadow SC+CC/IP,368,35,0
Reshiram (Shadow) DB+FuF/DM,263,63,0
Eternatus DT+DyC/Ft,213,4,0
Palkia (Shadow) DB+AT/DM,371,25,0
Lugia DT+A/Fl,488,35,0
Metagross (Shadow) SC+MM/Eq,450,4,0
Lugia (Shadow) DT+A/Fl,676,100,60
Garchomp (Shadow) DT+Tw/EP,84,47,0
Necrozma (Dawn Wings) SC+DP/MoG,419,35,0
Yveltal SkP+DP/ObW,552,100,18
Garchomp DT+Tw/EP,68,47,0
Ho-Oh I+BrB/SF,520,100,7
Zygarde (Complete Forme) DT+Cr/Eq,56,4,0
Meloetta (Aria) Cf+Psh/DG,300,63,0
Palkia DB+AT/FiB,309,25,0
Latios DB+AuS/LrP,235,63,0
Latios (Shadow) DB+AuS/LrP,281,63,0
Kyogre (Shadow) W+Av/OP,597,100,33
Necrozma (Dusk Mane) SC+DP/Stl,419,25,0
Gyarados (Shadow) DB+AT/Tw,820,64,109
Groudon DT+FiP/PrB,152,4,0
Gholdengo H+SB/FB,423,25,0
Mewtwo (Shadow) PC+Pst/SB,440,35,0
Florges FW+M/CW,309,14,0
Solgaleo FS+PsF/IH,292,63,0
Melmetal TS+DbI/DyP,367,30,0
Keldeo (Resolute) LK+SeS/AJ,852,100,120
Latias (Shadow) DB+AuS/MsB,235,63,0
Dialga DB+IH/DM,250,4,0
Dialga (Shadow) DB+IH/DM,263,63,0
Hydreigon (Shadow) DB+BrS/Fl,243,47,0
Jirachi Cf+DD/AuS,440,25,0
Mewtwo PC+Pst/SB,377,35,0
Togekiss Pk+DG/AuS,829,100,112
Annihilape (Shadow) C+RF/IP,555,100,19
Kyurem DB+G/DC,190,63,0
Primarina W+DV/HC,688,100,64
Latias DB+AuS/MsB,212,63,0
Tapu Lele A+Psh/NM,461,35,0
Dragonite (Shadow) DB+TP/SP,428,35,0
Goodra DB+AT/DM,196,63,0
Keldeo (Ordinary) LK+AJ/SSw,852,100,120
Tyranitar (Shadow) DB+BrS/SE,333,25,0
Sylveon FW+M/SB,376,14,0
Landorus (Therian) MS+SSt/SE,233,4,0
Gyarados DB+AT/Cr,838,80,115
Annihilape C+RF/IP,420,35,0
Groudon (Shadow) DT+FiP/PrB,176,4,0
Ho-Oh (Shadow) I+BrB/SF,585,100,29
Volcanion I+Sc/EP,641,100,48
Dragonite DB+TP/SP,343,35,0
Urshifu (Single Strike) SkP+DyP/Pbk,360,25,0
Hydreigon DB+BrS/Fl,206,47,0
Heatran (Shadow) FS+MgS/EP,382,100,0
Raikou (Shadow) TS+WC/AuS,247,47,0
