Pokemon,Battle Rating,Energy Remaining,HP Remaining
Zacian (Crowned Sword) MC+CC/BB,184,19,0
Palkia (Origin) DB+AT/SpR,304,22,0
Metagross SC+MM/Eq,223,37,0
Kyurem (White) DB+FuF/IBu,266,10,0
Lunala SC+SB/M,346,16,0
Xerneas Geo+CC/M,331,31,0
Dialga (Origin) DB+ROT/IH,217,17,0
Reshiram DB+FuF/DM,279,19,0
Zamazenta (Crowned Shield) IF+CC/BB,158,13,0
Kyurem (Black) DT+FSh/FuB,256,7,0
Kyogre W+Av/OP,271,19,0
Zekrom DB+O/FuB,528,0,14
Marshadow SC+CC/IP,258,29,0
Reshiram (Shadow) DB+FuF/DM,345,16,0
Eternatus DT+DyC/Ft,322,35,0
Palkia (Shadow) DB+AT/DM,391,22,0
Lugia DT+A/Fl,380,10,0
Metagross (Shadow) SC+MM/Eq,241,37,0
Lugia (Shadow) DT+A/Fl,478,1,0
Garchomp (Shadow) DT+Tw/EP,687,8,92
Necrozma (Dawn Wings) SC+DP/MoG,455,37,0
Yveltal SkP+DP/ObW,577,3,38
Garchomp DT+Tw/EP,467,35,0
Ho-Oh I+BrB/SF,450,17,0
Zygarde (Complete Forme) DT+Cr/Eq,491,19,0
Meloetta (Aria) Cf+Psh/DG,296,37,0
Palkia DB+AT/FiB,309,22,0
Latios DB+AuS/LrP,389,23,0
Latios (Shadow) DB+AuS/LrP,447,11,0
Kyogre (Shadow) W+Av/OP,263,7,0
Necrozma (Dusk Mane) SC+DP/Stl,333,20,0
Gyarados (Shadow) DB+AT/Tw,368,22,0
Groudon DT+FiP/PrB,551,0,25
Gholdengo H+SB/FB,250,7,0
Mewtwo (Shadow) PC+Pst/SB,395,28,0
Florges FW+M/CW,407,23,0
Solgaleo FS+PsF/IH,273,20,0
Melmetal TS+DbI/DyP,162,28,0
Keldeo (Resolute) LK+SeS/AJ,295,22,0
Latias (Shadow) DB+AuS/MsB,331,28,0
Dialga DB+IH/DM,220,14,0
Dialga (Shadow) DB+IH/DM,285,11,0
Hydreigon (Shadow) DB+BrS/Fl,497,29,0
Jirachi Cf+DD/AuS,273,2,0
Mewtwo PC+Pst/SB,367,28,0
Togekiss Pk+DG/AuS,373,23,0
Annihilape (Shadow) C+RF/IP,248,26,0
Kyurem DB+G/DC,279,28,0
Primarina W+DV/HC,337,28,0
Latias DB+AuS/MsB,363,23,0
Tapu Lele A+Psh/NM,732,2,114
Dragonite (Shadow) DB+TP/SP,877,2,185
Goodra DB+AT/DM,379,38,0
Keldeo (Ordinary) LK+AJ/SSw,295,22,0
Tyranitar (Shadow) DB+BrS/SE,323,35,0
Sylveon FW+M/SB,479,14,0
Landorus (Therian) MS+SSt/SE,620,26,59
Gyarados DB+AT/Cr,391,37,0
Annihilape C+RF/IP,248,41,0
Groudon (Shadow) DT+FiP/PrB,388,23,0
Ho-Oh (Shadow) I+BrB/SF,291,25,0
Volcanion I+Sc/EP,348,37,0
Dragonite DB+TP/SP,492,23,0
Urshifu (Single Strike) SkP+DyP/Pbk,343,25,0
Hydreigon DB+BrS/Fl,551,0,25
Heatran (Shadow) FS+MgS/EP,226,37,0
Raikou (Shadow) TS+WC/AuS,376,22,0
Rhyperior MSl+DR/RW,475,1,0
Baxcalibur DB+GlR/Av,356,28,0
Giratina (Origin) DT+SB/OW,606,2,52
Urshifu (Rapid Strike) W+AJ/DyP,283,7,0
Zapdos (Shadow) TS+DrlP/HW,587,29,43
Rhyperior (Shadow) MSl+DR/RW,381,35,0
Enamorus (Therian) FW+MF/M,530,2,15
Giratina (Altered) (Shadow) DB+AP/DC,442,10,0
Raikou TS+AuS/WC,502,11,1
Tyranitar DB+BrS/SE,368,4,0
Conkeldurr (Shadow) FPm+DyP/BrS,365,10,0
Salamence (Shadow) DT+Fl/BrS,665,2,81
Heatran FS+MgS/EP,303,8,0
Mewtwo (Armored) Cf+Pst/DyP,416,14,0
Zapdos TS+DrlP/Tb,644,2,71
Kartana FC+LB/SSw,348,17,0
Golisopod FC+AJ/XS,332,28,0
Victini Cf+VC/Psh,640,2,69
Zacian (Hero) QA+WC/PR,659,14,78
Giratina (Altered) DB+DC/AP,346,34,0
Hippowdon SdA+WBR/EP,571,6,35
Dondozo W+S/O,408,11,0
Tapu Bulu BS+GK/NM,385,37,0
Hippowdon (Shadow) SdA+WBR/EP,595,2,47
Conkeldurr FPm+DyP/BrS,298,10,0
Tapu Fini WG+S/NM,587,5,43
Zamazenta (Hero) IF+CC/Cr,268,13,0
Landorus (Incarnate) (Shadow) MS+EP/RS,700,2,98
Rayquaza DT+BkS/DrA,642,2,70
Kommo-o DT+ClS/UH,396,26,0
Landorus (Incarnate) MS+EP/RS,740,2,118
Genesect (Chill) FC+MgB/TBC,224,22,0
Avalugg (Hisuian) PS+RS/IW,237,2,0
Milotic W+AT/Wr,293,31,0
Cobalion DK+SSw/SE,204,37,0
Mamoswine (Shadow) PS+HH/ISp,379,13,0
Kingambit MSo+FoP/IH,313,23,0
Swampert MS+HC/Eq,335,22,0
Zeraora VS+PF/WC,824,2,159
Genesect (Shock) FC+MgB/TBS,256,37,0
Salamence DT+Fl/BrS,720,2,108
Skeledirge I+TSo/SB,289,1,0
Mamoswine PS+ISp/HH,355,28,0
Virizion DK+LB/SSw,327,17,0
Enamorus (Incarnate) FW+Fl/DG,714,14,105
Zygarde (50% Forme) DT+Cr/Eq,655,0,76
Blacephalon I+MdB/SB,312,23,0
Mew SC+Psh/WC,548,32,24
Terrakion DK+SSw/RS,231,17,0
Swampert (Shadow) MS+HC/Eq,363,22,0
Milotic (Shadow) W+AT/Wr,373,31,0
Thundurus (Incarnate) (Shadow) TS+TP/BkB,773,2,134
Ursaluna (Shadow) Tk+Sw/HH,518,0,9
Regidrago DB+DrE/VG,528,0,14
Tapu Koko VS+Tb/NM,744,40,120
Thundurus (Therian) VS+WbS/FB,928,20,210
Ursaluna Tk+Sw/HH,561,6,30
Sneasler (Shadow) SC+CC/XS,516,22,8
Xurkitree TS+D/DG,655,2,76
Articuno PS+IW/Hu,357,2,0
Genesect (Burn) FC+MgB/TBB,256,37,0
Gigalith (Shadow) LO+MeB/SP,300,11,0
Armarouge I+Psh/HW,642,2,70
Genesect FC+MgB/TBN,256,37,0
Magnezone (Shadow) VS+WC/MrS,738,11,117
Avalugg IF+Av/BS,298,37,0
Cetitan PS+Av/SP,463,2,0
Celebi Cf+AuS/LfS,298,8,0
Gallade (Shadow) PC+CC/LB,428,16,0
Necrozma SC+DP/O,708,20,102
Machamp (Shadow) KC+CrC/SE,435,16,0
Gallade PC+CC/LB,357,22,0
Genesect (Douse) FC+MgB/TBD,224,22,0
Moltres (Galarian) SkP+AP/Pbk,620,0,59
Zapdos (Galarian) LK+Fl/BrB,413,35,0
Golurk (Shadow) A+ShP/EP,693,0,95
Chesnaught (Shadow) LK+SP/FP,437,14,0
Articuno (Shadow) PS+IW/Hu,424,2,0
Gigalith LO+SP/MeB,306,38,0
Moltres WA+Fl/HW,506,2,3
Regirock LO+SE/FB,360,10,0
Empoleon MSo+HC/DrlP,216,28,0
Quaquaval LK+CC/HC,415,28,0
Empoleon (Shadow) MSo+HC/DrlP,294,28,0
Entei FS+FmC/ScS,661,8,79
Excadrill (Shadow) MS+DR/RS,530,0,15
Feraligatr SC+HC/IB,331,28,0
Zarude VW+DP/EB,348,35,0
Feraligatr (Shadow) SC+HC/IB,421,28,0
Ceruledge I+SB/HW,253,38,0
Cresselia Cf+M/GK,385,26,0
Heracross FC+UH/RT,412,28,0
Machamp KC+CrC/RS,376,22,0
Aurorus (Shadow) PS+WBI/MeB,221,22,0
Haxorus (Shadow) DT+NS/DC,632,8,65
Chandelure (Shadow) I+SB/EB,278,20,0
Grimmsnarl SkP+FoP/PR,626,2,62
Buzzwole C+SP/Lu,275,19,0
Chandelure I+SB/EB,288,35,0
Moltres (Shadow) WA+Fl/HW,440,37,0
Nihilego PJ+PG/SlB,567,0,33
Snorlax (Shadow) L+BS/SP,708,38,102
Walrein PS+ISp/Eq,330,28,0
Excadrill MS+DR/RS,583,1,41
Regirock (Shadow) LO+SE/FB,267,41,0
Walrein (Shadow) PS+ISp/Eq,358,28,0
Golurk A+ShP/EP,734,1,115
Electivire (Shadow) TS+WC/IP,757,19,126
Pangoro KC+CC/NS,373,22,0
Scizor (Shadow) BP+NS/TBl,546,2,23
Snorlax L+BS/SP,744,0,120
