Pokemon,Battle Rating,Energy Remaining,HP Remaining
Zacian (Crowned Sword) MC+CC/BB,86,40,0
Palkia (Origin) DB+AT/SpR,339,13,0
Metagross SC+MM/Eq,661,4,79
Kyurem (White) DB+FuF/IBu,206,40,0
Lunala SC+SB/M,487,20,0
Xerneas Geo+CC/M,317,13,0
Dialga (Origin) DB+ROT/IH,176,5,0
Reshiram DB+FuF/DM,377,5,0
Zamazenta (Crowned Shield) IF+CC/BB,124,5,0
Kyurem (Black) DT+FSh/FuB,206,40,0
Kyogre W+Av/OP,135,40,0
Zekrom DB+O/FuB,323,13,0
Marshadow SC+CC/IP,163,5,0
Reshiram (Shadow) DB+FuF/DM,451,5,0
Eternatus DT+DyC/Ft,585,4,42
Palkia (Shadow) DB+AT/DM,380,5,0
Lugia DT+A/Fl,430,2,0
Metagross (Shadow) SC+MM/Eq,583,4,41
Lugia (Shadow) DT+A/Fl,319,13,0
Garchomp (Shadow) DT+Tw/EP,312,21,0
Necrozma (Dawn Wings) SC+DP/MoG,712,4,104
Yveltal SkP+DP/ObW,468,29,0
Garchomp DT+Tw/EP,265,21,0
Ho-Oh I+BrB/SF,479,13,0
Zygarde (Complete Forme) DT+Cr/Eq,264,20,0
Meloetta (Aria) Cf+Psh/DG,338,29,0
Palkia DB+AT/FiB,345,13,0
Latios DB+AuS/LrP,316,5,0
Latios (Shadow) DB+AuS/LrP,174,40,0
Kyogre (Shadow) W+Av/OP,149,40,0
Necrozma (Dusk Mane) SC+DP/Stl,540,4,20
Gyarados (Shadow) DB+AT/Tw,591,13,45
Groudon DT+FiP/PrB,263,21,0
Gholdengo H+SB/FB,140,5,0
Mewtwo (Shadow) PC+Pst/SB,466,21,0
Florges FW+M/CW,494,4,0
Solgaleo FS+PsF/IH,642,4,70
Melmetal TS+DbI/DyP,192,21,0
Keldeo (Resolute) LK+SeS/AJ,265,5,0
Latias (Shadow) DB+AuS/MsB,340,5,0
Dialga DB+IH/DM,195,5,0
Dialga (Shadow) DB+IH/DM,230,5,0
Hydreigon (Shadow) DB+BrS/Fl,431,13,0
Jirachi Cf+DD/AuS,581,4,40
Mewtwo PC+Pst/SB,395,21,0
Togekiss Pk+DG/AuS,477,21,0
Annihilape (Shadow) C+RF/IP,181,5,0
Kyurem DB+G/DC,426,21,0
Primarina W+DV/HC,345,5,0
Latias DB+AuS/MsB,331,21,0
Tapu Lele A+Psh/NM,695,4,96
Dragonite (Shadow) DB+TP/SP,212,32,0
Goodra DB+AT/DM,284,13,0
Keldeo (Ordinary) LK+AJ/SSw,265,5,0
Tyranitar (Shadow) DB+BrS/SE,320,21,0
Sylveon FW+M/SB,642,4,70
Landorus (Therian) MS+SSt/SE,508,2,4
Gyarados DB+AT/Cr,451,13,0
Annihilape C+RF/IP,193,21,0
Groudon (Shadow) DT+FiP/PrB,95,40,0
Ho-Oh (Shadow) I+BrB/SF,816,5,155
Volcanion I+Sc/EP,232,40,0
Dragonite DB+TP/SP,484,21,0
Urshifu (Single Strike) SkP+DyP/Pbk,99,40,0
Hydreigon DB+BrS/Fl,378,21,0
Heatran (Shadow) FS+MgS/EP,522,4,11
Raikou (Shadow) TS+WC/AuS,413,13,0
Rhyperior MSl+DR/RW,624,4,61
Baxcalibur DB+GlR/Av,243,40,0
Giratina (Origin) DT+SB/OW,569,36,34
Urshifu (Rapid Strike) W+AJ/DyP,99,40,0
Zapdos (Shadow) TS+DrlP/HW,736,5,116
Rhyperior (Shadow) MSl+DR/RW,546,4,23
