Pokemon,Battle Rating,Energy Remaining,HP Remaining
Zacian (Crowned Sword) MC+CC/BB,297,8,0
Palkia (Origin) DB+AT/SpR,283,37,0
Metagross SC+MM/Eq,634,1,66
Kyurem (White) DB+FuF/IBu,396,8,0
Lunala SC+SB/M,446,15,0
Xerneas Geo+CC/M,207,31,0
Dialga (Origin) DB+ROT/IH,255,17,0
Reshiram DB+FuF/DM,263,37,0
Zamazenta (Crowned Shield) IF+CC/BB,257,20,0
Kyurem (Black) DT+FSh/FuB,405,11,0
Kyogre W+Av/OP,372,11,0
Zekrom DB+O/FuB,456,11,0
Marshadow SC+CC/IP,126,34,0
Reshiram (Shadow) DB+FuF/DM,263,37,0
Eternatus DT+DyC/Ft,504,1,2
Palkia (Shadow) DB+AT/DM,225,22,0
Lugia DT+A/Fl,314,20,0
Metagross (Shadow) SC+MM/Eq,548,1,24
Lugia (Shadow) DT+A/Fl,335,20,0
Garchomp (Shadow) DT+Tw/EP,284,37,0
Necrozma (Dawn Wings) SC+DP/MoG,653,19,75
Yveltal SkP+DP/ObW,367,20,0
Garchomp DT+Tw/EP,443,23,0
Ho-Oh I+BrB/SF,372,20,0
Zygarde (Complete Forme) DT+Cr/Eq,398,25,0
Meloetta (Aria) Cf+Psh/DG,450,23,0
Palkia DB+AT/FiB,283,37,0
Latios DB+AuS/LrP,247,3,0
Latios (Shadow) DB+AuS/LrP,247,3,0
Kyogre (Shadow) W+Av/OP,442,2,0
Necrozma (Dusk Mane) SC+DP/Stl,710,1,103
Gyarados (Shadow) DB+AT/Tw,540,2,20
Groudon DT+FiP/PrB,372,11,0
Gholdengo H+SB/FB,129,20,0
Mewtwo (Shadow) PC+Pst/SB,302,34,0
Florges FW+M/CW,354,23,0
Solgaleo FS+PsF/IH,591,1,45
Melmetal TS+DbI/DyP,207,61,0
Keldeo (Resolute) LK+SeS/AJ,204,22,0
Latias (Shadow) DB+AuS/MsB,247,28,0
Dialga DB+IH/DM,339,17,0
Dialga (Shadow) DB+IH/DM,336,8,0
Hydreigon (Shadow) DB+BrS/Fl,577,2,38
Jirachi Cf+DD/AuS,325,23,0
Mewtwo PC+Pst/SB,506,23,3
Togekiss Pk+DG/AuS,532,20,16
Annihilape (Shadow) C+RF/IP,190,2,0
Kyurem DB+G/DC,373,23,0
Primarina W+DV/HC,468,2,0
Latias DB+AuS/MsB,229,43,0
Tapu Lele A+Psh/NM,712,2,104
