Pokemon,Battle Rating,Energy Remaining,HP Remaining
Zacian (Crowned Sword) MC+CC/BB,500,22,0
Palkia (Origin) DB+AT/SpR,638,4,48
Metagross SC+MM/Eq,296,1,0
Kyurem (White) DB+FuF/IBu,606,1,37
Lunala SC+SB/M,476,36,0
Xerneas Geo+CC/M,731,1,80
Dialga (Origin) DB+ROT/IH,549,2,17
Reshiram DB+FuF/DM,563,4,22
Zamazenta (Crowned Shield) IF+CC/BB,329,25,0
Kyurem (Black) DT+FSh/FuB,739,1,83
Kyogre W+Av/OP,288,8,0
Zekrom DB+O/FuB,702,4,70
Marshadow SC+CC/IP,630,1,45
Reshiram (Shadow) DB+FuF/DM,366,8,0
Eternatus DT+DyC/Ft,641,4,49
Palkia (Shadow) DB+AT/DM,586,4,30
Lugia DT+A/Fl,653,2,53
Metagross (Shadow) SC+MM/Eq,130,63,0
Lugia (Shadow) DT+A/Fl,592,2,32
Garchomp (Shadow) DT+Tw/EP,534,1,12
Necrozma (Dawn Wings) SC+DP/MoG,455,1,0
Yveltal SkP+DP/ObW,684,11,64
Garchomp DT+Tw/EP,601,29,35
Ho-Oh I+BrB/SF,276,15,0
Zygarde (Complete Forme) DT+Cr/Eq,537,2,13
Meloetta (Aria) Cf+Psh/DG,765,4,92
Palkia DB+AT/FiB,333,15,0
Latios DB+AuS/LrP,780,8,97
Latios (Shadow) DB+AuS/LrP,751,1,87
Kyogre (Shadow) W+Av/OP,350,8,0
Necrozma (Dusk Mane) SC+DP/Stl,322,22,0
Gyarados (Shadow) DB+AT/Tw,638,4,48
Groudon DT+FiP/PrB,130,56,0
Gholdengo H+SB/FB,392,29,0
Mewtwo (Shadow) PC+Pst/SB,658,1,55
Florges FW+M/CW,858,1,124
Solgaleo FS+PsF/IH,316,36,0
Melmetal TS+DbI/DyP,326,43,0
Keldeo (Resolute) LK+SeS/AJ,514,4,5
Latias (Shadow) DB+AuS/MsB,780,1,97
Dialga DB+IH/DM,543,2,15
Dialga (Shadow) DB+IH/DM,483,11,0
Hydreigon (Shadow) DB+BrS/Fl,852,1,122
Jirachi Cf+DD/AuS,534,2,12
Mewtwo PC+Pst/SB,705,1,71
Togekiss Pk+DG/AuS,797,1,103
Annihilape (Shadow) C+RF/IP,725,1,78
Kyurem DB+G/DC,867,1,127
Primarina W+DV/HC,693,1,67
Latias DB+AuS/MsB,644,29,50
Tapu Lele A+Psh/NM,748,1,86
Dragonite (Shadow) DB+TP/SP,803,1,105
Goodra DB+AT/DM,742,4,84
Keldeo (Ordinary) LK+AJ/SSw,514,4,5
Tyranitar (Shadow) DB+BrS/SE,777,1,96
Sylveon FW+M/SB,797,1,103
Landorus (Therian) MS+SSt/SE,192,77,0
Gyarados DB+AT/Cr,684,4,64
Annihilape C+RF/IP,699,15,69
Groudon (Shadow) DT+FiP/PrB,152,56,0
Ho-Oh (Shadow) I+BrB/SF,309,15,0
Volcanion I+Sc/EP,69,56,0
Dragonite DB+TP/SP,823,8,112
Urshifu (Single Strike) SkP+DyP/Pbk,682,1,63
Hydreigon DB+BrS/Fl,869,1,128
Heatran (Shadow) FS+MgS/EP,47,42,0
Raikou (Shadow) TS+WC/AuS,147,77,0
Rhyperior MSl+DR/RW,543,1,15
Baxcalibur DB+GlR/Av,817,1,110
Giratina (Origin) DT+SB/OW,514,2,5
Urshifu (Rapid Strike) W+AJ/DyP,601,4,35
Zapdos (Shadow) TS+DrlP/HW,177,77,0
Rhyperior (Shadow) MSl+DR/RW,174,42,0
Enamorus (Therian) FW+MF/M,751,1,87
Giratina (Altered) (Shadow) DB+AP/DC,768,2,93
Raikou TS+AuS/WC,502,4,1
Tyranitar DB+BrS/SE,809,1,107
Conkeldurr (Shadow) FPm+DyP/BrS,563,1,22
Salamence (Shadow) DT+Fl/BrS,800,1,104
Heatran FS+MgS/EP,63,56,0
Mewtwo (Armored) Cf+Pst/DyP,592,32,32
Zapdos TS+DrlP/Tb,658,4,55
Kartana FC+LB/SSw,745,8,85
Golisopod FC+AJ/XS,644,4,50
Victini Cf+VC/Psh,495,4,0
Zacian (Hero) QA+WC/PR,739,1,83
Giratina (Altered) DB+DC/AP,791,2,101
Hippowdon SdA+WBR/EP,490,22,0
Dondozo W+S/O,500,60,0
Tapu Bulu BS+GK/NM,835,1,116
Hippowdon (Shadow) SdA+WBR/EP,528,1,10
Conkeldurr FPm+DyP/BrS,632,1,46
Tapu Fini WG+S/NM,748,15,86
Zamazenta (Hero) IF+CC/Cr,632,22,46
Landorus (Incarnate) (Shadow) MS+EP/RS,146,42,0
Rayquaza DT+BkS/DrA,774,1,95
Kommo-o DT+ClS/UH,817,15,110
Landorus (Incarnate) MS+EP/RS,546,1,16
Genesect (Chill) FC+MgB/TBC,580,25,28
Avalugg (Hisuian) PS+RS/IW,861,1,125
Milotic W+AT/Wr,635,11,47
Cobalion DK+SSw/SE,356,57,0
Mamoswine (Shadow) PS+HH/ISp,794,1,102
Kingambit MSo+FoP/IH,508,2,3
Swampert MS+HC/Eq,360,22,0
Zeraora VS+PF/WC,391,22,0
Genesect (Shock) FC+MgB/TBS,490,18,0
Salamence DT+Fl/BrS,841,1,118
Skeledirge I+TSo/SB,357,29,0
Mamoswine PS+ISp/HH,815,1,109
Virizion DK+LB/SSw,658,4,55
Enamorus (Incarnate) FW+Fl/DG,806,1,106
Zygarde (50% Forme) DT+Cr/Eq,580,11,28
Blacephalon I+MdB/SB,114,35,0
Mew SC+Psh/WC,705,29,71
Terrakion DK+SSw/RS,751,1,87
Swampert (Shadow) MS+HC/Eq,119,56,0
Milotic (Shadow) W+AT/Wr,575,4,26
Thundurus (Incarnate) (Shadow) TS+TP/BkB,511,15,4
Ursaluna (Shadow) Tk+Sw/HH,806,8,106
Regidrago DB+DrE/VG,869,15,128
Tapu Koko VS+Tb/NM,861,1,125
Thundurus (Therian) VS+WbS/FB,432,15,0
Ursaluna Tk+Sw/HH,440,22,0
Sneasler (Shadow) SC+CC/XS,586,1,30
Xurkitree TS+D/DG,514,4,5
Articuno PS+IW/Hu,869,1,128
Genesect (Burn) FC+MgB/TBB,477,11,0
Gigalith (Shadow) LO+MeB/SP,760,1,90
Armarouge I+Psh/HW,365,8,0
Genesect FC+MgB/TBN,580,25,28
Magnezone (Shadow) VS+WC/MrS,289,22,0
Avalugg IF+Av/BS,864,1,126
Cetitan PS+Av/SP,826,1,113
Celebi Cf+AuS/LfS,765,29,92
Gallade (Shadow) PC+CC/LB,670,1,59
Necrozma SC+DP/O,757,15,89
Machamp (Shadow) KC+CrC/SE,751,1,87
Gallade PC+CC/LB,734,1,81
Genesect (Douse) FC+MgB/TBD,490,18,0
Moltres (Galarian) SkP+AP/Pbk,739,4,83
Zapdos (Galarian) LK+Fl/BrB,780,1,97
Golurk (Shadow) A+ShP/EP,217,56,0
Chesnaught (Shadow) LK+SP/FP,722,1,77
Articuno (Shadow) PS+IW/Hu,855,1,123
Gigalith LO+SP/MeB,791,1,101
Moltres WA+Fl/HW,621,4,42
Regirock LO+SE/FB,736,1,82
Empoleon MSo+HC/DrlP,432,32,0
Quaquaval LK+CC/HC,526,4,9
Empoleon (Shadow) MSo+HC/DrlP,123,77,0
Entei FS+FmC/ScS,316,15,0
Excadrill (Shadow) MS+DR/RS,495,8,0
Feraligatr SC+HC/IB,572,4,25
