Pokemon,Battle Rating,Energy Remaining,HP Remaining
Zacian (Crowned Sword) MC+CC/BB,135,30,0
Palkia (Origin) DB+AT/SpR,216,24,0
Metagross SC+MM/Eq,154,46,0
Kyurem (White) DB+FuF/IBu,222,32,0
Lunala SC+SB/M,85,32,0
Xerneas Geo+CC/M,438,2,0
Dialga (Origin) DB+ROT/IH,160,32,0
Reshiram DB+FuF/DM,377,11,0
Zamazenta (Crowned Shield) IF+CC/BB,317,4,0
Kyurem (Black) DT+FSh/FuB,233,40,0
Kyogre W+Av/OP,589,9,31
Zekrom DB+O/FuB,328,11,0
Marshadow SC+CC/IP,112,40,0
Reshiram (Shadow) DB+FuF/DM,263,32,0
Eternatus DT+DyC/Ft,400,51,0
Palkia (Shadow) DB+AT/DM,269,24,0
Lugia DT+A/Fl,716,4,75
Metagross (Shadow) SC+MM/Eq,154,46,0
Lugia (Shadow) DT+A/Fl,452,33,0
Garchomp (Shadow) DT+Tw/EP,552,4,18
Necrozma (Dawn Wings) SC+DP/MoG,313,9,0
Yveltal SkP+DP/ObW,207,86,0
Garchomp DT+Tw/EP,595,4,33
Ho-Oh I+BrB/SF,434,25,0
Zygarde (Complete Forme) DT+Cr/Eq,604,0,36
Meloetta (Aria) Cf+Psh/DG,365,9,0
Palkia DB+AT/FiB,216,24,0
Latios DB+AuS/LrP,215,24,0
Latios (Shadow) DB+AuS/LrP,267,24,0
Kyogre (Shadow) W+Av/OP,508,9,3
Necrozma (Dusk Mane) SC+DP/Stl,363,9,0
Gyarados (Shadow) DB+AT/Tw,566,1,23
Groudon DT+FiP/PrB,511,28,4
Gholdengo H+SB/FB,340,9,0
Mewtwo (Shadow) PC+Pst/SB,239,15,0
Florges FW+M/CW,380,41,0
Solgaleo FS+PsF/IH,119,39,0
Melmetal TS+DbI/DyP,117,84,0
Keldeo (Resolute) LK+SeS/AJ,644,1,50
Latias (Shadow) DB+AuS/MsB,267,24,0
Dialga DB+IH/DM,160,32,0
Dialga (Shadow) DB+IH/DM,160,32,0
Hydreigon (Shadow) DB+BrS/Fl,554,3,19
