Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,180,14,0
Aerodactyl (Shadow) DB+RS/EP,218,14,0
Aggron DT+T/RT,178,8,0
Aggron (Shadow) DT+T/RT,229,8,0
Alakazam PC+FiP/SB,55,45,0
Alakazam (Shadow) PC+FiP/SB,74,45,0
Ampharos VS+BrS/TP,107,5,0
Ampharos (Shadow) VS+BrS/TP,137,5,0
Annihilape C+RF/IP,206,5,0
Annihilape (Shadow) C+RF/IP,251,5,0
Arboliva ML+TBl/SeB,261,41,0
Arcanine FF+WC/PsF,172,5,0
Arcanine (Hisuian) Sn+WC/RS,118,5,0
Arcanine (Shadow) FF+WC/PsF,212,5,0
Archeops WA+AP/Cr,201,5,0
Archeops (Shadow) WA+AP/Cr,237,5,0
Armaldo FC+RB/Li,45,45,0
Armaldo (Shadow) FC+RB/CP,60,45,0
Armarouge I+Psh/HW,42,45,0
Articuno PS+IW/Hu,150,5,0
Articuno (Galarian) PC+AP/BrB,53,45,0
Articuno (Shadow) PS+IW/Hu,169,5,0
Aurorus PS+WBI/Tb,31,45,0
Aurorus (Shadow) PS+WBI/MeB,42,45,0
Avalugg IF+Av/BS,115,5,0
Avalugg (Hisuian) PS+RS/IW,82,5,0
Azelf Cf+Sw/FS,225,5,0
Barbaracle FC+CrC/SE,168,23,0
Baxcalibur DB+Av/DC,148,14,0
Beartic PS+IP/Li,51,45,0
Bellibolt SkP+D/PbC,95,5,0
Bewear SC+SP/St,43,45,0
Bewear (Shadow) SC+SP/St,43,45,0
Bisharp Sn+DP/XS,147,5,0
Blacephalon I+MdB/SB,286,5,0
Blastoise RO+HC/IB,176,5,0
Blastoise (Shadow) RO+HC/IB,214,5,0
Blissey ZH+WC/DG,166,4,0
Bouffalant MS+St/Mh,185,41,0
Braviary AS+CC/BrB,358,8,0
Braviary (Hisuian) AS+BrB/Fl,376,8,0
Buzzwole C+SP/Lu,322,14,0
Carracosta WG+Li/BS,165,23,0
Carracosta (Shadow) WG+Li/BS,190,14,0
Celebi Cf+AuS/LfS,181,5,0
Celesteela AS+BS/Bd,318,35,0
Centiskorch E+HW/Lu,37,45,0
Ceruledge I+SB/HW,189,14,0
Cetitan PS+Av/SP,138,5,0
Chandelure I+SB/FmC,221,14,0
Chandelure (Shadow) I+SB/FmC,260,5,0
Charizard DB+BB/AC,229,14,0
Charizard (Shadow) DB+BB/DC,276,14,0
Chesnaught LK+FP/SP,309,5,0
Chesnaught (Shadow) LK+FP/SP,364,5,0
Cinderace FS+BB/PB,188,5,0
Coalossal FS+RS/FmC,174,8,0
Cobalion DK+SSw/SE,146,14,0
Conkeldurr C+DyP/BrS,233,5,0
Conkeldurr (Shadow) C+DyP/BrS,283,5,0
Corviknight SdA+AC/IH,333,44,0
Crabominable B+IP/BkB,288,5,0
Cresselia Cf+GK/M,101,23,0
Cresselia (Shadow) Cf+GK/M,129,23,0
Crobat AS+AC/CP,404,35,0
Crobat (Shadow) AS+AC/CP,238,5,0
Cryogonal IS+TAx/NS,154,5,0
Cursola A+NSh/PG,221,14,0
Darkrai Sn+DP/FB,181,5,0
Darkrai (Shadow) Sn+SB/DP,207,5,0
Darmanitan (Galarian) IF+Av/SP,48,45,0
Darmanitan (Standard) I+RS/Ov,223,14,0
Darmanitan (Standard) (Shadow) I+RS/Ov,259,5,0
Decidueye Lf+FP/BrB,247,5,0
Decidueye (Hisuian) PC+AuS/TBl,375,41,0
Delphox FS+Psh/BB,179,5,0
Delphox (Shadow) FS+Psh/BB,204,5,0
Deoxys (Defense) C+PB/RS,157,23,0
Deoxys (Speed) CB+PB/Sw,208,5,0
Dhelmise SC+SB/BrS,31,45,0
Dialga DB+IH/DM,100,14,0
Dialga (Origin) DB+ROT/IH,95,14,0
Dialga (Shadow) DB+IH/DM,114,14,0
Diancie RTh+RS/M,122,14,0
Dondozo W+S/O,235,8,0
Donphan MSl+BS/TBl,137,14,0
Donphan (Shadow) MSl+BS/TBl,169,5,0
Dragapult DT+SB/O,163,14,0
Dragonite DB+TP/SP,39,45,0
Dragonite (Shadow) DB+TP/SP,39,45,0
Drampa DB+Sw/Fl,29,45,0
Druddigon DT+NS/RT,179,14,0
Dudunsparce RO+BS/DR,156,5,0
Duraludon DT+DC/FC,127,14,0
Electivire TS+WC/IP,30,45,0
Electivire (Shadow) TS+WC/IP,45,45,0
Emboar E+BB/RS,46,45,0
Emboar (Shadow) E+BB/RS,58,45,0
Empoleon MSo+HC/DrlP,70,45,0
Empoleon (Shadow) MSo+HC/DrlP,70,45,0
Enamorus (Incarnate) FW+Fl/DG,76,45,0
Enamorus (Therian) FW+MF/M,61,45,0
