Pokemon,Battle Rating,Energy Remaining,HP Remaining
Aerodactyl DB+RS/EP,212,27,0
Aerodactyl (Shadow) DB+RS/EP,226,21,0
Aggron DT+T/RT,410,39,0
Aggron (Shadow) DT+T/RT,517,39,4
Alakazam PC+FiP/SB,137,9,0
Alakazam (Shadow) PC+FiP/SB,151,3,0
Ampharos VS+BrS/TP,129,48,0
Ampharos (Shadow) VS+BrS/TP,112,36,0
Annihilape C+RF/IP,86,27,0
Annihilape (Shadow) C+RF/IP,86,27,0
Arboliva ML+TBl/EP,336,39,0
Arcanine FF+WC/PsF,163,5,0
Arcanine (Hisuian) Sn+WC/RS,257,21,0
Arcanine (Shadow) Sn+WC/PsF,172,9,0
Archeops WA+AP/Cr,170,48,0
Archeops (Shadow) WA+AP/Cr,146,36,0
Armaldo FC+RB/CP,185,5,0
Armaldo (Shadow) FC+RB/CP,195,9,0
Armarouge I+Psh/HW,92,3,0
Articuno PS+IW/Hu,115,9,0
Articuno (Galarian) PC+AP/BrB,56,15,0
Articuno (Shadow) PS+IW/Hu,104,3,0
Aurorus PS+WBI/Tb,289,9,0
Aurorus (Shadow) PS+WBI/MeB,308,3,0
Avalugg IF+Av/BS,126,42,0
Avalugg (Hisuian) PS+RS/IW,219,3,0
Azelf Cf+Sw/FS,73,36,0
Barbaracle FC+CrC/SE,303,27,0
Baxcalibur DB+Av/DC,243,21,0
Beartic PS+IP/Li,206,48,0
Bellibolt SkP+D/PbC,170,27,0
Bewear SC+SP/Pbk,240,5,0
Bisharp Sn+DP/XS,840,66,77
Blacephalon I+MdB/SB,80,42,0
Blastoise RO+HC/IB,150,5,0
Blastoise (Shadow) RO+HC/IB,179,5,0
Blissey ZH+WC/DG,250,29,0
Bouffalant MS+St/Eq,350,45,0
Braviary AS+CC/BrB,141,3,0
Braviary (Hisuian) AS+BrB/Fl,211,3,0
Buzzwole C+SP/Lu,103,33,0
Carracosta WG+Li/BS,297,27,0
Carracosta (Shadow) RTh+Li/BS,248,3,0
