Pokemon,Battle Rating,Energy Remaining,HP Remaining
Zacian (Crowned Sword) MC+CC/BB,367,33,0
Palkia (Origin) DB+AT/SpR,470,44,0
Metagross SC+MM/Eq,482,25,0
Kyurem (White) DB+FuF/IBu,403,26,0
Lunala SC+SB/M,717,1,80
Xerneas Geo+CC/M,415,21,0
Dialga (Origin) DB+ROT/IH,282,46,0
Reshiram DB+FuF/DM,500,1,0
Zamazenta (Crowned Shield) IF+CC/BB,395,1,0
Kyurem (Black) DT+FSh/FuB,431,34,0
Kyogre W+Av/OP,785,1,105
Zekrom DB+O/FuB,500,1,0
Marshadow SC+CC/IP,360,42,0
Reshiram (Shadow) DB+FuF/DM,500,44,0
Eternatus DT+DyC/Ft,546,1,17
Palkia (Shadow) DB+AT/DM,554,44,20
Lugia DT+A/Fl,701,9,74
Metagross (Shadow) SC+MM/Eq,717,1,80
Lugia (Shadow) DT+A/Fl,665,1,61
Garchomp (Shadow) DT+Tw/EP,578,100,29
Necrozma (Dawn Wings) SC+DP/MoG,671,1,63
Yveltal SkP+DP/ObW,625,1,46
Garchomp DT+Tw/EP,464,100,0
Ho-Oh I+BrB/SF,785,1,105
Zygarde (Complete Forme) DT+Cr/Eq,557,2,21
Meloetta (Aria) Cf+Psh/DG,281,58,0
Palkia DB+AT/FiB,470,44,0
Latios DB+AuS/LrP,479,100,0
Latios (Shadow) DB+AuS/LrP,554,100,20
Kyogre (Shadow) W+Av/OP,725,1,83
Necrozma (Dusk Mane) SC+DP/Stl,458,17,0
Gyarados (Shadow) DB+AT/Tw,378,26,0
Groudon DT+FiP/PrB,307,58,0
Gholdengo H+SB/FB,785,1,105
Mewtwo (Shadow) PC+Pst/SB,408,34,0
Florges FW+M/CW,306,1,0
Solgaleo FS+PsF/IH,491,37,0
Melmetal TS+DbI/DyP,538,41,14
Keldeo (Resolute) LK+SeS/AJ,581,1,30
Latias (Shadow) DB+AuS/MsB,479,100,0
Dialga DB+IH/DM,508,1,3
Dialga (Shadow) DB+IH/DM,320,26,0
Hydreigon (Shadow) DB+BrS/Fl,586,100,32
Jirachi Cf+DD/AuS,430,25,0
