Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+IW/EB,51,13,0
Absol (Mega) PC+BrS/Mh,308,6,0
Aerodactyl DB+RS/EP,223,19,0
Aerodactyl (Mega) DB+RS/EP,122,48,0
Aerodactyl (Shadow) DB+RS/EP,183,48,0
Aggron DT+MeB/RT,178,35,0
Aggron (Mega) DT+MeB/RT,79,29,0
Aggron (Shadow) DT+MeB/RT,197,19,0
Alakazam PC+FiP/SB,225,0,0
Alakazam (Mega) PC+FiP/SB,170,45,0
Alakazam (Shadow) PC+FiP/SB,248,10,0
Altaria (Mega) DB+Ft/M,54,48,0
Ampharos VS+BrS/TP,258,22,0
Ampharos (Mega) VS+TBl/BrS,80,42,0
Ampharos (Shadow) VS+BrS/TP,303,32,0
Annihilape LK+RF/CC,220,0,0
Annihilape (Shadow) LK+RF/CC,260,0,0
Arboliva ML+TBl/EP,113,26,0
Arcanine Sn+WC/PsF,182,26,0
Arcanine (Hisuian) Sn+WC/RS,255,38,0
Arcanine (Shadow) Sn+WC/PsF,215,26,0
Archeops WA+AP/Cr,538,22,8
Archeops (Shadow) WA+AP/Cr,408,0,0
Armaldo FC+RB/CP,173,35,0
Armaldo (Shadow) FC+CP/RB,158,19,0
Armarouge I+Psh/HW,174,26,0
Articuno PS+IW/AP,99,13,0
Articuno (Galarian) PC+AP/BrB,370,26,0
Articuno (Shadow) PS+IW/AP,123,13,0
Audino (Mega) ZH+BS/DV,319,35,0
Aurorus PS+WBI/Tb,208,3,0
Aurorus (Shadow) PS+WBI/MeB,85,3,0
Avalugg IF+Av/BS,136,3,0
Avalugg (Hisuian) PS+RS/IW,180,3,0
Azelf Cf+Sw/FS,112,13,0
Banette (Mega) SC+SB/DG,114,13,0
Barbaracle FC+CrC/SE,293,51,0
Baxcalibur DB+Av/DC,51,48,0
Beartic PS+IP/Li,95,3,0
Beedrill (Mega) PSt+DR/XS,208,10,0
Bellibolt SkP+D/PbC,179,0,0
Bewear SC+SP/Pbk,246,0,0
Bisharp Sn+DP/XS,261,22,0
Blacephalon I+MdB/SB,187,29,0
Blastoise RO+HC/IB,311,22,0
Blastoise (Mega) RO+HC/IB,235,6,0
Blastoise (Shadow) RO+HC/IB,379,22,0
Blaziken (Mega) E+AuS/BB,322,32,0
Blissey ZH+WC/DG,375,22,0
Bouffalant MS+St/Mh,298,32,0
Braviary AS+CC/BrB,410,7,0
Braviary (Hisuian) AS+BrB/Fl,481,7,0
Buzzwole C+SP/Lu,126,3,0
Carracosta WG+Li/BS,420,48,0
Carracosta (Shadow) WG+Li/BS,533,48,7
Celebi Cf+SeB/LfS,62,29,0
Celesteela AS+BS/Bd,364,23,0
Centiskorch E+HW/Lu,226,7,0
Ceruledge I+SB/HW,189,26,0
Cetitan PS+Av/ISp,156,3,0
Chandelure I+SB/FmC,183,10,0
Chandelure (Shadow) I+SB/FmC,172,29,0
Charizard DB+BB/DC,193,29,0
Charizard (Mega X) DB+BB/DC,53,48,0
Charizard (Mega Y) E+BB/AC,255,26,0
Charizard (Shadow) DB+BB/DC,178,48,0
Chesnaught LK+FP/SP,233,6,0
Chesnaught (Shadow) LK+FP/SP,241,0,0
Cinderace FS+PB/BB,197,26,0
Coalossal FS+RS/FmC,279,3,0
Cobalion DK+SSw/SE,180,6,0
Conkeldurr C+DyP/BrS,180,3,0
Conkeldurr (Shadow) C+DyP/BrS,96,3,0
Corviknight SdA+AC/IH,270,42,0
Crabominable B+IP/BkB,301,38,0
Cresselia PC+GK/M,203,23,0
Cresselia (Shadow) Cf+GK/M,80,29,0
Crobat AS+AC/CP,455,23,0
Crobat (Shadow) AS+AC/CP,485,7,0
Cryogonal IS+TAx/NS,194,19,0
Cursola A+NSh/PG,109,13,0
Darkrai Sn+DP/FB,235,22,0
Darkrai (Shadow) Sn+SB/DP,232,51,0
Darmanitan (Galarian) IF+Av/SP,72,32,0
Darmanitan (Standard) I+RS/Ov,182,45,0
Darmanitan (Standard) (Shadow) I+RS/Ov,175,29,0
Decidueye Lf+FP/BrB,303,7,0
Decidueye (Hisuian) PC+AuS/TBl,296,22,0
Delphox FS+Psh/BB,189,26,0
Delphox (Shadow) FS+Psh/BB,173,10,0
Deoxys (Defense) C+PB/RS,149,26,0
Deoxys (Speed) CB+PB/Sw,421,7,0
Dhelmise SC+SB/BrS,114,45,0
Dialga DB+IH/DM,48,48,0
Dialga (Origin) DB+ROT/IH,40,48,0
Dialga (Shadow) DB+IH/DM,38,32,0
Diancie RTh+RS/M,267,19,0
Diancie (Mega) RTh+RS/M,94,48,0
Dondozo W+S/O,281,38,0
Donphan MSl+BS/TBl,32,48,0
Donphan (Shadow) MSl+BS/TBl,40,48,0
Dragapult DT+SB/O,57,48,0
Dragonite DB+TP/SP,71,48,0
Dragonite (Shadow) DB+TP/SP,58,32,0
Drampa DB+Sw/Fl,62,48,0
Druddigon DT+NS/RT,65,13,0
Dudunsparce RO+BS/DR,253,6,0
Duraludon DT+DC/FC,60,13,0
Electivire TS+WC/IP,301,32,0
Electivire (Shadow) TS+WC/IP,347,32,0
Emboar E+BB/RS,332,32,0
Emboar (Shadow) E+BB/RS,311,22,0
Empoleon MSo+HC/FC,345,32,0
Empoleon (Shadow) MSo+HC/DrlP,426,22,0
Enamorus (Incarnate) FW+Fl/DG,226,19,0
Enamorus (Therian) FW+Fl/M,187,19,0
Entei FS+ScS/FmC,152,26,0
Entei (Shadow) FS+ScS/FmC,150,10,0
Escavalier BBi+DR/Mh,130,29,0
Escavalier (Shadow) BBi+DR/Mh,114,48,0
Espeon Cf+PsF/SB,137,29,0
Eternatus DT+DyC/SlB,37,48,0
Excadrill MS+DR/RS,195,0,0
Excadrill (Shadow) MS+DR/RS,227,35,0
Exeggutor Cf+SeB/P,85,29,0
Exeggutor (Alolan) DT+SeB/DM,41,13,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,46,48,0
Exeggutor (Shadow) Cf+SeB/P,72,13,0
Feraligatr SC+HC/IB,292,6,0
Feraligatr (Shadow) SC+HC/IB,286,0,0
Flareon E+SP/HW,348,7,0
Florges FW+CW/M,205,0,0
Gallade PC+CC/LB,211,6,0
Gallade (Mega) PC+CC/LB,243,0,0
Gallade (Shadow) PC+CC/LB,204,0,0
Garchomp MS+Tw/EP,119,0,0
Garchomp (Shadow) DT+Tw/ST,21,48,0
Gardevoir Ch+TAx/SB,87,48,0
Gardevoir (Mega) Cf+SB/TAx,77,48,0
Gardevoir (Shadow) Ch+TAx/SB,71,32,0
Garganacl MS+RT/RS,318,48,0
Genesect FC+MgB/TBN,145,45,0
Genesect (Burn) FC+MgB/TBB,145,45,0
Genesect (Chill) FC+MgB/TBC,145,45,0
Genesect (Douse) FC+MgB/TBD,145,45,0
Genesect (Shock) FC+MgB/TBS,145,45,0
Gengar (Mega) SC+SB/ShP,98,13,0
Gholdengo A+SB/DG,112,29,0
Gigalith MSl+SP/MeB,227,3,0
Gigalith (Shadow) MSl+MeB/SP,92,48,0
Giratina (Altered) SC+DC/SS,53,10,0
Giratina (Altered) (Shadow) DB+DC/SS,35,48,0
Giratina (Origin) SC+SB/DgP,63,10,0
