Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+IW/EB,120,38,0
Absol (Mega) PC+BrS/Mh,174,18,0
Aerodactyl DB+RS/EP,212,46,0
Aerodactyl (Mega) DB+RS/EP,125,34,0
Aerodactyl (Shadow) DB+RS/EP,186,34,0
Aggron DT+MeB/RT,171,4,0
Aggron (Mega) DT+MeB/RT,124,0,0
Aggron (Shadow) DT+MeB/RT,232,0,0
Alakazam PC+FiP/SB,203,22,0
Alakazam (Mega) PC+FiP/SB,137,22,0
Alakazam (Shadow) PC+FiP/SB,203,22,0
Altaria (Mega) DB+Ft/M,131,34,0
Ampharos VS+BrS/TP,163,30,0
Ampharos (Mega) VS+TBl/BrS,163,30,0
Ampharos (Shadow) VS+BrS/TP,163,30,0
Annihilape LK+RF/CC,86,22,0
Annihilape (Shadow) LK+RF/CC,106,10,0
Arboliva ML+TBl/EP,464,5,0
Arcanine Sn+WC/PsF,180,38,0
Arcanine (Hisuian) Sn+WC/RS,172,38,0
Arcanine (Shadow) Sn+WC/PsF,180,38,0
Archeops WA+AP/Cr,231,50,0
Archeops (Shadow) WA+AP/Cr,307,50,0
Armaldo FC+RB/CP,204,38,0
Armaldo (Shadow) FC+CP/RB,185,30,0
Armarouge I+Psh/HW,98,18,0
Articuno PS+IW/AP,137,50,0
Articuno (Galarian) PC+AP/BrB,250,50,0
Articuno (Shadow) PS+IW/AP,131,46,0
Audino (Mega) ZH+BS/DV,380,14,0
Aurorus PS+WBI/Tb,123,26,0
Aurorus (Shadow) PS+WBI/MeB,123,26,0
Avalugg IF+Av/BS,100,26,0
Avalugg (Hisuian) PS+RS/IW,126,46,0
Azelf Cf+Sw/FS,195,34,0
Banette (Mega) SC+SB/DG,165,14,0
Barbaracle FC+CrC/SE,121,26,0
Baxcalibur DB+Av/DC,207,34,0
Beartic PS+IP/Li,164,34,0
Beedrill (Mega) PSt+DR/XS,214,34,0
Bellibolt SkP+D/PbC,177,50,0
Bewear SC+SP/Pbk,264,34,0
Bewear (Shadow) LK+SP/DrP,106,14,0
Bisharp Sn+DP/XS,151,38,0
Blacephalon I+MdB/SB,152,2,0
Blastoise RO+HC/IB,150,50,0
Blastoise (Mega) RO+HC/IB,132,38,0
Blastoise (Shadow) RO+HC/IB,223,50,0
Blaziken (Mega) E+AuS/BB,159,22,0
Blissey ZH+WC/DG,290,50,0
Bouffalant MS+St/Mh,121,42,0
Braviary AS+CC/BrB,574,1,16
Braviary (Hisuian) AS+BrB/Fl,621,1,26
Buzzwole C+SP/Lu,61,48,0
Carracosta WG+Li/BS,156,50,0
Carracosta (Shadow) WG+Li/BS,233,50,0
Celebi Cf+SeB/LfS,126,50,0
Celesteela AS+BS/Bd,204,4,0
Centiskorch E+HW/Lu,134,34,0
Ceruledge I+SB/HW,106,18,0
Cetitan PS+Av/ISp,105,34,0
Chandelure I+SB/FmC,123,18,0
Chandelure (Shadow) I+SB/FmC,140,2,0
Charizard DB+BB/DC,226,50,0
Charizard (Mega X) DB+BB/DC,154,18,0
Charizard (Mega Y) E+BB/AC,104,18,0
Charizard (Shadow) DB+BB/DC,190,34,0
Chesnaught LK+FP/SP,217,26,0
Chesnaught (Shadow) LK+FP/SP,133,14,0
Cinderace FS+PB/BB,177,30,0
Coalossal FS+RS/FmC,218,0,0
Cobalion DK+SSw/SE,53,26,0
Conkeldurr C+DyP/BrS,86,48,0
Conkeldurr (Shadow) C+DyP/BrS,72,40,0
Corviknight SdA+AC/IH,118,42,0
Crabominable B+IP/BkB,193,50,0
Cresselia PC+GK/M,186,4,0
Cresselia (Shadow) Cf+GK/M,227,28,0
Crobat AS+AC/CP,280,4,0
Crobat (Shadow) AS+AC/CP,213,50,0
Cryogonal IS+TAx/NS,130,38,0
Cursola A+NSh/PG,116,14,0
Darkrai Sn+DP/FB,162,50,0
Darkrai (Shadow) Sn+SB/DP,242,50,0
Darmanitan (Galarian) IF+Av/SP,103,6,0
Darmanitan (Standard) I+RS/Ov,125,18,0
Darmanitan (Standard) (Shadow) I+RS/Ov,127,2,0
Decidueye Lf+FP/BrB,297,4,0
Decidueye (Hisuian) PC+AuS/TBl,149,22,0
Delphox FS+Psh/BB,125,30,0
Delphox (Shadow) FS+Psh/BB,149,14,0
Deoxys (Defense) C+PB/RS,153,26,0
Deoxys (Speed) CB+PB/Sw,523,1,5
Dhelmise SC+SB/BrS,117,22,0
Dialga DB+IH/DM,95,18,0
Dialga (Origin) DB+ROT/IH,95,18,0
Dialga (Shadow) DB+IH/DM,125,10,0
Diancie RTh+RS/M,425,20,0
Diancie (Mega) RTh+RS/M,78,26,0
Dondozo W+S/O,104,47,0
Donphan MSl+BS/TBl,72,2,0
Donphan (Shadow) MSl+BS/TBl,96,48,0
Dragapult DT+SB/O,220,30,0
Dragonite DB+TP/SP,138,18,0
Dragonite (Shadow) DB+TP/SP,162,10,0
Drampa DB+Sw/Fl,229,26,0
Druddigon DT+NS/RT,218,22,0
Dudunsparce RO+BS/DR,141,38,0
Duraludon DT+DC/FC,149,42,0
Electivire TS+WC/IP,167,22,0
Electivire (Shadow) TS+WC/IP,167,22,0
Emboar E+BB/RS,148,34,0
Emboar (Shadow) E+BB/RS,197,34,0
Empoleon MSo+HC/FC,112,19,0
Empoleon (Shadow) MSo+HC/DrlP,112,19,0
Enamorus (Incarnate) FW+Fl/DG,67,34,0
Enamorus (Therian) FW+Fl/M,67,34,0
Entei FS+ScS/FmC,121,72,0
Entei (Shadow) FS+ScS/FmC,116,3,0
Escavalier BBi+DR/Mh,162,50,0
Escavalier (Shadow) BBi+DR/Mh,136,34,0
Espeon Cf+PsF/SB,204,30,0
Eternatus DT+DyC/SlB,128,30,0
Excadrill MS+DR/RS,100,34,0
Excadrill (Shadow) MS+DR/RS,148,34,0
Exeggutor Cf+SeB/P,195,50,0
Exeggutor (Alolan) DT+SeB/DM,229,38,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,260,30,0
Exeggutor (Shadow) Cf+SeB/P,180,42,0
Feraligatr SC+HC/IB,120,34,0
Feraligatr (Shadow) SC+HC/IB,179,34,0
Flareon E+SP/HW,144,34,0
Florges FW+CW/M,71,42,0
Gallade PC+CC/LB,120,22,0
Gallade (Mega) PC+CC/LB,126,26,0
Gallade (Shadow) PC+CC/LB,178,22,0
Garchomp MS+Tw/EP,129,22,0
Garchomp (Shadow) DT+Tw/ST,161,3,0
Gardevoir Ch+TAx/SB,58,18,0
Gardevoir (Mega) Cf+SB/TAx,68,30,0
Gardevoir (Shadow) Ch+TAx/SB,45,2,0
Garganacl MS+RT/RS,116,42,0
Genesect FC+MgB/TBN,155,46,0
Genesect (Burn) FC+MgB/TBB,155,46,0
Genesect (Chill) FC+MgB/TBC,155,46,0
Genesect (Douse) FC+MgB/TBD,155,46,0
Genesect (Shock) FC+MgB/TBS,155,46,0
Gengar (Mega) SC+SB/ShP,102,6,0
Gholdengo A+SB/DG,96,18,0
Gigalith MSl+SP/MeB,261,2,0
Gigalith (Shadow) MSl+MeB/SP,112,2,0
Giratina (Altered) SC+DC/SS,233,4,0
Giratina (Altered) (Shadow) DB+DC/SS,169,34,0
Giratina (Origin) SC+SB/DgP,185,42,0
Glaceon IS+Av/WP,157,42,0
Glalie (Mega) PS+Av/SB,186,34,0
Glimmora RTh+RS/DG,428,0,0
Gliscor WA+NS/Eq,277,4,0
Gliscor (Shadow) WA+NS/Acr,112,22,0
Gogoat VW+LB/RS,306,16,0
Golem MSl+SE/RB,78,2,0
Golem (Alolan) VS+WC/SE,290,12,0
Golem (Alolan) (Shadow) VS+WC/SE,395,12,0
Golem (Shadow) MSl+SE/Eq,104,48,0
Golisopod FC+AJ/XS,131,34,0
Golurk A+ShP/DyP,133,14,0
Golurk (Shadow) A+ShP/DyP,133,14,0
Goodra DB+AT/TP,155,26,0
Gourgeist (Large) I+SB/SeB,131,34,0
Gourgeist (Super) I+SB/SeB,120,34,0
Grimmsnarl SkP+FoP/PR,46,18,0
Groudon DT+PrB/FiP,122,38,0
Groudon (Shadow) MS+PrB/FiP,105,26,0
Guzzlord DT+BrS/DC,142,22,0
Gyarados DB+AT/Tw,100,26,0
Gyarados (Shadow) DB+AT/Tw,149,26,0
Hariyama FPm+CC/HS,67,48,0
Hariyama (Shadow) FPm+CC/UH,90,48,0
Haxorus DT+NS/S,219,22,0
Heatran FS+MgS/SE,87,14,0
Heatran (Shadow) FS+MgS/SE,71,2,0
Heracross FC+UH/RT,125,34,0
Hippowdon SdA+WBR/ScS,91,26,0
Hippowdon (Shadow) SdA+WBR/ScS,136,26,0
Ho-Oh I+BrB/SF,91,3,0
Ho-Oh (Shadow) I+BrB/SF,70,2,0
Hoopa A+SB/P,105,14,0
Hoopa (Unbound) Cf+SB/DP,149,42,0
Houndoom (Mega) Sn+FoP/Ft,137,38,0
Hydrapple DT+SeB/O,211,38,0
Hydreigon DB+BrS/DgP,203,26,0
Hydreigon (Shadow) DB+BrS/DgP,182,18,0
Incineroar Sn+DkL/BB,195,50,0
Jirachi Cf+DD/AuS,126,50,0
Jolteon VS+D/LR,137,30,0
Kangaskhan MSl+Cr/St,117,14,0
Kangaskhan (Mega) LK+BkB/O,88,22,0
Kartana FC+LB/SSw,151,26,0
Keldeo (Ordinary) LK+AJ/SSw,77,6,0
Keldeo (Resolute) LK+AJ/SeS,77,6,0
Kingambit MSo+FoP/IH,106,34,0
Kingdra DB+Sw/O,176,26,0
Kingdra (Shadow) DB+Sw/O,234,26,0
Kleavor FC+RS/XS,203,34,0
Klinklang MSo+MrS/ZC,295,16,0
Kommo-o DT+CC/ClS,234,50,0
Krookodile MSl+Cr/ST,110,6,0
Kyogre W+Av/T,144,39,0
Kyogre (Shadow) W+Av/T,127,42,0
Kyurem DB+G/DC,172,34,0
Kyurem (Black) DT+FSh/FuB,149,14,0
Kyurem (White) DB+IBu/FuF,158,18,0
Landorus (Incarnate) MS+EP/RS,116,34,0
Landorus (Incarnate) (Shadow) MS+EP/FB,173,34,0
Landorus (Therian) MS+SSt/SE,116,34,0
Lapras IS+S/IB,259,4,0
Lapras (Shadow) Psy+SpA/IB,148,46,0
Latias DB+AuS/MsB,186,34,0
Latias (Shadow) DB+AuS/MsB,156,7,0
Latios DB+AuS/LrP,156,7,0
Latios (Shadow) DB+AuS/LrP,188,14,0
Leafeon BS+LB/LR,483,5,0
Lickilicky RO+BS/SB,104,38,0
Lopunny (Mega) DK+TAx/FB,90,2,0
Lucario (Mega) FPm+MM/SB,57,36,0
Lugia DT+Fl/A,121,50,0
Lugia (Shadow) DT+Fl/A,121,50,0
Lunala SC+SB/M,91,34,0
Luxray Sn+WC/PsF,194,38,0
Luxray (Shadow) Sn+WC/PsF,194,38,0
Machamp KC+CrC/SE,139,18,0
Machamp (Shadow) KC+CrC/SE,115,6,0
Magmortar KC+FiP/Tb,167,22,0
Magmortar (Shadow) KC+FiP/Tb,149,14,0
Magnezone VS+WC/MrS,127,15,0
Magnezone (Shadow) VS+WC/MrS,130,30,0
Malamar (Mega) Psy+FoP/SP,222,34,0
Mamoswine PS+ISp/HH,148,34,0
Mamoswine (Shadow) PS+HH/ISp,113,14,0
Manectric (Mega) TF+WC/PsF,143,38,0
Marshadow SC+CC/IP,220,26,0
Mawile (Mega) FW+IH/PR,102,50,0
Medicham (Mega) PC+DyP/IP,151,34,0
Melmetal TS+SP/DbI,141,26,0
Meloetta (Aria) Cf+Psh/DG,126,50,0
Mesprit Cf+Sw/FS,125,34,0
Metagross SC+MM/Eq,69,42,0
Metagross (Shadow) SC+MM/Eq,125,34,0
Mew VS+DC/IB,236,8,0
Mewtwo PC+Pst/SB,111,34,0
Mewtwo (Armored) Cf+Pst/DyP,223,8,0
Mewtwo (Shadow) PC+Pst/SB,166,34,0
Milotic DT+AT/Wr,115,23,0
Milotic (Shadow) DT+AT/Wr,95,22,0
Miltank RO+BS/IB,115,38,0
Moltres FS+Fl/Ov,88,14,0
Moltres (Galarian) SkP+Fl/BrB,201,26,0
Moltres (Shadow) WA+Fl/HW,204,50,0
Mr. Rime Cf+IP/TAx,148,50,0
Mudsdale MSl+BS/Eq,99,2,0
Muk Ac+TP/DP,182,50,0
Muk (Alolan) PJ+DP/SW,336,20,0
Muk (Alolan) (Shadow) PJ+DP/SW,644,1,31
Muk (Shadow) PJ+TP/DP,182,50,0
Musharna CB+Psh/DG,286,4,0
Naganadel PJ+DC/Acr,668,8,36
Necrozma PC+DP/O,130,50,0
Necrozma (Dawn Wings) SC+MoG/DP,108,26,0
Necrozma (Dusk Mane) PC+Stl/DP,141,50,0
Nihilego Ac+SlB/PG,273,4,0
Noivern AS+HW/Hu,621,1,26
Obstagoon C+NS/Ob,86,14,0
Obstagoon (Shadow) C+NS/CrC,102,52,0
Oinkologne Tk+BS/TBl,176,50,0
Oinkologne (Female) Tk+BS/TBl,170,50,0
Omastar MS+RS/RB,136,34,0
Omastar (Shadow) MS+RS/RB,175,22,0
Oranguru Cf+BrS/TBl,115,34,0
Overqwil PSt+AT/SB,179,34,0
Palkia DB+AT/DM,152,18,0
Palkia (Origin) DB+AT/SpR,152,18,0
Palkia (Shadow) DB+AT/DM,178,10,0
Pangoro KC+CC/NS,134,18,0
Passimian C+CC/BrS,89,48,0
Pidgeot (Mega) WA+BrB/HW,215,50,0
Pinsir FC+CC/XS,144,34,0
Pinsir (Mega) FC+CC/XS,144,34,0
Pinsir (Shadow) FC+CC/XS,214,34,0
Poliwrath MS+DyP/Sc,115,34,0
Poliwrath (Shadow) MS+DyP/Sc,172,34,0
Polteageist H+SB/DP,179,50,0
Porygon-Z LO+TA/Bl,179,34,0
Porygon-Z (Shadow) LO+TA/Bl,179,34,0
Porygon2 LO+TA/Re,143,50,0
Porygon2 (Shadow) LO+TA/ZC,379,4,0
Primarina Ch+DV/HC,52,18,0
Pyroar I+FmC/DP,144,18,0
Quaquaval WA+CC/AJ,179,34,0
Raikou TS+WC/AuS,99,22,0
Raikou (Shadow) TS+WC/AuS,147,22,0
