Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+IW/EB,99,30,0
Absol (Mega) PC+BrS/Mh,134,54,0
Aerodactyl DB+RS/EP,119,30,0
Aerodactyl (Mega) DB+RS/EP,81,22,0
Aerodactyl (Shadow) DB+RS/EP,133,22,0
Aggron DT+MeB/RT,114,54,0
Aggron (Mega) DT+MeB/RT,79,46,0
Aggron (Shadow) DT+MeB/RT,117,46,0
Alakazam PC+FiP/SB,318,12,0
Alakazam (Mega) PC+FiP/SB,266,12,0
Alakazam (Shadow) PC+FiP/SB,448,50,0
Altaria (Mega) DB+Ft/M,85,22,0
Ampharos VS+BrS/TP,155,12,0
Ampharos (Mega) VS+TBl/BrS,155,7,0
Ampharos (Shadow) VS+BrS/TP,193,12,0
Annihilape LK+RF/CC,200,12,0
Annihilape (Shadow) LK+RF/CC,232,12,0
Arboliva ML+TBl/EP,190,0,0
Arcanine Sn+WC/PsF,330,20,0
Arcanine (Hisuian) Sn+WC/RS,180,36,0
Arcanine (Shadow) Sn+WC/PsF,403,20,0
Archeops WA+AP/Cr,219,12,0
Archeops (Shadow) WA+AP/Cr,222,46,0
Armaldo FC+RB/CP,176,12,0
Armaldo (Shadow) FC+CP/RB,219,12,0
Armarouge I+Psh/HW,241,12,0
Articuno PS+IW/AP,99,46,0
Articuno (Galarian) PC+AP/BrB,247,20,0
Articuno (Shadow) PS+IW/AP,99,30,0
Audino (Mega) ZH+BS/DV,229,24,0
Aurorus PS+WBI/Tb,95,38,0
Aurorus (Shadow) PS+WBI/MeB,129,46,0
Avalugg IF+Av/BS,64,14,0
Avalugg (Hisuian) PS+RS/IW,87,38,0
Azelf Cf+Sw/FS,237,38,0
Banette (Mega) SC+SB/DG,168,6,0
Barbaracle FC+CrC/SE,206,28,0
Baxcalibur DB+Av/DC,80,14,0
Beartic PS+IP/Li,118,22,0
Beedrill (Mega) PSt+DR/XS,241,12,0
Bellibolt SkP+D/PbC,95,38,0
Bewear SC+SP/Pbk,49,33,0
Bewear (Shadow) SC+Pbk/SP,67,25,0
Bisharp Sn+DP/XS,147,12,0
Blacephalon I+MdB/SB,377,50,0
Blastoise RO+HC/IB,205,36,0
Blastoise (Mega) RO+HC/IB,138,20,0
Blastoise (Shadow) RO+HC/IB,182,20,0
Blaziken (Mega) E+AuS/BB,168,12,0
Blissey ZH+WC/DG,202,28,0
Bouffalant MS+St/Mh,108,50,0
Braviary AS+CC/BrB,378,10,0
Braviary (Hisuian) AS+BrB/Fl,283,20,0
Buzzwole C+SP/Lu,286,26,0
Carracosta WG+Li/BS,401,2,0
Carracosta (Shadow) WG+Li/BS,226,44,0
Celebi Cf+SeB/LfS,164,54,0
Celesteela AS+BS/Bd,188,44,0
Centiskorch E+HW/Lu,286,10,0
Ceruledge I+SB/HW,335,44,0
Cetitan PS+Av/ISp,83,30,0
Chandelure I+SB/FmC,281,4,0
Chandelure (Shadow) I+SB/FmC,327,4,0
Charizard DB+BB/DC,122,30,0
Charizard (Mega X) DB+BB/DC,74,14,0
Charizard (Mega Y) E+BB/AC,119,54,0
Charizard (Shadow) DB+BB/DC,136,22,0
Chesnaught LK+FP/SP,383,26,0
Chesnaught (Shadow) LK+FP/SP,190,36,0
Cinderace FS+PB/BB,215,44,0
Coalossal FS+RS/FmC,323,18,0
Cobalion DK+SSw/SE,140,36,0
Conkeldurr C+DyP/BrS,177,44,0
Conkeldurr (Shadow) C+DyP/BrS,221,44,0
Corviknight SdA+AC/IH,186,44,0
Crabominable B+IP/BkB,221,36,0
Cresselia PC+GK/M,160,44,0
Cresselia (Shadow) Cf+GK/M,145,4,0
Crobat AS+AC/CP,196,36,0
Crobat (Shadow) AS+AC/CP,216,20,0
Cryogonal IS+TAx/NS,107,46,0
Cursola A+NSh/PG,147,56,0
Darkrai Sn+DP/FB,92,57,0
Darkrai (Shadow) Sn+SB/DP,127,54,0
Darmanitan (Galarian) IF+Av/SP,100,56,0
Darmanitan (Standard) I+RS/Ov,235,28,0
Darmanitan (Standard) (Shadow) I+RS/Ov,223,4,0
Decidueye Lf+FP/BrB,309,36,0
Decidueye (Hisuian) PC+AuS/TBl,168,20,0
Delphox FS+Psh/BB,335,44,0
Delphox (Shadow) FS+Psh/BB,326,20,0
Deoxys (Defense) C+PB/RS,798,2,92
Deoxys (Speed) CB+PB/Sw,283,12,0
Dhelmise SC+SB/BrS,175,22,0
Dialga DB+IH/DM,67,14,0
Dialga (Origin) DB+ROT/IH,67,14,0
Dialga (Shadow) DB+IH/DM,76,56,0
Diancie RTh+RS/M,157,54,0
Diancie (Mega) RTh+RS/M,98,14,0
Dondozo W+S/O,262,18,0
Donphan MSl+BS/TBl,142,54,0
Donphan (Shadow) MSl+BS/TBl,163,46,0
Dragapult DT+SB/O,133,14,0
Dragonite DB+TP/SP,87,14,0
Dragonite (Shadow) DB+TP/SP,74,56,0
Drampa DB+Sw/Fl,56,17,0
Druddigon DT+NS/RT,122,30,0
Dudunsparce RO+BS/DR,61,57,0
Duraludon DT+DC/FC,130,30,0
Electivire TS+WC/IP,176,12,0
Electivire (Shadow) TS+WC/IP,219,12,0
Emboar E+BB/RS,179,20,0
Emboar (Shadow) E+BB/RS,213,20,0
Empoleon MSo+HC/FC,174,20,0
Empoleon (Shadow) MSo+HC/DrlP,174,20,0
Enamorus (Incarnate) FW+Fl/DG,138,38,0
Enamorus (Therian) FW+Fl/M,162,54,0
Entei FS+ScS/FmC,165,44,0
Entei (Shadow) FS+ScS/FmC,172,20,0
Escavalier BBi+DR/Mh,235,44,0
Escavalier (Shadow) BBi+DR/Mh,184,12,0
Espeon Cf+PsF/SB,244,46,0
Eternatus DT+DyC/SlB,69,14,0
Excadrill MS+DR/RS,179,20,0
Excadrill (Shadow) MS+DR/RS,213,20,0
Exeggutor Cf+SeB/P,201,38,0
Exeggutor (Alolan) DT+SeB/DM,105,30,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,105,14,0
Exeggutor (Shadow) Cf+SeB/P,188,22,0
Feraligatr SC+HC/IB,137,46,0
Feraligatr (Shadow) SC+HC/IB,115,30,0
Flareon E+SP/HW,208,20,0
Florges FW+CW/M,130,20,0
