Pokemon,Battle Rating,Energy Remaining,HP Remaining
Latias (Mega) DB+AuS/MsB,433,6,0
Latios (Mega) DB+AuS/LrP,616,2,44
Palkia (Origin) DB+AT/SpR,518,6,7
Swampert (Mega) MS+HC/Eq,380,22,0
Ursaluna Scr+Sw/HH,328,18,0
Eternatus DT+DyC/Ft,466,12,0
Palkia DB+AT/DM,521,6,8
Ursaluna (Shadow) Scr+Sw/HH,402,18,0
Zygarde (Complete Forme) DT+O/Bd,371,36,0
Charizard (Mega Y) DB+BB/AC,413,6,0
Xerneas Geo+CC/M,203,8,0
Aggron (Mega) DT+BkB/RT,261,10,0
Reshiram DB+FuF/DM,626,0,48
Lugia DT+A/EP,521,3,8
Kyurem (White) DB+FuF/IBu,555,0,21
Palkia (Shadow) DB+AT/DM,371,37,0
Zekrom DB+O/FuB,589,14,34
Yveltal SkP+DP/ObW,422,26,0
Marshadow SC+CC/IP,589,0,34
Dialga (Origin) DB+ROT/IH,423,26,0
Gengar (Mega) SC+ShP/DrP,830,2,125
Giratina (Altered) (Shadow) DB+ShF/DC,664,10,62
Gallade (Mega) PC+SSw/LB,526,0,10
Giratina (Altered) DB+DC/ShF,476,26,0
Reshiram (Shadow) DB+FuF/DM,597,2,37
Zamazenta (Crowned Shield) IF+CC/BB,315,24,0
Garchomp DT+Tw/EP,476,0,0
Goodra DB+AT/DM,531,16,12
Garchomp (Shadow) DT+Tw/EP,648,2,56
Kyurem (Black) DT+FSh/FuB,648,0,56
Lunala SC+SB/M,878,2,143
Lugia (Shadow) DT+A/EP,385,34,0
Melmetal TS+DbI/DyP,303,26,0
Zacian (Crowned Sword) MC+CC/BB,277,30,0
Latios DB+AuS/LrP,664,2,62
Aerodactyl (Mega) DB+BrS/RS,406,6,0
Meloetta (Aria) Cf+Psh/DG,780,38,106
Kyogre W+Av/OP,442,34,0
Metagross SC+MM/Eq,526,3,10
Blastoise (Mega) RO+HC/IB,473,12,0
Latios (Shadow) DB+AuS/LrP,616,2,44
Dialga DB+IH/DM,432,26,0
Charizard (Mega X) DB+BB/DC,664,2,62
Latias DB+AuS/MsB,711,2,80
Necrozma (Dusk Mane) SC+DP/Stl,491,38,0
Scizor (Mega) BP+NS/TBl,331,30,0
Gardevoir (Mega) Cf+SB/TAx,366,38,0
Hydreigon (Shadow) DB+BrS/Fl,500,2,0
Latias (Shadow) DB+AuS/MsB,664,2,62
Dragonite (Shadow) DB+TP/SP,597,2,37
Necrozma (Dawn Wings) SC+DP/MoG,854,2,134
Giratina (Origin) SC+SB/DgP,865,10,138
Florges FW+M/CW,104,43,0
Gyarados (Shadow) DB+AT/Tw,247,41,0
Groudon DT+FiP/PrB,442,34,0
Solgaleo FS+PsF/IH,401,34,0
Kyurem DB+G/DC,467,0,0
Kyogre (Shadow) W+Av/OP,764,20,100
Dialga (Shadow) DB+IH/DM,510,18,4
Gyarados DB+AT/Tw,198,41,0
Mewtwo (Shadow) PC+Pst/SB,925,2,161
Salamence (Shadow) DT+Fl/BrS,373,37,0
Togekiss Pk+DG/AuS,320,0,0
Landorus (Therian) MS+SSt/SE,515,3,6
Metagross (Shadow) SC+MM/Eq,865,10,138
Mewtwo PC+Pst/SB,780,10,106
Slowbro (Mega) Cf+S/DrP,730,3,87
Blaziken (Mega) E+AuS/BK,264,37,0
Tapu Lele A+Psh/NM,369,34,0
Dragonite DB+TP/SP,481,6,0
Annihilape (Shadow) LK+RF/IP,653,0,58
Rillaboom Scr+DrB/EP,682,20,69
Annihilape LK+RF/IP,706,0,78
Keldeo (Resolute) LK+AJ/SeS,194,37,0
Alakazam (Mega) PC+SB/FiP,777,2,105
Hydreigon DB+BrS/DgP,566,0,25
Ampharos (Mega) VS+BrS/TP,682,14,69
Rayquaza DT+BkS/DrA,679,10,68
Snorlax Psy+BS/Eq,756,7,97
Malamar (Mega) Psy+FoP/SP/Psb+,542,3,16
Salamence DT+Fl/BrS,576,2,29
Steelix (Mega) DT+Eq/PsF,286,34,0
Baxcalibur DB+GlR/IW,679,0,68
Urshifu (Single Strike) SkP+DyP/Pbk,812,0,118
Genesect (Chill) FC+MgB/TBC,446,0,0
Ho-Oh I+BrB/SF,798,7,113
Snorlax (Shadow) Psy+BS/Eq,658,3,60
Genesect (Shock) FC+MgB/TBS,446,0,0
Groudon (Shadow) DT+FiP/PrB,491,16,0
Keldeo (Ordinary) LK+AJ/SSw,194,37,0
Kommo-o DT+ClS/UH,743,0,92
Skarmory (Mega) AS+DR/BrB/DrP+,344,22,0
Lucario (Mega) FPm+AuS/MM,165,33,0
Houndoom (Mega) I+FoP/TBl/DPP,621,8,46
Moltres (Galarian) SkP+Fl/Pbk,560,36,23
Zamazenta (Hero) IF+CC/Cr,626,0,48
Genesect (Douse) FC+MgB/TBD,446,0,0
Tyranitar (Shadow) DB+BrS/SE,395,18,0
Zapdos (Shadow) TS+DrlP/HW,616,14,44
Genesect (Burn) FC+MgB/TBB,446,0,0
Raikou (Shadow) TS+WC/AuS,459,2,0
Kangaskhan (Mega) LK+BkB/Cr,336,6,0
Sceptile (Mega) FC+LB/DC,404,37,0
Pinsir (Mega) FC+CC/XS,449,6,0
Raikou TS+AuS/WC,560,3,23
Starmie (Mega) Psy+S/PG/Li+,902,2,152
Jirachi Cf+DD/AuS,592,3,35
Zapdos TS+DrlP/HW,629,3,49
Altaria (Mega) DB+M/DgP,445,16,0
