Pokemon,Battle Rating,Energy Remaining,HP Remaining
Latias (Mega) DB+AuS/MsB,354,40,0
Latios (Mega) DB+AuS/LrP,354,40,0
Palkia (Origin) DB+AT/SpR,591,0,40
Swampert (Mega) MS+HC/Eq,635,0,59
Ursaluna Scr+Sw/HH,594,24,41
Eternatus DT+DyC/Ft,658,0,69
Palkia DB+AT/DM,637,0,60
Ursaluna (Shadow) Scr+Sw/HH,626,4,55
Zygarde (Complete Forme) DT+O/Bd,653,40,67
Charizard (Mega Y) DB+BB/AC,452,8,0
Xerneas Geo+CC/M,445,20,0
Aggron (Mega) DT+BkB/RT,277,4,0
Reshiram DB+FuF/DM,637,0,60
Lugia DT+A/EP,644,12,63
Kyurem (White) DB+FuF/IBu,548,4,21
Palkia (Shadow) DB+AT/DM,479,28,0
Zekrom DB+O/FuB,651,0,66
Yveltal SkP+DP/ObW,676,28,77
Marshadow SC+CC/IP,440,16,0
Dialga (Origin) DB+ROT/IH,491,18,0
Gengar (Mega) SC+ShP/DrP,543,10,19
Giratina (Altered) (Shadow) DB+ShF/DC,683,4,80
Gallade (Mega) PC+SSw/LB,480,8,0
Giratina (Altered) DB+DC/ShF,699,2,87
Reshiram (Shadow) DB+FuF/DM,516,0,7
Zamazenta (Crowned Shield) IF+CC/BB,404,16,0
Garchomp DT+Tw/EP,356,40,0
Goodra DB+AT/DM,662,0,71
Garchomp (Shadow) DT+Tw/EP,427,40,0
Kyurem (Black) DT+FSh/FuB,605,4,46
Lunala SC+SB/M,561,0,27
Lugia (Shadow) DT+A/EP,582,0,36
Melmetal TS+DbI/DyP,260,44,0
Zacian (Crowned Sword) MC+CC/BB,390,16,0
Latios DB+AuS/LrP,441,40,0
Aerodactyl (Mega) DB+BrS/RS,258,36,0
Meloetta (Aria) Cf+Psh/DG,502,0,1
Kyogre W+Av/OP,768,12,117
Metagross SC+MM/Eq,482,10,0
Blastoise (Mega) RO+HC/IB,623,10,54
Latios (Shadow) DB+AuS/LrP,594,36,41
Dialga DB+IH/DM,577,18,34
Charizard (Mega X) DB+BB/DC,637,0,60
Latias DB+AuS/MsB,697,0,86
Necrozma (Dusk Mane) SC+DP/Stl,313,36,0
Scizor (Mega) BP+NS/TBl,296,4,0
Gardevoir (Mega) Cf+SB/TAx,298,36,0
Hydreigon (Shadow) DB+BrS/Fl,465,36,0
Latias (Shadow) DB+AuS/MsB,651,0,66
Dragonite (Shadow) DB+TP/SP,484,40,0
Necrozma (Dawn Wings) SC+DP/MoG,616,14,51
Giratina (Origin) SC+SB/DgP,800,4,131
Florges FW+M/CW,360,12,0
Gyarados (Shadow) DB+AT/Tw,293,32,0
Groudon DT+FiP/PrB,616,16,51
Solgaleo FS+PsF/IH,235,20,0
Kyurem DB+G/DC,500,2,0
Kyogre (Shadow) W+Av/OP,784,2,124
Dialga (Shadow) DB+IH/DM,538,0,17
Gyarados DB+AT/Tw,548,12,21
Mewtwo (Shadow) PC+Pst/SB,568,0,30
Salamence (Shadow) DT+Fl/BrS,511,32,5
Togekiss Pk+DG/AuS,589,0,39
Landorus (Therian) MS+SSt/SE,869,0,161
Metagross (Shadow) SC+MM/Eq,345,2,0
Mewtwo PC+Pst/SB,639,8,61
Slowbro (Mega) Cf+S/DrP,319,2,0
Blaziken (Mega) E+AuS/BK,525,8,11
Tapu Lele A+Psh/NM,527,0,12
Dragonite DB+TP/SP,404,40,0
Annihilape (Shadow) LK+RF/IP,283,40,0
Rillaboom Scr+DrB/EP,614,40,50
Annihilape LK+RF/IP,311,52,0
Keldeo (Resolute) LK+AJ/SeS,228,32,0
Alakazam (Mega) PC+SB/FiP,603,0,45
Hydreigon DB+BrS/DgP,651,0,66
Ampharos (Mega) VS+BrS/TP,743,0,106
Rayquaza DT+BkS/DrA,642,40,62
Snorlax Psy+BS/Eq,713,0,93
Malamar (Mega) Psy+FoP/SP/Psb+,623,0,54
Salamence DT+Fl/BrS,506,0,3
Steelix (Mega) DT+Eq/PsF,329,20,0
Baxcalibur DB+GlR/IW,621,4,53
Urshifu (Single Strike) SkP+DyP/Pbk,692,2,84
Genesect (Chill) FC+MgB/TBC,373,40,0
Ho-Oh I+BrB/SF,683,0,80
Snorlax (Shadow) Psy+BS/Eq,676,0,77
Genesect (Shock) FC+MgB/TBS,373,40,0
Groudon (Shadow) DT+FiP/PrB,552,0,23
Keldeo (Ordinary) LK+AJ/SSw,228,32,0
Kommo-o DT+ClS/UH,717,0,95
Skarmory (Mega) AS+DR/BrB/DrP+,600,0,44
Lucario (Mega) FPm+AuS/MM,245,20,0
Houndoom (Mega) I+FoP/TBl/DPP,541,2,18
Moltres (Galarian) SkP+Fl/Pbk,743,20,106
Zamazenta (Hero) IF+CC/Cr,697,0,86
Genesect (Douse) FC+MgB/TBD,373,40,0
Tyranitar (Shadow) DB+BrS/SE,480,4,0
Zapdos (Shadow) TS+DrlP/HW,740,0,105
Genesect (Burn) FC+MgB/TBB,373,40,0
Raikou (Shadow) TS+WC/AuS,674,0,76
Kangaskhan (Mega) LK+BkB/Cr,360,4,0
Sceptile (Mega) FC+LB/DC,484,40,0
Pinsir (Mega) FC+CC/XS,720,0,96
Raikou TS+AuS/WC,715,14,94
Starmie (Mega) Psy+S/PG/Li+,522,2,10
Jirachi Cf+DD/AuS,407,28,0
Zapdos TS+DrlP/HW,788,0,126
Altaria (Mega) DB+M/DgP,487,28,0
Raichu (Mega Y) VS+VT/BkB/ZC+,777,0,121
Gholdengo A+SB/FB,504,14,2
Tyranitar DB+BrS/SE,375,4,0
Zacian (Hero) QA+WC/PR,589,0,39
Heatran (Shadow) FS+MgS/EP,353,0,0
Rhyperior MSl+DR/RW,475,32,0
Darkrai (Shadow) SkP+FoP/SB,628,0,56
Golisopod FC+AJ/XS,699,2,87
Genesect FC+MgB/TBN,373,40,0
Heatran FS+MgS/EP,263,12,0
