Pokemon,Battle Rating,Energy Remaining,HP Remaining
Latias (Mega) DB+AuS/MsB,500,16,0
Latios (Mega) DB+AuS/LrP,465,16,0
Palkia (Origin) DB+AT/SpR,677,4,61
Swampert (Mega) MS+HC/Eq,630,0,45
Ursaluna Scr+Sw/HH,668,0,58
Eternatus DT+DyC/Ft,305,56,0
Palkia DB+AT/DM,677,4,61
Ursaluna (Shadow) Scr+Sw/HH,706,0,71
Zygarde (Complete Forme) DT+O/Bd,364,36,0
Charizard (Mega Y) DB+BB/AC,549,0,17
Xerneas Geo+CC/M,442,0,0
Aggron (Mega) DT+BkB/RT,645,0,50
Reshiram DB+FuF/DM,764,0,91
Lugia DT+A/EP,514,0,5
Kyurem (White) DB+FuF/IBu,764,0,91
Palkia (Shadow) DB+AT/DM,630,0,45
Zekrom DB+O/FuB,764,0,91
Yveltal SkP+DP/ObW,413,20,0
Marshadow SC+CC/IP,590,0,31
Dialga (Origin) DB+ROT/IH,517,24,6
Gengar (Mega) SC+ShP/DrP,250,40,0
Giratina (Altered) (Shadow) DB+ShF/DC,779,0,96
Gallade (Mega) PC+SSw/LB,706,0,71
Giratina (Altered) DB+DC/ShF,572,8,25
Reshiram (Shadow) DB+FuF/DM,706,0,71
Zamazenta (Crowned Shield) IF+CC/BB,410,36,0
Garchomp DT+Tw/EP,566,12,23
Goodra DB+AT/DM,738,20,82
Garchomp (Shadow) DT+Tw/EP,787,0,99
Kyurem (Black) DT+FSh/FuB,787,0,99
Lunala SC+SB/M,224,44,0
Lugia (Shadow) DT+A/EP,388,8,0
Melmetal TS+DbI/DyP,665,0,57
Zacian (Crowned Sword) MC+CC/BB,453,8,0
Latios DB+AuS/LrP,654,8,53
Aerodactyl (Mega) DB+BrS/RS,552,20,18
Meloetta (Aria) Cf+Psh/DG,770,0,93
Kyogre W+Av/OP,880,0,131
Metagross SC+MM/Eq,534,0,12
Blastoise (Mega) RO+HC/IB,779,0,96
Latios (Shadow) DB+AuS/LrP,706,0,71
Dialga DB+IH/DM,764,0,91
Charizard (Mega X) DB+BB/DC,764,0,91
Latias DB+AuS/MsB,712,0,73
Necrozma (Dusk Mane) SC+DP/Stl,341,28,0
Scizor (Mega) BP+NS/TBl,593,0,32
Gardevoir (Mega) Cf+SB/TAx,262,8,0
Hydreigon (Shadow) DB+BrS/Fl,566,0,23
Latias (Shadow) DB+AuS/MsB,662,4,56
Dragonite (Shadow) DB+TP/SP,706,0,71
Necrozma (Dawn Wings) SC+DP/MoG,269,56,0
Giratina (Origin) SC+SB/DgP,787,0,99
Florges FW+M/CW,595,16,33
Gyarados (Shadow) DB+AT/Tw,511,0,4
Groudon DT+FiP/PrB,720,0,76
Solgaleo FS+PsF/IH,712,0,73
Kyurem DB+G/DC,764,0,91
Kyogre (Shadow) W+Av/OP,857,0,123
Dialga (Shadow) DB+IH/DM,706,0,71
Gyarados DB+AT/Tw,616,0,40
Mewtwo (Shadow) PC+Pst/SB,561,0,21
Salamence (Shadow) DT+Fl/BrS,581,0,28
Togekiss Pk+DG/AuS,773,8,94
Landorus (Therian) MS+SSt/SE,758,0,89
Metagross (Shadow) SC+MM/Eq,459,24,0
Mewtwo PC+Pst/SB,651,0,52
Slowbro (Mega) Cf+S/DrP,773,0,94
Blaziken (Mega) E+AuS/BK,781,4,97
Tapu Lele A+Psh/NM,175,48,0
Dragonite DB+TP/SP,654,16,53
Annihilape (Shadow) LK+RF/IP,688,0,65
Rillaboom Scr+DrB/EP,776,4,95
Annihilape LK+RF/IP,735,0,81
Keldeo (Resolute) LK+AJ/SeS,802,0,104
Alakazam (Mega) PC+SB/FiP,813,12,108
Hydreigon DB+BrS/DgP,601,0,35
Ampharos (Mega) VS+BrS/TP,729,0,79
Rayquaza DT+BkS/DrA,494,12,0
Snorlax Psy+BS/Eq,811,0,107
Malamar (Mega) Psy+FoP/SP/Psb+,651,0,52
Salamence DT+Fl/BrS,648,0,51
Steelix (Mega) DT+Eq/PsF,758,0,89
Baxcalibur DB+GlR/IW,764,0,91
Urshifu (Single Strike) SkP+DyP/Pbk,735,0,81
Genesect (Chill) FC+MgB/TBC,231,56,0
Ho-Oh I+BrB/SF,880,0,131
Snorlax (Shadow) Psy+BS/Eq,811,20,107
Genesect (Shock) FC+MgB/TBS,581,0,28
Groudon (Shadow) DT+FiP/PrB,662,0,56
Keldeo (Ordinary) LK+AJ/SSw,802,0,104
Kommo-o DT+ClS/UH,738,4,82
Skarmory (Mega) AS+DR/BrB/DrP+,517,0,6
Lucario (Mega) FPm+AuS/MM,875,0,129
Houndoom (Mega) I+FoP/TBl/DPP,601,0,35
Moltres (Galarian) SkP+Fl/Pbk,411,36,0
Zamazenta (Hero) IF+CC/Cr,718,0,75
Genesect (Douse) FC+MgB/TBD,581,0,28
Tyranitar (Shadow) DB+BrS/SE,569,0,24
Zapdos (Shadow) TS+DrlP/HW,726,20,78
Genesect (Burn) FC+MgB/TBB,581,0,28
Raikou (Shadow) TS+WC/AuS,851,0,121
Kangaskhan (Mega) LK+BkB/Cr,715,16,74
Sceptile (Mega) FC+LB/DC,764,0,91
Pinsir (Mega) FC+CC/XS,312,8,0
Raikou TS+AuS/WC,848,0,120
Starmie (Mega) Psy+S/PG/Li+,703,0,70
Jirachi Cf+DD/AuS,741,0,83
Zapdos TS+DrlP/HW,790,0,100
Altaria (Mega) DB+M/DgP,779,0,96
