Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+IW/EB,354,80,0
Absol (Mega) PC+BrS/Mh,271,35,0
Aerodactyl DB+RS/EP,159,45,0
Aerodactyl (Mega) DB+RS/EP,84,25,0
Aerodactyl (Shadow) DB+RS/EP,145,25,0
Aggron DT+MeB/RT,178,0,0
Aggron (Mega) DT+MeB/RT,191,45,0
Aggron (Shadow) DT+MeB/RT,178,45,0
Alakazam PC+FiP/SB,274,0,0
Alakazam (Mega) PC+FiP/SB,185,15,0
Alakazam (Shadow) PC+FiP/SB,300,25,0
Altaria (Mega) DB+Ft/M,88,25,0
Ampharos VS+BrS/TP,107,50,0
Ampharos (Mega) VS+TBl/BrS,53,40,0
Ampharos (Shadow) VS+BrS/TP,107,40,0
Annihilape LK+RF/CC,172,0,0
Annihilape (Shadow) LK+RF/CC,193,0,0
Arboliva ML+TBl/EP,464,50,0
Arcanine Sn+WC/PsF,276,0,0
Arcanine (Hisuian) Sn+WC/RS,118,20,0
Arcanine (Shadow) Sn+WC/PsF,330,0,0
Archeops WA+AP/Cr,131,25,0
Archeops (Shadow) WA+AP/Cr,131,5,0
Armaldo FC+RB/CP,225,0,0
Armaldo (Shadow) FC+CP/RB,253,0,0
Armarouge I+Psh/HW,129,45,0
Articuno PS+IW/AP,225,55,0
Articuno (Galarian) PC+AP/BrB,193,0,0
Articuno (Shadow) PS+IW/AP,223,35,0
Audino (Mega) ZH+BS/DV,307,5,0
Aurorus PS+WBI/Tb,146,35,0
Aurorus (Shadow) PS+WBI/MeB,151,25,0
Avalugg IF+Av/BS,141,15,0
Avalugg (Hisuian) PS+RS/IW,113,25,0
Azelf Cf+Sw/FS,137,50,0
Banette (Mega) SC+SB/DG,138,5,0
Barbaracle FC+CrC/SE,109,20,0
Baxcalibur DB+Av/DC,119,15,0
Beartic PS+IP/Li,255,15,0
Beedrill (Mega) PSt+DR/XS,379,25,0
Bellibolt SkP+D/PbC,149,25,0
Bewear SC+SP/Pbk,179,0,0
Bisharp Sn+DP/XS,446,45,0
Blacephalon I+MdB/SB,164,25,0
Blastoise RO+HC/IB,73,15,0
Blastoise (Mega) RO+HC/IB,58,50,0
Blastoise (Shadow) RO+HC/IB,76,5,0
Blaziken (Mega) E+AuS/BB,136,0,0
Blissey ZH+WC/DG,326,5,0
Bouffalant MS+St/Mh,190,0,0
Braviary AS+CC/BrB,159,25,0
Braviary (Hisuian) AS+BrB/Fl,188,35,0
Buzzwole C+SP/Lu,244,0,0
Carracosta WG+Li/BS,49,5,0
Carracosta (Shadow) WG+Li/BS,61,50,0
Celebi Cf+SeB/LfS,151,5,0
Celesteela AS+BS/Bd,257,0,0
Centiskorch E+HW/Lu,196,10,0
Ceruledge I+SB/HW,140,45,0
Cetitan PS+Av/ISp,225,35,0
Chandelure I+SB/FmC,126,25,0
Chandelure (Shadow) I+SB/FmC,151,25,0
Charizard DB+BB/DC,136,45,0
Charizard (Mega X) DB+BB/DC,56,15,0
Charizard (Mega Y) E+BB/AC,98,35,0
Charizard (Shadow) DB+BB/DC,127,25,0
Chesnaught LK+FP/SP,364,30,0
Chesnaught (Shadow) LK+FP/SP,429,30,0
Cinderace FS+PB/BB,136,0,0
Coalossal FS+RS/FmC,95,40,0
Cobalion DK+SSw/SE,244,0,0
Conkeldurr C+DyP/BrS,175,35,0
Conkeldurr (Shadow) C+DyP/BrS,170,25,0
Corviknight SdA+AC/IH,282,0,0
Crabominable B+IP/BkB,270,25,0
Cresselia PC+GK/M,147,20,0
Cresselia (Shadow) Cf+GK/M,108,25,0
Crobat AS+AC/CP,205,45,0
Crobat (Shadow) AS+AC/CP,179,25,0
Cryogonal IS+TAx/NS,264,45,0
Cursola A+NSh/PG,144,5,0
Darkrai Sn+DP/FB,229,0,0
Darkrai (Shadow) Sn+SB/DP,232,45,0
Darmanitan (Galarian) IF+Av/SP,216,50,0
Darmanitan (Standard) I+RS/Ov,153,45,0
Darmanitan (Standard) (Shadow) I+RS/Ov,153,25,0
Decidueye Lf+FP/BrB,398,0,0
Decidueye (Hisuian) PC+AuS/TBl,298,0,0
Delphox FS+Psh/BB,143,0,0
Delphox (Shadow) FS+Psh/BB,149,35,0
Deoxys (Defense) C+PB/RS,401,5,0
Deoxys (Speed) CB+PB/Sw,244,0,0
Dhelmise SC+SB/BrS,270,15,0
Dialga DB+IH/DM,116,5,0
Dialga (Origin) DB+ROT/IH,100,5,0
Dialga (Shadow) DB+IH/DM,111,5,0
Diancie RTh+RS/M,35,30,0
Diancie (Mega) RTh+RS/M,31,20,0
Dondozo W+S/O,47,5,0
Donphan MSl+BS/TBl,212,20,0
Donphan (Shadow) MSl+BS/TBl,247,0,0
Dragapult DT+SB/O,97,25,0
Dragonite DB+TP/SP,82,15,0
Dragonite (Shadow) DB+TP/SP,69,5,0
Drampa DB+Sw/Fl,107,25,0
Druddigon DT+NS/RT,125,45,0
Dudunsparce RO+BS/DR,97,5,0
Duraludon DT+DC/FC,159,25,0
Electivire TS+WC/IP,149,15,0
Electivire (Shadow) TS+WC/IP,155,5,0
Emboar E+BB/RS,167,10,0
Emboar (Shadow) E+BB/RS,190,10,0
Empoleon MSo+HC/FC,202,0,0
Empoleon (Shadow) MSo+HC/DrlP,258,0,0
Enamorus (Incarnate) FW+Fl/DG,251,0,0
Enamorus (Therian) FW+Fl/M,220,0,0
Entei FS+ScS/FmC,105,0,0
Entei (Shadow) FS+ScS/FmC,109,35,0
Escavalier BBi+DR/Mh,669,90,39
Escavalier (Shadow) BBi+DR/Mh,708,80,48
Espeon Cf+PsF/SB,164,5,0
Eternatus DT+DyC/SlB,65,15,0
Excadrill MS+DR/RS,374,45,0
Excadrill (Shadow) MS+DR/RS,444,45,0
Exeggutor Cf+SeB/P,219,5,0
Exeggutor (Alolan) DT+SeB/DM,188,35,0
Exeggutor (Alolan) (Shadow) DT+SeB/DM,157,15,0
Exeggutor (Shadow) Cf+SeB/P,219,50,0
Feraligatr SC+HC/IB,146,10,0
Feraligatr (Shadow) SC+HC/IB,137,35,0
Flareon E+SP/HW,174,10,0
Florges FW+CW/M,160,10,0
Gallade PC+CC/LB,185,35,0
Gallade (Mega) PC+CC/LB,159,35,0
Gallade (Shadow) PC+CC/LB,211,35,0
Garchomp MS+Tw/EP,110,0,0
Garchomp (Shadow) DT+Tw/ST,86,15,0
Gardevoir Ch+TAx/SB,207,45,0
Gardevoir (Mega) Cf+SB/TAx,97,50,0
Gardevoir (Shadow) Ch+TAx/SB,185,25,0
Garganacl MS+RT/RS,109,20,0
Genesect FC+MgB/TBN,747,100,57
Genesect (Burn) FC+MgB/TBB,747,100,57
Genesect (Chill) FC+MgB/TBC,747,100,57
Genesect (Douse) FC+MgB/TBD,747,100,57
Genesect (Shock) FC+MgB/TBS,747,100,57
Gengar (Mega) SC+SB/ShP,126,5,0
Gholdengo A+SB/DG,153,5,0
Gigalith MSl+SP/MeB,160,20,0
Gigalith (Shadow) MSl+MeB/SP,132,0,0
Giratina (Altered) SC+DC/SS,75,0,0
Giratina (Altered) (Shadow) DB+DC/SS,71,25,0
Giratina (Origin) SC+SB/DgP,71,25,0
Glaceon IS+Av/WP,261,15,0
Glalie (Mega) PS+Av/SB,264,70,0
Glimmora RTh+RS/DG,28,20,0
Gliscor WA+NS/Eq,170,0,0
Gliscor (Shadow) WA+NS/Acr,225,0,0
Gogoat VW+LB/RS,302,0,0
Golem MSl+SE/RB,151,10,0
Golem (Alolan) VS+WC/SE,72,50,0
