Pokemon,Battle Rating,Energy Remaining,HP Remaining
Latias (Mega) DB+AuS/MsB,177,30,0
Latios (Mega) DB+AuS/LrP,220,30,0
Palkia (Origin) DB+AT/SpR,236,30,0
Swampert (Mega) MS+HC/Eq,644,3,51
Ursaluna Scr+Sw/HH,522,3,8
Eternatus DT+DyC/Ft,191,30,0
Palkia DB+AT/DM,534,4,12
Ursaluna (Shadow) Scr+Sw/HH,453,4,0
Zygarde (Complete Forme) DT+O/Bd,294,4,0
Charizard (Mega Y) DB+BB/AC,255,30,0
Xerneas Geo+CC/M,324,4,0
Aggron (Mega) DT+BkB/RT,114,30,0
Reshiram DB+FuF/DM,233,30,0
Lugia DT+A/EP,302,18,0
Kyurem (White) DB+FuF/IBu,220,30,0
Palkia (Shadow) DB+AT/DM,295,30,0
Zekrom DB+O/FuB,152,30,0
Yveltal SkP+DP/ObW,417,4,0
Marshadow SC+CC/IP,642,44,50
Dialga (Origin) DB+ROT/IH,317,4,0
Gengar (Mega) SC+ShP/DrP,568,18,24
Giratina (Altered) (Shadow) DB+ShF/DC,548,3,17
Gallade (Mega) PC+SSw/LB,571,4,25
Giratina (Altered) DB+DC/ShF,505,17,2
Reshiram (Shadow) DB+FuF/DM,274,30,0
Zamazenta (Crowned Shield) IF+CC/BB,519,3,7
Garchomp DT+Tw/EP,551,4,18
Goodra DB+AT/DM,470,4,0
Garchomp (Shadow) DT+Tw/EP,260,15,0
Kyurem (Black) DT+FSh/FuB,220,30,0
Lunala SC+SB/M,647,3,52
Lugia (Shadow) DT+A/EP,704,3,72
Melmetal TS+DbI/DyP,243,4,0
Zacian (Crowned Sword) MC+CC/BB,242,3,0
Latios DB+AuS/LrP,514,4,5
Aerodactyl (Mega) DB+BrS/RS,162,30,0
Meloetta (Aria) Cf+Psh/DG,380,4,0
Kyogre W+Av/OP,415,4,0
Metagross SC+MM/Eq,337,32,0
Blastoise (Mega) RO+HC/IB,223,30,0
Latios (Shadow) DB+AuS/LrP,293,30,0
Dialga DB+IH/DM,345,4,0
Charizard (Mega X) DB+BB/DC,724,4,79
Latias DB+AuS/MsB,610,4,39
Necrozma (Dusk Mane) SC+DP/Stl,269,4,0
Scizor (Mega) BP+NS/TBl,519,3,7
Gardevoir (Mega) Cf+SB/TAx,386,4,0
Hydreigon (Shadow) DB+BrS/Fl,293,30,0
Latias (Shadow) DB+AuS/MsB,519,4,7
Dragonite (Shadow) DB+TP/SP,281,30,0
Necrozma (Dawn Wings) SC+DP/MoG,659,3,56
Giratina (Origin) SC+SB/DgP,627,3,45
Florges FW+M/CW,610,3,39
Gyarados (Shadow) DB+AT/Tw,539,4,14
Groudon DT+FiP/PrB,599,3,35
Solgaleo FS+PsF/IH,243,4,0
Kyurem DB+G/DC,204,30,0
Kyogre (Shadow) W+Av/OP,494,4,0
Dialga (Shadow) DB+IH/DM,410,4,0
Gyarados DB+AT/Tw,605,3,37
Mewtwo (Shadow) PC+Pst/SB,302,30,0
Salamence (Shadow) DT+Fl/BrS,324,15,0
