Pokemon,Battle Rating,Energy Remaining,HP Remaining
Latias (Mega) DB+AuS/MsB,465,1,0
Latios (Mega) DB+AuS/LrP,438,17,0
Palkia (Origin) DB+AT/SpR,556,41,20
Swampert (Mega) MS+HC/Eq,246,32,0
Ursaluna Scr+Sw/HH,570,0,25
Eternatus DT+DyC/Ft,603,2,37
Palkia DB+AT/DM,573,33,26
Ursaluna (Shadow) Scr+Sw/HH,379,32,0
Zygarde (Complete Forme) DT+O/Bd,755,18,91
Charizard (Mega Y) DB+BB/AC,357,0,0
Xerneas Geo+CC/M,358,41,0
Aggron (Mega) DT+BkB/RT,442,24,0
Reshiram DB+FuF/DM,353,33,0
Lugia DT+A/EP,464,2,0
Kyurem (White) DB+FuF/IBu,327,16,0
Palkia (Shadow) DB+AT/DM,741,1,86
Zekrom DB+O/FuB,423,17,0
Yveltal SkP+DP/ObW,617,1,42
Marshadow SC+CC/IP,685,1,66
Dialga (Origin) DB+ROT/IH,519,0,7
Gengar (Mega) SC+ShP/DrP,366,17,0
Giratina (Altered) (Shadow) DB+ShF/DC,646,2,52
Gallade (Mega) PC+SSw/LB,797,1,106
Giratina (Altered) DB+DC/ShF,691,2,68
Reshiram (Shadow) DB+FuF/DM,589,0,32
Zamazenta (Crowned Shield) IF+CC/BB,271,16,0
Garchomp DT+Tw/EP,775,1,98
Goodra DB+AT/DM,727,1,81
Garchomp (Shadow) DT+Tw/EP,856,17,127
Kyurem (Black) DT+FSh/FuB,314,8,0
Lunala SC+SB/M,361,1,0
Lugia (Shadow) DT+A/EP,490,18,0
Melmetal TS+DbI/DyP,277,24,0
Zacian (Crowned Sword) MC+CC/BB,202,16,0
Latios DB+AuS/LrP,553,33,19
Aerodactyl (Mega) DB+BrS/RS,334,25,0
Meloetta (Aria) Cf+Psh/DG,395,8,0
Kyogre W+Av/OP,298,9,0
Metagross SC+MM/Eq,212,16,0
Blastoise (Mega) RO+HC/IB,344,25,0
Latios (Shadow) DB+AuS/LrP,921,1,150
Dialga DB+IH/DM,514,0,5
Charizard (Mega X) DB+BB/DC,564,1,23
Latias DB+AuS/MsB,654,1,55
Necrozma (Dusk Mane) SC+DP/Stl,216,24,0
Scizor (Mega) BP+NS/TBl,480,8,0
Gardevoir (Mega) Cf+SB/TAx,389,25,0
Hydreigon (Shadow) DB+BrS/Fl,721,1,79
Latias (Shadow) DB+AuS/MsB,584,9,30
Dragonite (Shadow) DB+TP/SP,674,1,62
Necrozma (Dawn Wings) SC+DP/MoG,311,9,0
Giratina (Origin) SC+SB/DgP,472,9,0
Florges FW+M/CW,375,41,0
Gyarados (Shadow) DB+AT/Tw,620,1,43
Groudon DT+FiP/PrB,662,9,58
Solgaleo FS+PsF/IH,198,24,0
Kyurem DB+G/DC,385,40,0
Kyogre (Shadow) W+Av/OP,266,8,0
Dialga (Shadow) DB+IH/DM,355,8,0
Gyarados DB+AT/Tw,671,1,61
Mewtwo (Shadow) PC+Pst/SB,450,25,0
Salamence (Shadow) DT+Fl/BrS,676,1,63
Togekiss Pk+DG/AuS,500,2,0
Landorus (Therian) MS+SSt/SE,432,41,0
Metagross (Shadow) SC+MM/Eq,238,0,0
Mewtwo PC+Pst/SB,380,25,0
Slowbro (Mega) Cf+S/DrP,573,2,26
Blaziken (Mega) E+AuS/BK,691,9,68
Tapu Lele A+Psh/NM,471,41,0
Dragonite DB+TP/SP,497,25,0
Annihilape (Shadow) LK+RF/IP,735,1,84
Rillaboom Scr+DrB/EP,620,16,43
Annihilape LK+RF/IP,775,9,98
Keldeo (Resolute) LK+AJ/SeS,766,1,95
Alakazam (Mega) PC+SB/FiP,481,17,0
