Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+IW/EB,260,1,0
Absol (Mega) PC+BrS/Mh,187,5,0
Aerodactyl DB+RS/EP,142,44,0
Aerodactyl (Mega) DB+RS/EP,119,44,0
Aerodactyl (Shadow) DB+RS/EP,165,44,0
Aggron DT+MeB/RT,315,14,0
Aggron (Mega) DT+MeB/RT,175,14,0
Aggron (Shadow) DT+MeB/RT,372,14,0
Alakazam PC+FiP/SB,137,18,0
Alakazam (Mega) PC+FiP/SB,114,18,0
Alakazam (Shadow) PC+FiP/SB,159,18,0
Altaria (Mega) DB+Ft/M,280,12,0
Ampharos VS+BrS/TP,115,31,0
Ampharos (Mega) VS+TBl/BrS,131,18,0
Ampharos (Shadow) VS+BrS/TP,115,33,0
Annihilape LK+RF/CC,127,18,0
Annihilape (Shadow) LK+RF/CC,141,18,0
Arboliva ML+TBl/EP,107,46,0
Arcanine Sn+WC/PsF,201,31,0
Arcanine (Hisuian) Sn+WC/RS,304,46,0
Arcanine (Shadow) Sn+WC/PsF,276,46,0
Archeops WA+AP/Cr,353,1,0
Archeops (Shadow) WA+AP/Cr,149,33,0
Armaldo FC+RB/CP,112,18,0
Armaldo (Shadow) FC+CP/RB,131,18,0
Armarouge I+Psh/HW,58,5,0
Articuno PS+IW/AP,88,44,0
Articuno (Galarian) PC+AP/BrB,96,31,0
Articuno (Shadow) PS+IW/AP,102,44,0
Audino (Mega) ZH+BS/DV,239,23,0
Aurorus PS+WBI/Tb,78,33,0
Aurorus (Shadow) PS+WBI/MeB,104,91,0
Avalugg IF+Av/BS,74,31,0
Avalugg (Hisuian) PS+RS/IW,286,1,0
Azelf Cf+Sw/FS,112,18,0
Banette (Mega) SC+SB/DG,125,18,0
Barbaracle FC+CrC/SE,343,1,0
Baxcalibur DB+Av/DC,178,44,0
Beartic PS+IP/Li,110,46,0
Beedrill (Mega) PSt+DR/XS,83,18,0
Bellibolt SkP+D/PbC,114,44,0
Bewear SC+SP/Pbk,153,31,0
Bisharp Sn+DP/XS,144,46,0
Blacephalon I+MdB/SB,274,5,0
Blastoise RO+HC/IB,105,31,0
Blastoise (Mega) RO+HC/IB,85,31,0
Blastoise (Shadow) RO+HC/IB,126,31,0
Blaziken (Mega) E+AuS/BB,107,18,0
Blissey ZH+WC/DG,283,43,0
Bouffalant MS+St/Mh,92,46,0
Braviary AS+CC/BrB,318,44,0
Braviary (Hisuian) AS+BrB/Fl,351,57,0
Buzzwole C+SP/Lu,451,12,0
Carracosta WG+Li/BS,346,1,0
Carracosta (Shadow) WG+Li/BS,414,1,0
Celebi Cf+SeB/LfS,89,31,0
Celesteela AS+BS/Bd,63,44,0
Centiskorch E+HW/Lu,67,31,0
Ceruledge I+SB/HW,48,5,0
Cetitan PS+Av/ISp,93,46,0
Chandelure I+SB/FmC,73,5,0
Chandelure (Shadow) I+SB/FmC,59,7,0
Charizard DB+BB/DC,98,44,0
Charizard (Mega X) DB+BB/DC,122,44,0
Charizard (Mega Y) E+BB/AC,47,5,0
Charizard (Shadow) DB+BB/DC,98,44,0
Chesnaught LK+FP/SP,176,44,0
Chesnaught (Shadow) LK+FP/SP,198,44,0
Cinderace FS+PB/BB,72,18,0
Coalossal FS+RS/FmC,234,14,0
Cobalion DK+SSw/SE,87,44,0
Conkeldurr C+DyP/BrS,175,44,0
Conkeldurr (Shadow) C+DyP/BrS,187,31,0
Corviknight SdA+AC/IH,55,31,0
Crabominable B+IP/BkB,469,1,0
Cresselia PC+GK/M,71,44,0
Cresselia (Shadow) Cf+GK/M,99,57,0
Crobat AS+AC/CP,92,44,0
Crobat (Shadow) AS+AC/CP,92,44,0
Cryogonal IS+TAx/NS,104,46,0
Cursola A+NSh/PG,109,18,0
Darkrai Sn+DP/FB,423,1,0
Darkrai (Shadow) Sn+SB/DP,496,1,0
Darmanitan (Galarian) IF+Av/SP,98,20,0
Darmanitan (Standard) I+RS/Ov,74,33,0
Darmanitan (Standard) (Shadow) I+RS/Ov,60,7,0
Decidueye Lf+FP/BrB,145,44,0
Decidueye (Hisuian) PC+AuS/TBl,173,31,0
Delphox FS+Psh/BB,67,31,0
Delphox (Shadow) FS+Psh/BB,64,5,0
Deoxys (Defense) C+PB/RS,185,12,0
Deoxys (Speed) CB+PB/Sw,141,31,0
Dhelmise SC+SB/BrS,117,18,0
Dialga DB+IH/DM,307,14,0
Dialga (Origin) DB+ROT/IH,296,14,0
Dialga (Shadow) DB+IH/DM,366,14,0
Diancie RTh+RS/M,114,31,0
Diancie (Mega) RTh+RS/M,66,7,0
Dondozo W+S/O,100,57,0
Donphan MSl+BS/TBl,96,31,0
Donphan (Shadow) MSl+BS/TBl,99,33,0
Dragapult DT+SB/O,222,57,0
Dragonite DB+TP/SP,151,31,0
Dragonite (Shadow) DB+TP/SP,170,31,0
Drampa DB+Sw/Fl,190,31,0
Druddigon DT+NS/RT,218,44,0
Dudunsparce RO+BS/DR,90,46,0
Duraludon DT+DC/FC,388,14,0
Electivire TS+WC/IP,112,18,0
Electivire (Shadow) TS+WC/IP,131,18,0
Emboar E+BB/RS,116,31,0
Emboar (Shadow) E+BB/RS,148,31,0
Empoleon MSo+HC/FC,70,33,0
Empoleon (Shadow) MSo+HC/DrlP,58,20,0
Enamorus (Incarnate) FW+Fl/DG,131,31,0
Enamorus (Therian) FW+Fl/M,110,31,0
