Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lugia DT+Fl/A,366,26,0
Kyogre W+Av/T,429,17,0
Mewtwo (Shadow) PC+Pst/SB,848,0,94
Lugia (Shadow) DT+Fl/A,411,17,0
Palkia DB+AT/DM,236,1,0
Mewtwo PC+Pst/SB,885,0,104
Palkia (Shadow) DB+AT/DM,277,1,0
Necrozma (Dusk Mane) SC+Stl/DP,488,9,0
Solgaleo FS+PsF/IH,333,37,0
Kyogre (Shadow) W+Av/T,581,18,22
Blastoise (Mega) RO+HC/IB,485,35,0
Kyurem DB+G/DC,314,19,0
Giratina (Altered) SC+DC/SS,418,8,0
Slowbro (Mega) Cf+S/DrP,396,44,0
Alakazam (Mega) PC+FiP/SB,500,0,0
Giratina (Altered) (Shadow) DB+DC/SS,718,18,59
Jirachi Cf+DD/AuS,551,36,14
Latios (Shadow) DB+AuS/LrP,700,0,54
Zacian (Hero) QA+WC/PR,390,37,0
Florges FW+CW/M,522,6,6
Aerodactyl (Mega) DB+RS/EP,485,9,0
Latios DB+AuS/LrP,774,0,74
Tapu Lele A+NM/Psh,640,0,38
Necrozma (Dawn Wings) SC+MoG/DP,625,0,34
Latias DB+AuS/MsB,607,18,29
Latias (Shadow) DB+AuS/MsB,700,0,54
Goodra DB+AT/TP,411,17,0
Dragonite (Shadow) DB+TP/SP,700,0,54
Sylveon FW+M/SB,347,19,0
Ho-Oh I+BrB/SF,411,36,0
Mew SC+Psh/WC,581,9,22
Zapdos TS+DrlP/HW,559,27,16
Zapdos (Shadow) TS+DrlP/HW,533,0,9
Togekiss Pk+DG/AuS,460,9,0
Gyarados DB+AT/Tw,492,17,0
Malamar (Mega) Psy+FoP/SP/Psb+,332,27,0
Salamence (Shadow) DT+BrS/Fl,347,1,0
Avalugg (Hisuian) PS+RS/IW,355,45,0
Gyarados (Shadow) DB+AT/Tw,555,0,15
Baxcalibur DB+GlR/Av,473,0,0
Xurkitree TS+D/DG,581,0,22
Abomasnow (Mega) PS+IW/EB,796,1,80
Thundurus (Therian) VS+WbS/FB,700,9,54
Sceptile (Mega) FC+LB/DC,414,1,0
Dragonite DB+TP/SP,503,26,1
Rayquaza DT+BkS/DrA,774,0,74
