Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+IW/EB,544,4,21
Aerodactyl DB+RS/EP,563,21,30
Aerodactyl (Mega) DB+RS/EP,392,13,0
Aerodactyl (Shadow) DB+RS/EP,906,5,191
Alakazam PC+FiP/SB,627,4,60
Alakazam (Mega) PC+FiP/SB,508,4,4
Alakazam (Shadow) PC+FiP/SB,687,29,88
Altaria (Mega) DB+Ft/M,553,12,25
Arboliva ML+EB/SeB,452,21,0
Archeops WA+AP/Cr,936,5,205
Archeops (Shadow) WA+AP/Cr,925,5,200
Armarouge I+Psh/HW,617,4,55
Articuno PS+TAx/AP,738,4,112
Articuno (Galarian) PC+AP/BrB,672,4,81
Articuno (Shadow) PS+TAx/AP,702,4,95
Audino (Mega) Pd+DV/HB,795,1,139
Aurorus PS+WBI/Tb,770,4,127
Aurorus (Shadow) PS+WBI/MeB,500,4,0
Avalugg IF+Av/BS,712,1,100
Avalugg (Hisuian) PS+RS/IW,471,36,0
Azelf Cf+Sw/FS,704,4,96
Banette (Mega) SC+SB/T,361,13,0
Barbaracle FC+SE/CrC,437,12,0
Baxcalibur DB+GlR/Av,819,4,150
Beartic PS+IP/Li,665,4,78
Bewear SC+SP/Pbk,244,5,0
Bewear (Shadow) LK+SP/DrP,97,40,0
Blastoise RO+HC/IB,429,28,0
Blastoise (Mega) RO+HC/IB,126,5,0
Blastoise (Shadow) RO+HC/IB,497,28,0
Blissey Pd+WC/DG,793,32,138
Bouffalant MS+St/Mh,585,36,40
Braviary AS+BrB/CC,462,21,0
Braviary (Hisuian) AS+BrB/Fl,797,29,140
Carracosta RTh+AP/BS,457,20,0
Carracosta (Shadow) RTh+AP/BS,490,4,0
Celebi Cf+SeB/LfS,358,21,0
Celesteela SD+BS/Bd,542,1,20
Cetitan PS+Av/ISp,785,4,134
Charizard DB+BB/DC,570,4,33
Charizard (Shadow) DB+BB/DC,510,4,5
Corviknight SdA+AC/IH,452,28,0
Corviknight (Shadow) SdA+AC/IH,272,13,0
Crabominable B+IP/BkB,209,21,0
Cresselia PC+GK/M,318,36,0
Cresselia (Shadow) PC+GK/M,602,1,48
Crobat AS+CP/AC,851,4,165
Crobat (Shadow) AS+CP/AC,842,13,161
Cryogonal IS+NS/TAx,829,4,155
Darmanitan (Galarian) IF+Av/SP,218,13,0
Delphox FS+Psh/BB,538,4,18
Delphox (Shadow) FS+Psh/BB,234,21,0
Deoxys (Defense) C+RS/PB,444,28,0
Deoxys (Speed) CB+Sw/PB,742,4,114
Diancie RTh+RS/M,425,4,0
Diancie (Mega) RTh+RS/M,574,4,35
Dondozo W+S/O,288,20,0
Dragonite DB+TP/SP,186,40,0
Dragonite (Shadow) DB+TP/SP,226,40,0
Drampa DB+Sw/Fl,785,21,134
Dudunsparce RO+BS/RS,459,28,0
Empoleon MSo+HC/FC,112,13,0
Empoleon (Shadow) MSo+HC/DrlP,42,40,0
Enamorus (Incarnate) FW+Fl/DG,744,13,115
Enamorus (Therian) FW+Fl/M,582,4,39
Espeon Cf+PsF/SB,538,4,18
Exeggutor Cf+SeB/P,621,21,57
Exeggutor (Shadow) Cf+SeB/P,889,5,183
Feraligatr SC+HC/IB,432,20,0
Feraligatr (Shadow) SC+HC/IB,500,12,0
Florges FW+CW/M,348,20,0
Gallade PC+LB/CC,272,5,0
Gallade (Shadow) PC+LB/CC,324,5,0
Gardevoir Ch+TAx/SB,829,4,155
Gardevoir (Shadow) Ch+TAx/SB,787,4,135
Giratina (Altered) SC+DC/SS,640,1,66
Glaceon IS+Av/WP,612,4,53
Glalie (Mega) PS+Av/SB,661,4,76
Gliscor WA+NS/Eq,957,5,215
Gliscor (Shadow) FC+NS/Acr,802,5,142
Golisopod FC+XS/AJ,570,4,33
