Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lugia DT+Fl/A,695,1,76
Kyogre W+Av/T,334,6,0
Mewtwo (Shadow) PC+Pst/SB,450,34,0
Lugia (Shadow) DT+Fl/A,634,1,52
Palkia DB+AT/DM,304,22,0
Mewtwo PC+Pst/SB,489,0,0
Palkia (Shadow) DB+AT/DM,353,22,0
Necrozma (Dusk Mane) SC+Stl/DP,227,35,0
Solgaleo FS+PsF/IH,141,6,0
Kyogre (Shadow) W+Av/T,399,0,0
Blastoise (Mega) RO+HC/IB,241,40,0
Kyurem DB+G/DC,512,1,5
Giratina (Altered) SC+DC/SS,659,1,62
Slowbro (Mega) Cf+S/DrP,262,24,0
Alakazam (Mega) PC+FiP/SB,429,34,0
Giratina (Altered) (Shadow) DB+DC/SS,523,6,9
Jirachi Cf+DD/AuS,184,23,0
Latios (Shadow) DB+AuS/LrP,706,90,80
Zacian (Hero) QA+WC/PR,610,0,43
Florges FW+CW/M,677,1,69
Aerodactyl (Mega) DB+RS/EP,739,10,93
Latios DB+AuS/LrP,507,10,3
Tapu Lele A+NM/Psh,369,34,0
Necrozma (Dawn Wings) SC+MoG/DP,338,40,0
Latias DB+AuS/MsB,450,17,0
Latias (Shadow) DB+AuS/MsB,470,6,0
Goodra DB+AT/TP,530,100,12
Dragonite (Shadow) DB+TP/SP,801,60,117
Sylveon FW+M/SB,682,1,71
Ho-Oh I+BrB/SF,382,0,0
Mew SC+Psh/WC,502,7,1
Zapdos TS+DrlP/HW,639,100,54
Zapdos (Shadow) TS+DrlP/HW,860,90,140
Togekiss Pk+DG/AuS,597,100,38
Gyarados DB+AT/Tw,567,6,26
Malamar (Mega) Psy+FoP/SP/Psb+,318,34,0
Salamence (Shadow) DT+BrS/Fl,868,54,143
Avalugg (Hisuian) PS+RS/IW,337,8,0
Gyarados (Shadow) DB+AT/Tw,376,28,0
Baxcalibur DB+GlR/Av,419,34,0
Xurkitree TS+D/DG,623,100,48
Abomasnow (Mega) PS+IW/EB,685,0,72
Thundurus (Therian) VS+WbS/FB,744,10,95
Sceptile (Mega) FC+LB/DC,855,60,138
Dragonite DB+TP/SP,824,72,126
Rayquaza DT+BkS/DrA,835,66,130
Ho-Oh (Shadow) I+BrB/SF,315,22,0
Mewtwo (Armored) Cf+Pst/DyP,398,24,0
Golisopod FC+XS/AJ,362,0,0
Salamence DT+BrS/Fl,835,66,130
Volcanion I+Sc/EP,171,34,0
Primarina Ch+DV/HC,375,6,0
Pinsir (Mega) FC+XS/CC,582,57,32
Landorus (Therian) MS+SSt/SE,920,66,163
Enamorus (Therian) FW+Fl/M,840,100,132
Milotic DT+AT/Wr,335,7,0
Victini Cf+VC/Psh,281,28,0
Avalugg IF+Av/BS,500,15,0
Tapu Koko VS+Tb/NM,452,40,0
