Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lugia DT+Fl/A,525,5,9
Kyogre W+Av/T,364,0,0
Mewtwo (Shadow) PC+Pst/SB,453,0,0
Lugia (Shadow) DT+Fl/A,492,5,0
Palkia DB+AT/DM,116,29,0
Mewtwo PC+Pst/SB,445,32,0
Palkia (Shadow) DB+AT/DM,245,16,0
Necrozma (Dusk Mane) SC+Stl/DP,302,16,0
Solgaleo FS+PsF/IH,305,40,0
Kyogre (Shadow) W+Av/T,372,5,0
Blastoise (Mega) RO+HC/IB,258,40,0
Kyurem DB+G/DC,573,5,26
Giratina (Altered) SC+DC/SS,500,29,0
Slowbro (Mega) Cf+S/DrP,250,16,0
Alakazam (Mega) PC+FiP/SB,188,40,0
Giratina (Altered) (Shadow) DB+DC/SS,505,5,2
Jirachi Cf+DD/AuS,271,8,0
Latios (Shadow) DB+AuS/LrP,177,5,0
Zacian (Hero) QA+WC/PR,862,8,129
Florges FW+CW/M,674,40,62
Aerodactyl (Mega) DB+RS/EP,820,0,114
Latios DB+AuS/LrP,148,5,0
Tapu Lele A+NM/Psh,741,0,86
Necrozma (Dawn Wings) SC+MoG/DP,369,16,0
Latias DB+AuS/MsB,148,5,0
Latias (Shadow) DB+AuS/MsB,148,5,0
Goodra DB+AT/TP,314,40,0
Dragonite (Shadow) DB+TP/SP,178,13,0
Sylveon FW+M/SB,640,40,50
Ho-Oh I+BrB/SF,393,40,0
Mew SC+Psh/WC,313,0,0
Zapdos TS+DrlP/HW,370,24,0
Zapdos (Shadow) TS+DrlP/HW,110,5,0
Togekiss Pk+DG/AuS,477,16,0
Gyarados DB+AT/Tw,570,29,25
Malamar (Mega) Psy+FoP/SP,411,40,0
Salamence (Shadow) DT+BrS/Fl,417,24,0
Avalugg (Hisuian) PS+RS/IW,912,0,147
Gyarados (Shadow) DB+AT/Tw,309,32,0
Baxcalibur DB+GlR/Av,587,24,31
Xurkitree TS+D/DG,130,32,0
Abomasnow (Mega) PS+IW/EB,612,40,40
Thundurus (Therian) VS+WbS/FB,344,8,0
