Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+IW/EB,284,8,0
Aerodactyl DB+RS/EP,733,0,83
Aerodactyl (Mega) DB+RS/EP,646,0,52
Aerodactyl (Shadow) DB+RS/EP,646,0,52
Alakazam PC+FiP/SB,792,100,104
Alakazam (Mega) PC+FiP/SB,451,40,0
Alakazam (Shadow) PC+FiP/SB,778,100,99
Altaria (Mega) DB+Ft/M,601,1,36
Arboliva ML+EB/SeB,83,9,0
Archeops WA+AP/Cr,657,0,56
Archeops (Shadow) WA+AP/Cr,615,0,41
Armarouge I+Psh/HW,514,0,5
Articuno PS+TAx/AP,606,0,38
Articuno (Galarian) PC+AP/BrB,783,0,101
Articuno (Shadow) PS+TAx/AP,522,0,8
Audino (Mega) Pd+DV/HB,766,0,95
Aurorus PS+WBI/Tb,738,0,85
Aurorus (Shadow) PS+WBI/MeB,679,0,64
Avalugg IF+Av/BS,587,0,31
Avalugg (Hisuian) PS+RS/IW,567,24,24
Azelf Cf+Sw/FS,463,40,0
Banette (Mega) SC+SB/T,603,100,37
Barbaracle FC+SE/CrC,490,8,0
Baxcalibur DB+GlR/Av,404,33,0
Beartic PS+IP/Li,662,0,58
Bewear SC+SP/Pbk,346,16,0
Bewear (Shadow) LK+SP/St,406,40,0
Blastoise RO+HC/IB,533,0,12
Blastoise (Mega) RO+HC/IB,420,40,0
Blastoise (Shadow) RO+HC/IB,612,32,40
Blissey Pd+WC/DG,716,0,77
Bouffalant MS+St/Mh,575,0,27
Braviary AS+BrB/CC,688,0,67
Braviary (Hisuian) AS+BrB/Fl,713,0,76
Carracosta RTh+AP/BS,589,16,32
Carracosta (Shadow) RTh+AP/BS,547,0,17
Celebi Cf+SeB/LfS,612,1,40
Celesteela SD+BS/Bd,601,0,36
Cetitan PS+Av/ISp,606,0,38
Charizard DB+BB/DC,733,0,83
Charizard (Shadow) DB+BB/DC,646,0,52
Corviknight SdA+AC/IH,533,0,12
Corviknight (Shadow) SdA+AC/IH,657,16,56
Crabominable B+IP/BkB,674,0,62
Cresselia PC+GK/M,508,0,3
Cresselia (Shadow) PC+GK/M,439,8,0
Crobat AS+CP/AC,741,0,86
Crobat (Shadow) AS+CP/AC,685,0,66
Cryogonal IS+NS/TAx,662,40,58
Darmanitan (Galarian) IF+Av/SP,682,0,65
Delphox FS+Psh/BB,769,0,96
Delphox (Shadow) FS+Psh/BB,713,0,76
Deoxys (Defense) C+RS/PB,758,8,92
Deoxys (Speed) CB+Sw/PB,769,100,96
Diancie RTh+RS/M,637,0,49
Diancie (Mega) RTh+RS/M,224,8,0
Dondozo W+S/O,441,16,0
Dragonite DB+TP/SP,204,40,0
Dragonite (Shadow) DB+TP/SP,244,40,0
Drampa DB+Sw/Fl,139,40,0
Dudunsparce RO+BS/RS,329,24,0
Empoleon MSo+HC/FC,488,40,0
Empoleon (Shadow) MSo+HC/DrlP,598,16,35
Enamorus (Incarnate) FW+Fl/DG,282,40,0
Enamorus (Therian) FW+Fl/M,487,8,0
Espeon Cf+PsF/SB,429,32,0
Exeggutor Cf+SeB/P,620,0,43
Exeggutor (Shadow) Cf+SeB/P,623,100,44
Feraligatr SC+HC/IB,500,0,0
Feraligatr (Shadow) SC+HC/IB,500,16,0
Florges FW+CW/M,309,8,0
Gallade PC+LB/CC,396,40,0
Gallade (Shadow) PC+LB/CC,425,60,0
Gardevoir Ch+TAx/SB,592,0,33
Gardevoir (Shadow) Ch+TAx/SB,457,60,0
Giratina (Altered) SC+DC/SS,474,2,0
Glaceon IS+Av/WP,797,0,106
Glalie (Mega) PS+Av/SB,783,0,101
Gliscor WA+NS/Eq,688,0,67
Gliscor (Shadow) FC+NS/Acr,609,0,39
Golisopod FC+XS/AJ,234,40,0
Goodra DB+AT/TP,193,32,0
Grimmsnarl SkP+FoP/PR,539,16,14
Gyarados DB+AT/Tw,481,9,0
Gyarados (Shadow) DB+AT/Tw,257,32,0
Ho-Oh I+BrB/SF,657,0,56
Ho-Oh (Shadow) I+BrB/SF,691,0,68
Hoopa A+SB/P,682,96,65
Hoopa (Unbound) Cf+DP/SB,229,32,0
Jirachi Cf+DD/AuS,612,8,40
Kangaskhan LK+Cr/St,629,0,46
Kangaskhan (Mega) LK+BkB/O,76,40,0
Keldeo (Ordinary) LK+AJ/SSw,337,0,0
Keldeo (Resolute) LK+AJ/SeS,191,32,0
Kingdra DB+Sw/S,573,9,26
Kingdra (Shadow) DB+Sw/S,393,0,0
Kyogre W+Av/T,601,0,36
Kyogre (Shadow) W+Av/T,561,0,22
Kyurem DB+G/DC,282,8,0
Landorus (Incarnate) MS+RS/EP,825,0,116
Landorus (Incarnate) (Shadow) MS+EP/RS,783,0,101
Landorus (Therian) MS+SSt/SE,467,8,0
Lapras IS+S/IB,651,24,54
Lapras (Shadow) Psy+SpA/IB,424,40,0
Latias DB+AuS/MsB,311,40,0
Latias (Shadow) DB+AuS/MsB,354,40,0
Latios DB+AuS/LrP,354,40,0
Latios (Shadow) DB+AuS/LrP,398,40,0
Lickilicky RO+BS/SB,341,40,0
Lopunny (Mega) LK+TP/SB,107,40,0
Lugia DT+Fl/A,397,32,0
Lugia (Shadow) DT+Fl/A,716,1,77
Malamar (Mega) Psy+FoP/SP,213,40,0
Mamoswine PS+ISp/HH,783,0,101
Mamoswine (Shadow) PS+HH/ISp,741,0,86
Mawile (Mega) FW+Y/IH,952,0,161
Medicham (Mega) PC+DyP/IP,797,100,106
Mesprit Cf+Sw/FS,612,0,40
Mew SC+Psh/WC,487,0,0
Mewtwo PC+Pst/SB,356,40,0
Mewtwo (Armored) Cf+Pst/DyP,450,32,0
Mewtwo (Shadow) PC+Pst/SB,434,40,0
Milotic DT+AT/Wr,353,24,0
Milotic (Shadow) DT+AT/Wr,389,8,0
Miltank RO+BS/Tb,314,40,0
Moltres FS+Fl/Ov,741,0,86
Moltres (Shadow) WA+Fl/HW,657,0,56
Mr. Rime Cf+IP/TAx,626,0,45
Musharna CB+Psh/DG,797,0,106
Necrozma SC+DP/O,699,0,71
Necrozma (Dawn Wings) SC+MoG/DP,643,100,51
Necrozma (Dusk Mane) SC+Stl/DP,699,0,71
Noivern G+Hu/HW,612,1,40
Noivern (Shadow) G+Hu/HW,485,0,0
Obstagoon C+NS/Ob,334,0,0
Obstagoon (Shadow) C+NS/CrC,344,16,0
Oinkologne MSl+BS/TBl,360,24,0
Oinkologne (Female) MSl+BS/TBl,343,32,0
Omastar MS+RS/RB,643,8,51
Omastar (Shadow) MS+RS/RB,662,0,58
Oranguru Cf+BrS/TBl,403,16,0
Palkia DB+AT/DM,210,17,0
Palkia (Shadow) DB+AT/DM,251,32,0
Pidgeot (Mega) WA+BrB/Tw,133,40,0
Pinsir (Mega) FC+XS/CC,258,40,0
Poliwrath MS+DyP/Sc,595,0,34
Poliwrath (Shadow) MS+DyP/Sc,564,24,23
Porygon-Z LO+TA/Bl,356,16,0
Porygon-Z (Shadow) LO+TA/Bl,132,40,0
Porygon2 LO+TA/ZC,334,24,0
Porygon2 (Shadow) LO+TA/ZC,373,24,0
Primarina Ch+DV/HC,412,24,0
Pyroar I+FmC/DP,735,0,84
Quaquaval LK+CC/AJ,441,48,0
Rayquaza DT+BkS/DrA,592,1,33
Regice LO+T/Eq,542,0,15
Regice (Shadow) LO+Bl/T,395,24,0
Regigigas HPI+CrG/T,679,32,64
Regigigas (Shadow) HPR+CrG/T,371,32,0
Relicanth WG+AT/AP,632,0,47
Reuniclus Ch+Psh/SB,685,0,66
Reuniclus (Shadow) Ch+Psh/SB,629,0,46
Salamence DT+BrS/Fl,221,32,0
Salamence (Shadow) DT+BrS/Fl,257,32,0
Samurott FC+HC/Mh,422,16,0
Samurott (Hisuian) FC+SSw/DP,166,40,0
Samurott (Shadow) FC+HC/Mh,314,40,0
Sceptile (Mega) FC+LB/DC,273,32,0
Seismitoad MS+EP/IW,851,8,125
Sharpedo (Mega) W+Cr/PF,595,24,34
Shaymin (Land) ZH+GK/SFl,761,9,93
Shaymin (Sky) ML+EB/GK,184,1,0
Slaking Y+BS/Eq,744,16,87
Slaking (Shadow) Y+BS/Eq,705,0,73
Slowbro Cf+S/DrP,414,16,0
Slowbro (Mega) Cf+S/DrP,317,16,0
