Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lugia DT+Fl/A,364,20,0
Kyogre W+Av/T,345,42,0
Mewtwo (Shadow) PC+Pst/SB,699,2,100
Lugia (Shadow) DT+Fl/A,366,50,0
Palkia DB+AT/DM,374,14,0
Mewtwo PC+Pst/SB,395,38,0
Palkia (Shadow) DB+AT/DM,426,14,0
Necrozma (Dusk Mane) SC+Stl/DP,380,34,0
Solgaleo FS+PsF/IH,583,24,42
Kyogre (Shadow) W+Av/T,589,4,45
Blastoise (Mega) RO+HC/IB,364,42,0
Kyurem DB+G/DC,330,30,0
Giratina (Altered) SC+DC/SS,500,4,0
Slowbro (Mega) Cf+S/DrP,671,0,86
Alakazam (Mega) PC+FiP/SB,589,2,45
Giratina (Altered) (Shadow) DB+DC/SS,408,54,0
Jirachi Cf+DD/AuS,573,16,37
Latios (Shadow) DB+AuS/LrP,519,22,10
Zacian (Hero) QA+WC/PR,372,50,0
Florges FW+CW/M,363,42,0
Aerodactyl (Mega) DB+RS/EP,354,54,0
Latios DB+AuS/LrP,539,46,20
Tapu Lele A+NM/Psh,515,26,8
Necrozma (Dawn Wings) SC+MoG/DP,394,14,0
Latias DB+AuS/MsB,595,4,48
Latias (Shadow) DB+AuS/MsB,533,46,17
Goodra DB+AT/TP,705,4,103
Dragonite (Shadow) DB+TP/SP,565,54,33
Sylveon FW+M/SB,368,34,0
Ho-Oh I+BrB/SF,421,28,0
Mew SC+Psh/WC,649,4,75
Zapdos TS+DrlP/HW,685,4,93
Zapdos (Shadow) TS+DrlP/HW,633,4,67
Togekiss Pk+DG/AuS,404,42,0
Gyarados DB+AT/Tw,329,54,0
Malamar (Mega) Psy+FoP/SP,517,0,9
Salamence (Shadow) DT+BrS/Fl,487,14,0
Avalugg (Hisuian) PS+RS/IW,314,12,0
Gyarados (Shadow) DB+AT/Tw,350,30,0
Baxcalibur DB+GlR/Av,417,30,0
Xurkitree TS+D/DG,587,26,44
Abomasnow (Mega) PS+IW/EB,325,26,0
Thundurus (Therian) VS+WbS/FB,741,4,121
Sceptile (Mega) FC+LB/DC,537,46,19
Dragonite DB+TP/SP,625,4,63
Rayquaza DT+BkS/DrA,484,46,0
Ho-Oh (Shadow) I+BrB/SF,587,0,44
Mewtwo (Armored) Cf+Pst/DyP,615,0,58
Golisopod FC+XS/AJ,745,0,123
Salamence DT+BrS/Fl,471,46,0
Volcanion I+Sc/EP,627,4,64
Primarina Ch+DV/HC,501,0,1
Pinsir (Mega) FC+XS/CC,725,4,113
Landorus (Therian) MS+SSt/SE,545,16,23
Enamorus (Therian) FW+Fl/M,429,26,0
Milotic DT+AT/Wr,695,0,98
Victini Cf+VC/Psh,649,4,75
Avalugg IF+Av/BS,402,12,0
Tapu Koko VS+Tb/NM,655,42,78
Snorlax (Shadow) L+BS/SP,589,2,45
Milotic (Shadow) DT+AT/Wr,729,4,115
Cetitan PS+Av/ISp,330,18,0
Pidgeot (Mega) WA+BrB/Tw,323,26,0
Ursaluna Tk+Sw/HH,575,6,38
Dondozo W+S/O,503,2,2
Empoleon (Shadow) MSo+HC/DrlP,653,12,77
