Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lugia DT+Fl/A,73,45,0
Kyogre W+Av/T,149,25,0
Mewtwo (Shadow) PC+Pst/SB,158,35,0
Lugia (Shadow) DT+Fl/A,97,45,0
Palkia DB+AT/DM,160,25,0
Mewtwo PC+Pst/SB,132,35,0
Palkia (Shadow) DB+AT/DM,166,15,0
Necrozma (Dusk Mane) SC+Stl/DP,302,10,0
Solgaleo FS+PsF/IH,632,0,51
Kyogre (Shadow) W+Av/T,173,25,0
Blastoise (Mega) RO+HC/IB,126,15,0
Kyurem DB+G/DC,151,45,0
Giratina (Altered) SC+DC/SS,372,20,0
Slowbro (Mega) Cf+S/DrP,105,45,0
Alakazam (Mega) PC+FiP/SB,151,35,0
Giratina (Altered) (Shadow) DB+DC/SS,426,10,0
Jirachi Cf+DD/AuS,651,0,58
Latios (Shadow) DB+AuS/LrP,119,15,0
Zacian (Hero) QA+WC/PR,242,55,0
Florges FW+CW/M,369,0,0
Aerodactyl (Mega) DB+RS/EP,142,25,0
Latios DB+AuS/LrP,119,35,0
Tapu Lele A+NM/Psh,588,0,34
Necrozma (Dawn Wings) SC+MoG/DP,113,35,0
Latias DB+AuS/MsB,119,45,0
Latias (Shadow) DB+AuS/MsB,119,35,0
Goodra DB+AT/TP,163,35,0
Dragonite (Shadow) DB+TP/SP,194,25,0
Sylveon FW+M/SB,622,0,47
Ho-Oh I+BrB/SF,158,45,0
Mew SC+Psh/WC,385,45,0
Zapdos TS+DrlP/HW,190,35,0
Zapdos (Shadow) TS+DrlP/HW,217,35,0
Togekiss Pk+DG/AuS,627,0,49
Gyarados DB+AT/Tw,182,35,0
Malamar (Mega) Psy+FoP/SP,58,45,0
Salamence (Shadow) DT+BrS/Fl,257,45,0
Avalugg (Hisuian) PS+RS/IW,118,15,0
Gyarados (Shadow) DB+AT/Tw,188,25,0
Baxcalibur DB+GlR/Av,217,45,0
Xurkitree TS+D/DG,258,35,0
Abomasnow (Mega) PS+IW/EB,505,0,2
Thundurus (Therian) VS+WbS/FB,182,15,0
Sceptile (Mega) FC+LB/DC,270,55,0
Dragonite DB+TP/SP,188,35,0
Rayquaza DT+BkS/DrA,293,55,0
Ho-Oh (Shadow) I+BrB/SF,184,35,0
Mewtwo (Armored) Cf+Pst/DyP,333,0,0
Golisopod FC+XS/AJ,204,45,0
Salamence DT+BrS/Fl,229,45,0
Volcanion I+Sc/EP,510,0,4
Primarina Ch+DV/HC,575,0,29
Pinsir (Mega) FC+XS/CC,682,0,70
Landorus (Therian) MS+SSt/SE,146,15,0
Enamorus (Therian) FW+Fl/M,575,0,29
Milotic DT+AT/Wr,489,10,0
Victini Cf+VC/Psh,407,10,0
Avalugg IF+Av/BS,549,0,19
Tapu Koko VS+Tb/NM,226,35,0
Snorlax (Shadow) L+BS/SP,570,10,27
