Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+IW/EB,577,2,29
Aerodactyl DB+RS/EP,912,0,155
Aerodactyl (Mega) DB+RS/EP,601,5,38
Aerodactyl (Shadow) DB+RS/EP,912,0,155
Alakazam PC+FiP/SB,455,40,0
Alakazam (Mega) PC+FiP/SB,355,16,0
Alakazam (Shadow) PC+FiP/SB,545,16,17
Altaria (Mega) DB+Ft/M,170,21,0
Arboliva ML+EB/SeB,488,21,0
Archeops WA+AP/Cr,867,0,138
Archeops (Shadow) WA+AP/Cr,840,0,128
Armarouge I+Psh/HW,590,0,34
Articuno PS+TAx/AP,683,2,69
Articuno (Galarian) PC+AP/BrB,223,8,0
Articuno (Shadow) PS+TAx/AP,787,5,108
Audino (Mega) Pd+DV/HB,696,2,74
Aurorus PS+WBI/Tb,960,5,173
Aurorus (Shadow) PS+WBI/MeB,946,5,168
Avalugg IF+Av/BS,805,2,115
Avalugg (Hisuian) PS+RS/IW,827,13,123
Azelf Cf+Sw/FS,414,32,0
Banette (Mega) SC+SB/T,361,16,0
Barbaracle FC+SE/CrC,805,37,115
Baxcalibur DB+GlR/Av,574,37,28
Beartic PS+IP/Li,829,21,124
Bewear SC+SP/Pbk,686,29,70
Bewear (Shadow) LK+SP/St,659,13,60
Blastoise RO+HC/IB,752,18,95
Blastoise (Mega) RO+HC/IB,622,42,46
Blastoise (Shadow) RO+HC/IB,821,2,121
Blissey Pd+WC/DG,686,7,70
Bouffalant MS+St/Mh,835,2,126
Braviary AS+BrB/CC,569,2,26
Braviary (Hisuian) AS+BrB/Fl,293,32,0
Carracosta RTh+AP/BS,819,29,120
Carracosta (Shadow) RTh+AP/BS,933,5,163
Celebi Cf+SeB/LfS,141,21,0
Celesteela SD+BS/Bd,803,0,114
Cetitan PS+Av/ISp,776,2,104
Charizard DB+BB/DC,675,40,66
Charizard (Shadow) DB+BB/DC,912,0,155
Corviknight SdA+AC/IH,638,0,52
Crabominable B+IP/BkB,957,13,172
Cresselia PC+GK/M,313,8,0
Cresselia (Shadow) PC+GK/M,361,8,0
Crobat AS+CP/AC,625,0,47
Crobat (Shadow) AS+CP/AC,555,0,21
Cryogonal IS+NS/TAx,840,2,128
Darmanitan (Galarian) IF+Av/SP,920,5,158
Delphox FS+Psh/BB,593,5,35
Delphox (Shadow) FS+Psh/BB,914,8,156
Deoxys (Defense) C+RS/PB,547,5,18
Deoxys (Speed) CB+Sw/PB,598,0,37
Diancie RTh+RS/M,795,5,111
Diancie (Mega) RTh+RS/M,869,8,139
Dondozo W+S/O,691,7,72
Dragonite DB+TP/SP,226,40,0
Dragonite (Shadow) DB+TP/SP,351,10,0
Drampa DB+Sw/Fl,776,13,104
Dudunsparce RO+BS/RS,837,2,127
Empoleon MSo+HC/FC,813,37,118
Empoleon (Shadow) MSo+HC/DrlP,946,5,168
Enamorus (Incarnate) FW+Fl/DG,315,8,0
Enamorus (Therian) FW+Fl/M,251,8,0
Espeon Cf+PsF/SB,402,40,0
Exeggutor Cf+SeB/P,219,21,0
Exeggutor (Shadow) Cf+SeB/P,268,16,0
Feraligatr SC+HC/IB,768,2,101
Feraligatr (Shadow) SC+HC/IB,747,2,93
Florges FW+CW/M,226,8,0
Gallade PC+LB/CC,337,24,0
Gallade (Shadow) PC+LB/CC,383,24,0
Gardevoir Ch+TAx/SB,555,0,21
Gardevoir (Shadow) Ch+TAx/SB,376,40,0
Giratina (Altered) SC+DC/SS,215,32,0
Glaceon IS+Av/WP,920,21,158
Glalie (Mega) PS+Av/SB,784,13,107
Gliscor WA+NS/Eq,571,5,27
Gliscor (Shadow) FC+NS/Acr,457,16,0
Golisopod FC+XS/AJ,475,39,0
Goodra DB+AT/TP,408,10,0
Grimmsnarl SkP+FoP/PR,529,2,11
Gyarados DB+AT/Tw,360,29,0
Gyarados (Shadow) DB+AT/Tw,402,5,0
Ho-Oh I+BrB/SF,296,16,0
Ho-Oh (Shadow) I+BrB/SF,364,16,0
Hoopa A+SB/P,296,32,0
Hoopa (Unbound) Cf+DP/SB,334,21,0
Jirachi Cf+DD/AuS,435,5,0
Kangaskhan LK+Cr/St,795,2,111
Kangaskhan (Mega) LK+BkB/O,638,2,52
Keldeo (Ordinary) LK+AJ/SSw,500,18,0
Keldeo (Resolute) LK+AJ/SeS,478,2,0
Kingdra DB+Sw/S,757,2,97
Kingdra (Shadow) DB+Sw/S,739,2,90
Kyogre W+Av/T,266,37,0
Kyogre (Shadow) W+Av/T,320,37,0
Kyurem DB+G/DC,638,2,52
Landorus (Incarnate) MS+RS/EP,643,5,54
Landorus (Incarnate) (Shadow) MS+EP/O,614,24,43
Landorus (Therian) MS+SSt/SE,526,0,10
Lapras IS+S/IB,851,2,132
Lapras (Shadow) Psy+SpA/IB,675,2,66
Latias DB+AuS/MsB,151,21,0
Latias (Shadow) DB+AuS/MsB,209,16,0
Latios DB+AuS/LrP,165,21,0
Latios (Shadow) DB+AuS/LrP,206,21,0
Lickilicky RO+BS/SB,803,2,114
Lopunny (Mega) LK+TP/SB,632,29,50
Lugia DT+Fl/A,271,0,0
Lugia (Shadow) DT+Fl/A,314,0,0
Malamar (Mega) Psy+FoP/SP,494,0,0
Mamoswine PS+ISp/HH,819,8,120
Mamoswine (Shadow) PS+HH/ISp,933,5,163
Mawile (Mega) FW+Y/IH,885,2,145
Medicham (Mega) PC+DyP/IP,640,5,53
Mesprit Cf+Sw/FS,273,32,0
Mew SC+Psh/WC,407,0,0
Mewtwo PC+Pst/SB,52,40,0
Mewtwo (Armored) Cf+Pst/DyP,213,40,0
Mewtwo (Shadow) PC+Pst/SB,65,40,0
Milotic DT+AT/Wr,563,7,24
Milotic (Shadow) DT+AT/Wr,702,10,76
Miltank RO+BS/Tb,744,2,92
Moltres FS+Fl/Ov,526,5,10
Moltres (Shadow) WA+Fl/HW,465,0,0
Mr. Rime Cf+IP/TAx,678,2,67
Musharna CB+Psh/DG,391,21,0
Necrozma SC+DP/O,531,24,12
Necrozma (Dawn Wings) SC+MoG/DP,222,24,0
Necrozma (Dusk Mane) SC+Stl/DP,561,8,23
Noivern G+Hu/HW,342,2,0
Obstagoon C+NS/Ob,933,5,163
Obstagoon (Shadow) C+NS/CrC,920,5,158
Oinkologne MSl+BS/TBl,731,37,87
Oinkologne (Female) MSl+BS/TBl,723,2,84
Omastar MS+RS/RB,829,29,124
Omastar (Shadow) MS+RS/RB,960,5,173
Oranguru Cf+BrS/TBl,587,5,33
Palkia DB+AT/DM,280,29,0
Palkia (Shadow) DB+AT/DM,339,29,0
Pidgeot (Mega) WA+BrB/Tw,295,13,0
Pinsir (Mega) FC+XS/CC,489,8,0
Poliwrath MS+DyP/Sc,590,10,34
Poliwrath (Shadow) MS+DyP/Sc,712,2,80
Porygon-Z LO+TA/Bl,941,5,166
Porygon-Z (Shadow) LO+TA/Bl,726,5,85
Porygon2 LO+TA/ZC,819,29,120
Porygon2 (Shadow) LO+TA/ZC,973,5,178
Primarina Ch+DV/HC,218,37,0
Pyroar I+FmC/DP,936,5,164
Quaquaval LK+CC/AJ,627,2,48
Rayquaza DT+BkS/DrA,185,0,0
Regice LO+T/Eq,688,2,71
Regice (Shadow) LO+Bl/T,638,2,52
Regigigas HPI+CrG/T,904,2,152
Regigigas (Shadow) HPR+CrG/T,888,37,146
Relicanth WG+AT/AP,837,2,127
Reuniclus Ch+Psh/SB,332,40,0
Reuniclus (Shadow) Ch+Psh/SB,339,16,0
Salamence DT+BrS/Fl,195,8,0
Salamence (Shadow) DT+BrS/Fl,224,0,0
Samurott FC+HC/Mh,784,2,107
Samurott (Hisuian) FC+SSw/DP,819,13,120
Samurott (Shadow) FC+HC/Mh,760,2,98
Sceptile (Mega) FC+LB/DC,378,37,0
Seismitoad MS+EP/IW,744,2,92
Sharpedo (Mega) W+Cr/PF,936,5,164
Shaymin (Land) ZH+GK/SFl,450,34,0
Shaymin (Sky) ML+EB/GK,171,13,0
Slaking Y+BS/Eq,819,2,120
Slaking (Shadow) Y+BS/Eq,787,2,108
Slowbro Cf+S/DrP,368,29,0
Slowbro (Mega) Cf+S/DrP,208,18,0
Slowbro (Shadow) Cf+S/DrP,376,13,0
Slowking Cf+S/Sc,368,29,0
Slowking (Galarian) Ac+Psh/SB,479,0,0
Slowking (Shadow) Cf+S/P,219,21,0
Snorlax L+BS/SP,784,2,107
Snorlax (Shadow) L+BS/SP,712,2,80
Solgaleo FS+PsF/IH,418,5,0
Stoutland SdA+WC/Cr,606,37,40
Suicune IF+Sc/IB,734,7,88
