Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lugia DT+Fl/A,261,14,0
Kyogre W+Av/T,239,17,0
Mewtwo (Shadow) PC+Pst/SB,320,35,0
Lugia (Shadow) DT+Fl/A,169,39,0
Palkia DB+AT/DM,356,13,0
Mewtwo PC+Pst/SB,289,39,0
Palkia (Shadow) DB+AT/DM,459,13,0
Necrozma (Dusk Mane) SC+Stl/DP,211,27,0
Solgaleo FS+PsF/IH,339,18,0
Kyogre (Shadow) W+Av/T,317,17,0
Blastoise (Mega) RO+HC/IB,402,4,0
Kyurem DB+G/DC,424,45,0
Giratina (Altered) SC+DC/SS,344,4,0
Slowbro (Mega) Cf+S/DrP,219,8,0
Alakazam (Mega) PC+FiP/SB,366,31,0
Giratina (Altered) (Shadow) DB+DC/SS,352,45,0
Jirachi Cf+DD/AuS,358,6,0
Latios (Shadow) DB+AuS/LrP,69,48,0
Zacian (Hero) QA+WC/PR,289,47,0
Florges FW+CW/M,482,22,0
Aerodactyl (Mega) DB+RS/EP,372,19,0
Latios DB+AuS/LrP,354,9,0
Tapu Lele A+NM/Psh,577,2,38
Necrozma (Dawn Wings) SC+MoG/DP,261,27,0
Latias DB+AuS/MsB,348,29,0
Latias (Shadow) DB+AuS/MsB,357,5,0
Goodra DB+AT/TP,325,29,0
Dragonite (Shadow) DB+TP/SP,95,48,0
Sylveon FW+M/SB,453,14,0
Ho-Oh I+BrB/SF,322,35,0
Mew SC+Psh/WC,263,47,0
Zapdos TS+DrlP/HW,336,31,0
Zapdos (Shadow) TS+DrlP/HW,370,31,0
Togekiss Pk+DG/AuS,283,39,0
Gyarados DB+AT/Tw,355,45,0
Malamar (Mega) Psy+FoP/SP,216,39,0
Salamence (Shadow) DT+BrS/Fl,489,21,0
Avalugg (Hisuian) PS+RS/IW,646,2,72
Gyarados (Shadow) DB+AT/Tw,358,29,0
Baxcalibur DB+GlR/Av,424,29,0
Xurkitree TS+D/DG,394,27,0
Abomasnow (Mega) PS+IW/EB,368,45,0
Thundurus (Therian) VS+WbS/FB,105,48,0
Sceptile (Mega) FC+LB/DC,114,48,0
Dragonite DB+TP/SP,348,17,0
Rayquaza DT+BkS/DrA,500,17,0
Ho-Oh (Shadow) I+BrB/SF,333,11,0
Mewtwo (Armored) Cf+Pst/DyP,317,22,0
Golisopod FC+XS/AJ,314,45,0
Salamence DT+BrS/Fl,456,33,0
Volcanion I+Sc/EP,482,6,0
Primarina Ch+DV/HC,567,30,33
Pinsir (Mega) FC+XS/CC,271,7,0
Landorus (Therian) MS+SSt/SE,451,27,0
Enamorus (Therian) FW+Fl/M,322,39,0
Milotic DT+AT/Wr,409,36,0
Victini Cf+VC/Psh,618,2,58
Avalugg IF+Av/BS,665,1,81
Tapu Koko VS+Tb/NM,363,15,0
Snorlax (Shadow) L+BS/SP,434,10,0
Milotic (Shadow) DT+AT/Wr,360,45,0
Cetitan PS+Av/ISp,761,18,128
Pidgeot (Mega) WA+BrB/Tw,312,7,0
Ursaluna Tk+Sw/HH,659,2,78
Dondozo W+S/O,437,34,0
Empoleon (Shadow) MSo+HC/DrlP,432,14,0
Aurorus (Shadow) PS+WBI/MeB,412,19,0
Snorlax L+BS/SP,385,10,0
Cresselia PC+GK/M,268,6,0
Diancie (Mega) RTh+RS/M,484,27,0
Thundurus (Incarnate) (Shadow) TS+TP/Cr,408,19,0
Grimmsnarl SkP+FoP/PR,595,2,47
Keldeo (Resolute) LK+AJ/SeS,356,17,0
Necrozma SC+DP/O,464,14,0
Ursaluna (Shadow) Tk+Sw/HH,393,35,0
Regice (Shadow) LO+Bl/T,430,6,0
Articuno PS+TAx/AP,473,46,0
Cresselia (Shadow) PC+GK/M,363,6,0
Articuno (Shadow) PS+TAx/AP,724,2,110
Empoleon MSo+HC/FC,393,22,0
Urshifu (Rapid Strike) W+DyP/AJ,343,17,0
Kangaskhan (Mega) LK+BkB/O,245,39,0
Keldeo (Ordinary) LK+AJ/SSw,367,21,0
Altaria (Mega) DB+Ft/M,396,22,0
Feraligatr (Shadow) SC+HC/IB,559,0,29
Lopunny (Mega) LK+TP/SB,409,39,0
Mamoswine PS+ISp/HH,636,2,67
Thundurus (Incarnate) TS+Cr/T,338,7,0
Mamoswine (Shadow) PS+HH/ISp,942,11,217
Feraligatr SC+HC/IB,628,0,63
Tapu Fini WG+NM/S,420,46,0
Tapu Bulu BS+GK/NM,232,27,0
Samurott FC+HC/Mh,628,0,63
Samurott (Shadow) FC+HC/Mh,422,45,0
Enamorus (Incarnate) FW+Fl/DG,429,39,0
Swampert MS+HC/Eq,630,2,64
Armarouge I+Psh/HW,421,39,0
Glalie (Mega) PS+Av/SB,675,2,86
Hoopa (Unbound) Cf+DP/SB,273,35,0
Tornadus (Therian) A+BwS/Hu,506,2,3
Banette (Mega) SC+SB/T,425,19,0
Celebi Cf+SeB/LfS,216,5,0
Regigigas HPI+CrG/T,424,6,0
Skarmory (Mega) AS+SA/BrB,328,39,0
Zapdos (Galarian) LK+Fl/BrB,319,7,0
Walrein (Shadow) PS+ISp/WP,673,12,85
Landorus (Incarnate) MS+RS/EP,470,39,0
Articuno (Galarian) PC+AP/BrB,284,39,0
Barbaracle FC+SE/CrC,337,47,0
Regice LO+T/Eq,383,6,0
Suicune IF+Sc/IB,665,1,81
Walrein PS+ISp/WP,714,2,105
Vaporeon WG+AT/LR,624,26,61
Hoopa A+SB/P,347,39,0
Hoopa (Confined) A+SB/P,347,39,0
Swampert (Shadow) MS+HC/Sl,591,2,45
Samurott (Hisuian) FC+SSw/DP,260,29,0
Gallade (Shadow) PC+LB/CC,107,44,0
Aurorus PS+WBI/Tb,681,2,89
Moltres (Shadow) WA+Fl/HW,593,27,46
Gallade PC+LB/CC,376,23,0
Slowking (Galarian) Ac+Psh/SB,655,2,76
Lapras (Shadow) Psy+SpA/IB,608,2,53
Regigigas (Shadow) HPR+CrG/T,340,39,0
Ursaring (Shadow) SC+Sw/CC,129,48,0
Suicune (Shadow) IF+Sc/IB,759,2,127
Moltres FS+Fl/Ov,443,27,0
Kingdra (Shadow) DB+Sw/S,753,9,124
Dudunsparce RO+BS/RS,312,43,0
Sharpedo (Mega) W+Cr/PF,604,0,51
Kingdra DB+Sw/S,624,37,61
Drampa DB+Sw/Fl,714,21,105
Celesteela AS+BS/Bd,567,50,33
Delphox FS+Psh/BB,463,47,0
Ursaring SC+Sw/CC,397,39,0
Delphox (Shadow) FS+Psh/BB,472,11,0
Espeon Cf+PsF/SB,379,39,0
Beartic PS+IP/Li,781,2,138
Bewear SC+SP/Pbk,417,39,0
Gardevoir Ch+TAx/SB,542,2,21
Diancie RTh+RS/M,440,35,0
Mesprit Cf+Sw/FS,526,14,13
Shaymin (Sky) ML+EB/GK,286,5,0
Lickilicky RO+BS/SB,606,14,52
Quaquaval LK+CC/AJ,134,48,0
Alakazam (Shadow) PC+FiP/SB,485,39,0
Gardevoir (Shadow) Ch+TAx/SB,389,39,0
Gliscor (Shadow) FC+NS/Acr,622,27,60
Blastoise RO+HC/IB,642,2,70
Oranguru Cf+BrS/TBl,600,18,49
Corviknight SdA+AC/IH,612,42,55
Tauros (Aqua) DK+AJ/TBl,532,2,16
Cryogonal IS+NS/TAx,751,22,123
Weavile Sn+Av/FB,289,27,0
