Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+IW/EB,446,32,0
Aerodactyl DB+RS/EP,805,12,110
Aerodactyl (Mega) DB+RS/EP,459,16,0
Aerodactyl (Shadow) DB+RS/EP,736,0,85
Alakazam PC+FiP/SB,819,0,115
Alakazam (Mega) PC+FiP/SB,619,0,43
Alakazam (Shadow) PC+FiP/SB,647,0,53
Altaria (Mega) DB+Ft/M,644,0,52
Arboliva ML+EB/SeB,655,0,56
Archeops WA+AP/Cr,744,0,88
Archeops (Shadow) WA+AP/Cr,702,0,73
Armarouge I+Psh/HW,452,16,0
Articuno PS+TAx/AP,519,0,7
Articuno (Galarian) PC+AP/BrB,947,100,161
Articuno (Shadow) PS+TAx/AP,287,60,0
Audino (Mega) Pd+DV/HB,763,40,95
Aurorus PS+WBI/Tb,608,0,39
Aurorus (Shadow) PS+WBI/MeB,652,4,55
Avalugg IF+Av/BS,588,32,32
Avalugg (Hisuian) PS+RS/IW,588,0,32
Azelf Cf+Sw/FS,916,0,150
Banette (Mega) SC+SB/T,702,0,73
Barbaracle FC+SE/CrC,287,40,0
Baxcalibur DB+GlR/Av,719,8,79
Beartic PS+IP/Li,650,0,54
Bewear SC+SP/Pbk,616,8,42
Bewear (Shadow) LK+SP/St,638,92,50
Blastoise RO+HC/IB,713,36,77
Blastoise (Mega) RO+HC/IB,572,40,26
Blastoise (Shadow) RO+HC/IB,677,16,64
Blissey Pd+WC/DG,844,8,124
Bouffalant MS+St/Mh,244,44,0
Braviary AS+BrB/CC,752,8,91
Braviary (Hisuian) AS+BrB/Fl,800,4,108
Carracosta RTh+AP/BS,744,0,88
Carracosta (Shadow) RTh+AP/BS,686,4,67
Celebi Cf+SeB/LfS,797,0,107
Celesteela SD+BS/Bd,627,8,46
Cetitan PS+Av/ISp,572,40,26
Charizard DB+BB/DC,794,20,106
Charizard (Shadow) DB+BB/DC,736,0,85
Corviknight SdA+AC/IH,761,4,94
Corviknight (Shadow) SdA+AC/IH,627,0,46
Crabominable B+IP/BkB,688,0,68
Cresselia PC+GK/M,702,32,73
Cresselia (Shadow) PC+GK/M,669,0,61
Crobat AS+CP/AC,800,0,108
Crobat (Shadow) AS+CP/AC,794,100,106
Cryogonal IS+NS/TAx,675,0,63
Darmanitan (Galarian) IF+Av/SP,638,8,50
Delphox FS+Psh/BB,655,28,56
Delphox (Shadow) FS+Psh/BB,688,0,68
Deoxys (Defense) C+RS/PB,761,0,94
Deoxys (Speed) CB+Sw/PB,780,0,101
Diancie RTh+RS/M,600,8,36
Diancie (Mega) RTh+RS/M,552,0,19
Dondozo W+S/O,502,40,1
Dragonite DB+TP/SP,452,32,0
Dragonite (Shadow) DB+TP/SP,412,40,0
Drampa DB+Sw/Fl,619,0,43
Dudunsparce RO+BS/RS,680,0,65
Empoleon MSo+HC/FC,616,36,42
Empoleon (Shadow) MSo+HC/DrlP,586,0,31
Enamorus (Incarnate) FW+Fl/DG,282,40,0
Enamorus (Therian) FW+Fl/M,420,16,0
Espeon Cf+PsF/SB,894,0,142
Exeggutor Cf+SeB/P,758,44,93
Exeggutor (Shadow) Cf+SeB/P,916,0,150
Feraligatr SC+HC/IB,622,36,44
Feraligatr (Shadow) SC+HC/IB,786,0,103
Florges FW+CW/M,306,16,0
Gallade PC+LB/CC,813,96,113
Gallade (Shadow) PC+LB/CC,788,0,104
Gardevoir Ch+TAx/SB,376,0,0
Gardevoir (Shadow) Ch+TAx/SB,175,24,0
