Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lugia DT+Fl/A,546,3,20
Kyogre W+Av/T,144,49,0
Mewtwo (Shadow) PC+Pst/SB,317,5,0
Lugia (Shadow) DT+Fl/A,347,34,0
Palkia DB+AT/DM,248,57,0
Mewtwo PC+Pst/SB,278,5,0
Palkia (Shadow) DB+AT/DM,289,57,0
Necrozma (Dusk Mane) SC+Stl/DP,216,42,0
Solgaleo FS+PsF/IH,123,2,0
Kyogre (Shadow) W+Av/T,122,33,0
Blastoise (Mega) RO+HC/IB,182,5,0
Kyurem DB+G/DC,238,26,0
Giratina (Altered) SC+DC/SS,532,3,14
Slowbro (Mega) Cf+S/DrP,134,29,0
Alakazam (Mega) PC+FiP/SB,318,2,0
Giratina (Altered) (Shadow) DB+DC/SS,382,42,0
Jirachi Cf+DD/AuS,184,34,0
Latios (Shadow) DB+AuS/LrP,646,48,63
Zacian (Hero) QA+WC/PR,702,3,87
Florges FW+CW/M,258,50,0
Aerodactyl (Mega) DB+RS/EP,450,26,0
Latios DB+AuS/LrP,398,5,0
Tapu Lele A+NM/Psh,350,34,0
Necrozma (Dawn Wings) SC+MoG/DP,322,42,0
Latias DB+AuS/MsB,375,40,0
Latias (Shadow) DB+AuS/MsB,468,53,0
Goodra DB+AT/TP,370,26,0
Dragonite (Shadow) DB+TP/SP,767,88,115
Sylveon FW+M/SB,329,58,0
Ho-Oh I+BrB/SF,187,2,0
Mew SC+Psh/WC,537,3,16
Zapdos TS+DrlP/HW,672,100,74
Zapdos (Shadow) TS+DrlP/HW,897,100,171
Togekiss Pk+DG/AuS,429,100,0
Gyarados DB+AT/Tw,257,2,0
Malamar (Mega) Psy+FoP/SP,255,5,0
Salamence (Shadow) DT+BrS/Fl,774,80,118
Avalugg (Hisuian) PS+RS/IW,175,50,0
Gyarados (Shadow) DB+AT/Tw,293,2,0
Baxcalibur DB+GlR/Av,295,26,0
Xurkitree TS+D/DG,569,100,30
Abomasnow (Mega) PS+IW/EB,236,26,0
Thundurus (Therian) VS+WbS/FB,830,73,142
Sceptile (Mega) FC+LB/DC,788,80,124
Dragonite DB+TP/SP,720,100,95
Rayquaza DT+BkS/DrA,769,96,116
Ho-Oh (Shadow) I+BrB/SF,190,41,0
Mewtwo (Armored) Cf+Pst/DyP,265,50,0
Golisopod FC+XS/AJ,189,10,0
Salamence DT+BrS/Fl,786,88,123
Volcanion I+Sc/EP,125,57,0
Primarina Ch+DV/HC,250,58,0
Pinsir (Mega) FC+XS/CC,432,53,0
Landorus (Therian) MS+SSt/SE,867,100,158
Enamorus (Therian) FW+Fl/M,786,100,123
Milotic DT+AT/Wr,201,42,0
Victini Cf+VC/Psh,184,34,0
Avalugg IF+Av/BS,211,50,0
Tapu Koko VS+Tb/NM,452,50,0
Snorlax (Shadow) L+BS/SP,266,42,0
Milotic (Shadow) DT+AT/Wr,180,26,0
Cetitan PS+Av/ISp,180,34,0
Pidgeot (Mega) WA+BrB/Tw,734,100,101
Ursaluna Tk+Sw/HH,408,34,0
Dondozo W+S/O,135,34,0
Empoleon (Shadow) MSo+HC/DrlP,132,10,0
Aurorus (Shadow) PS+WBI/MeB,221,26,0
Snorlax L+BS/SP,392,37,0
Cresselia PC+GK/M,389,19,0
Diancie (Mega) RTh+RS/M,283,2,0
Thundurus (Incarnate) (Shadow) TS+TP/Cr,918,100,180
Grimmsnarl SkP+FoP/PR,376,34,0
