Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+IW/EB,301,16,0
Aerodactyl DB+RS/EP,923,0,182
Aerodactyl (Mega) DB+RS/EP,590,24,39
Aerodactyl (Shadow) DB+RS/EP,897,0,171
Alakazam PC+FiP/SB,644,24,62
Alakazam (Mega) PC+FiP/SB,509,4,4
Alakazam (Shadow) PC+FiP/SB,606,0,46
Altaria (Mega) DB+Ft/M,530,24,13
Arboliva ML+EB/SeB,823,8,139
Archeops WA+AP/Cr,906,0,175
Archeops (Shadow) WA+AP/Cr,895,0,170
Armarouge I+Psh/HW,205,16,0
Articuno PS+TAx/AP,454,8,0
Articuno (Galarian) PC+AP/BrB,500,24,0
Articuno (Shadow) PS+TAx/AP,625,0,54
Audino (Mega) Pd+DV/HB,732,12,100
Aurorus PS+WBI/Tb,586,28,37
Aurorus (Shadow) PS+WBI/MeB,704,4,88
Avalugg IF+Av/BS,435,4,0
Avalugg (Hisuian) PS+RS/IW,458,36,0
Azelf Cf+Sw/FS,637,4,59
Banette (Mega) SC+SB/T,439,8,0
Barbaracle FC+SE/CrC,713,4,92
Baxcalibur DB+GlR/Av,363,40,0
Beartic PS+IP/Li,445,20,0
Bewear SC+SP/Pbk,354,32,0
Bewear (Shadow) LK+SP/DrP,108,40,0
Blastoise RO+HC/IB,402,28,0
Blastoise (Mega) RO+HC/IB,335,4,0
Blastoise (Shadow) RO+HC/IB,488,28,0
Blissey Pd+WC/DG,723,0,96
Bouffalant MS+St/Mh,711,0,91
Braviary AS+BrB/CC,897,8,171
Braviary (Hisuian) AS+BrB/Fl,930,0,185
Carracosta RTh+AP/BS,746,4,106
Carracosta (Shadow) RTh+AP/BS,706,4,89
Celebi Cf+SeB/LfS,410,16,0
Celesteela SD+BS/Bd,720,8,95
Cetitan PS+Av/ISp,343,20,0
Charizard DB+BB/DC,354,8,0
Charizard (Shadow) DB+BB/DC,416,8,0
Corviknight SdA+AC/IH,676,0,76
Crabominable B+IP/BkB,551,28,22
Cresselia PC+GK/M,348,8,0
Cresselia (Shadow) PC+GK/M,292,56,0
Crobat AS+CP/AC,906,8,175
Crobat (Shadow) AS+CP/AC,923,0,182
Cryogonal IS+NS/TAx,551,4,22
Darmanitan (Galarian) IF+Av/SP,254,8,0
Delphox FS+Psh/BB,219,16,0
Delphox (Shadow) FS+Psh/BB,268,16,0
Deoxys (Defense) C+RS/PB,634,8,58
Deoxys (Speed) CB+Sw/PB,848,4,150
Diancie RTh+RS/M,851,4,151
Diancie (Mega) RTh+RS/M,739,4,103
Dondozo W+S/O,266,20,0
Dragonite DB+TP/SP,872,0,160
Dragonite (Shadow) DB+TP/SP,239,40,0
Drampa DB+Sw/Fl,753,0,109
Dudunsparce RO+BS/RS,660,0,69
Empoleon MSo+HC/FC,527,4,12
Empoleon (Shadow) MSo+HC/DrlP,42,40,0
Enamorus (Incarnate) FW+Fl/DG,662,0,70
Enamorus (Therian) FW+Fl/M,676,8,76
Espeon Cf+PsF/SB,534,4,15
