Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lugia DT+Fl/A,397,35,0
Kyogre W+Av/T,684,3,71
Mewtwo (Shadow) PC+Pst/SB,145,49,0
Lugia (Shadow) DT+Fl/A,457,35,0
Palkia DB+AT/DM,213,58,0
Mewtwo PC+Pst/SB,117,49,0
Palkia (Shadow) DB+AT/DM,187,31,0
Necrozma (Dusk Mane) SC+Stl/DP,622,8,47
Solgaleo FS+PsF/IH,493,17,0
Kyogre (Shadow) W+Av/T,622,8,47
Blastoise (Mega) RO+HC/IB,552,3,20
Kyurem DB+G/DC,181,58,0
Giratina (Altered) SC+DC/SS,448,8,0
Slowbro (Mega) Cf+S/DrP,523,53,9
Alakazam (Mega) PC+FiP/SB,151,40,0
Giratina (Altered) (Shadow) DB+DC/SS,736,8,91
Jirachi Cf+DD/AuS,825,8,125
Latios (Shadow) DB+AuS/LrP,507,8,3
Zacian (Hero) QA+WC/PR,515,76,6
Florges FW+CW/M,425,35,0
Aerodactyl (Mega) DB+RS/EP,212,58,0
Latios DB+AuS/LrP,536,8,14
Tapu Lele A+NM/Psh,559,8,23
Necrozma (Dawn Wings) SC+MoG/DP,559,8,23
Latias DB+AuS/MsB,619,8,46
Latias (Shadow) DB+AuS/MsB,533,8,13
Goodra DB+AT/TP,448,26,0
Dragonite (Shadow) DB+TP/SP,226,58,0
Sylveon FW+M/SB,476,8,0
Ho-Oh I+BrB/SF,671,8,66
Mew SC+Psh/WC,505,8,2
Zapdos TS+DrlP/HW,591,8,35
Zapdos (Shadow) TS+DrlP/HW,518,8,7
Togekiss Pk+DG/AuS,671,8,66
Gyarados DB+AT/Tw,638,8,53
Malamar (Mega) Psy+FoP/SP,375,35,0
Salamence (Shadow) DT+BrS/Fl,188,31,0
Avalugg (Hisuian) PS+RS/IW,384,44,0
Gyarados (Shadow) DB+AT/Tw,528,8,11
Baxcalibur DB+GlR/Av,190,49,0
Xurkitree TS+D/DG,252,49,0
Abomasnow (Mega) PS+IW/EB,438,8,0
Thundurus (Therian) VS+WbS/FB,669,8,65
Sceptile (Mega) FC+LB/DC,175,31,0
Dragonite DB+TP/SP,572,8,28
Rayquaza DT+BkS/DrA,494,8,0
Ho-Oh (Shadow) I+BrB/SF,619,8,46
Mewtwo (Armored) Cf+Pst/DyP,651,3,58
Golisopod FC+XS/AJ,155,40,0
Salamence DT+BrS/Fl,201,49,0
Volcanion I+Sc/EP,658,3,61
Primarina Ch+DV/HC,684,8,71
Pinsir (Mega) FC+XS/CC,171,40,0
Landorus (Therian) MS+SSt/SE,497,26,0
Enamorus (Therian) FW+Fl/M,562,8,24
Milotic DT+AT/Wr,674,3,67
Victini Cf+VC/Psh,825,8,125
Avalugg IF+Av/BS,420,17,0
Tapu Koko VS+Tb/NM,716,8,83
Snorlax (Shadow) L+BS/SP,181,62,0
Milotic (Shadow) DT+AT/Wr,622,8,47
Cetitan PS+Av/ISp,500,26,0
Pidgeot (Mega) WA+BrB/Tw,554,3,21
Ursaluna Tk+Sw/HH,316,35,0
Dondozo W+S/O,763,12,101
Empoleon (Shadow) MSo+HC/DrlP,528,8,11
Aurorus (Shadow) PS+WBI/MeB,617,8,45
Snorlax L+BS/SP,416,43,0
Cresselia PC+GK/M,752,3,97
Diancie (Mega) RTh+RS/M,526,8,10
Thundurus (Incarnate) (Shadow) TS+TP/Cr,238,40,0
Grimmsnarl SkP+FoP/PR,466,3,0
Keldeo (Resolute) LK+AJ/SeS,614,8,44
Necrozma SC+DP/O,653,8,59
Ursaluna (Shadow) Tk+Sw/HH,318,8,0
Regice (Shadow) LO+Bl/T,510,44,4
Articuno PS+TAx/AP,625,3,48
Cresselia (Shadow) PC+GK/M,692,35,74
Articuno (Shadow) PS+TAx/AP,549,8,19
Empoleon MSo+HC/FC,601,3,39
Urshifu (Rapid Strike) W+DyP/AJ,684,3,71
Kangaskhan (Mega) LK+BkB/O,513,52,5
Keldeo (Ordinary) LK+AJ/SSw,614,8,44
Altaria (Mega) DB+Ft/M,736,8,91
Feraligatr (Shadow) SC+HC/IB,199,40,0
Lopunny (Mega) LK+TP/SB,669,8,65
Mamoswine PS+ISp/HH,539,8,15
Thundurus (Incarnate) TS+Cr/T,250,58,0
Mamoswine (Shadow) PS+HH/ISp,211,40,0
Feraligatr SC+HC/IB,520,3,8
Tapu Fini WG+NM/S,783,3,109
Tapu Bulu BS+GK/NM,846,8,133
Samurott FC+HC/Mh,201,49,0
Samurott (Shadow) FC+HC/Mh,234,40,0
Enamorus (Incarnate) FW+Fl/DG,531,8,12
Swampert MS+HC/Eq,661,8,62
Armarouge I+Psh/HW,684,8,71
Glalie (Mega) PS+Av/SB,747,8,95
Hoopa (Unbound) Cf+DP/SB,480,35,0
Tornadus (Therian) A+BwS/Hu,580,3,31
Banette (Mega) SC+SB/T,287,58,0
Celebi Cf+SeB/LfS,825,8,125
Regigigas HPI+CrG/T,682,43,70
Skarmory (Mega) AS+SA/BrB,726,8,87
Zapdos (Galarian) LK+Fl/BrB,872,8,143
Walrein (Shadow) PS+ISp/WP,591,8,35
Landorus (Incarnate) MS+RS/EP,669,8,65
Articuno (Galarian) PC+AP/BrB,718,8,84
