Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+IW/EB,419,5,0
Aerodactyl DB+RS/EP,605,38,41
Aerodactyl (Mega) DB+RS/EP,386,26,0
Aerodactyl (Shadow) DB+RS/EP,850,2,136
Alakazam PC+FiP/SB,595,6,37
Alakazam (Mega) PC+FiP/SB,192,39,0
Alakazam (Shadow) PC+FiP/SB,546,4,18
Altaria (Mega) DB+Ft/M,298,30,0
Arboliva ML+EB/SeB,336,4,0
Archeops WA+AP/Cr,835,2,130
Archeops (Shadow) WA+AP/Cr,811,2,121
Armarouge I+Psh/HW,649,3,58
Articuno PS+TAx/AP,631,7,51
Articuno (Galarian) PC+AP/BrB,309,16,0
Articuno (Shadow) PS+TAx/AP,713,5,83
Audino (Mega) Pd+DV/HB,835,8,130
Aurorus PS+WBI/Tb,783,3,110
Aurorus (Shadow) PS+WBI/MeB,734,3,91
Avalugg IF+Av/BS,641,9,55
Avalugg (Hisuian) PS+RS/IW,664,15,64
Azelf Cf+Sw/FS,615,6,45
Banette (Mega) SC+SB/T,452,26,0
Barbaracle FC+SE/CrC,564,3,25
Baxcalibur DB+GlR/Av,446,16,0
Beartic PS+IP/Li,755,3,99
Bewear SC+SP/Pbk,639,3,54
Bewear (Shadow) LK+SP/St,525,3,10
Blastoise RO+HC/IB,770,5,105
Blastoise (Mega) RO+HC/IB,528,7,11
Blastoise (Shadow) RO+HC/IB,726,5,88
Blissey Pd+WC/DG,804,12,118
Bouffalant MS+St/Mh,561,5,24
Braviary AS+BrB/CC,765,3,103
Braviary (Hisuian) AS+BrB/Fl,577,3,30
Carracosta RTh+AP/BS,646,3,57
Carracosta (Shadow) RTh+AP/BS,590,3,35
Celebi Cf+SeB/LfS,305,28,0
Celesteela SD+BS/Bd,590,4,35
Cetitan PS+Av/ISp,577,4,30
Charizard DB+BB/DC,610,3,43
Charizard (Shadow) DB+BB/DC,850,2,136
Corviknight SdA+AC/IH,536,4,14
Crabominable B+IP/BkB,561,5,24
Cresselia PC+GK/M,359,7,0
Cresselia (Shadow) PC+GK/M,445,7,0
Crobat AS+CP/AC,703,3,79
Crobat (Shadow) AS+CP/AC,608,30,42
Cryogonal IS+NS/TAx,778,5,108
Darmanitan (Galarian) IF+Av/SP,811,6,121
Delphox FS+Psh/BB,657,3,61
Delphox (Shadow) FS+Psh/BB,811,14,121
Deoxys (Defense) C+RS/PB,688,5,73
Deoxys (Speed) CB+Sw/PB,755,30,99
Diancie RTh+RS/M,762,3,102
Diancie (Mega) RTh+RS/M,564,3,25
Dondozo W+S/O,582,33,32
Dragonite DB+TP/SP,412,6,0
Dragonite (Shadow) DB+TP/SP,287,39,0
Drampa DB+Sw/Fl,670,6,66
Dudunsparce RO+BS/RS,634,5,52
Empoleon MSo+HC/FC,605,6,41
Empoleon (Shadow) MSo+HC/DrlP,507,7,3
Enamorus (Incarnate) FW+Fl/DG,328,40,0
Enamorus (Therian) FW+Fl/M,269,30,0
Espeon Cf+PsF/SB,561,18,24
Exeggutor Cf+SeB/P,420,28,0
Exeggutor (Shadow) Cf+SeB/P,688,6,73
Feraligatr SC+HC/IB,572,5,28
Feraligatr (Shadow) SC+HC/IB,466,40,0
Florges FW+CW/M,395,29,0
Gallade PC+LB/CC,350,26,0
Gallade (Shadow) PC+LB/CC,551,6,20
Gardevoir Ch+TAx/SB,597,5,38
Gardevoir (Shadow) Ch+TAx/SB,579,3,31
Giratina (Altered) SC+DC/SS,408,4,0
Glaceon IS+Av/WP,711,3,82
Glalie (Mega) PS+Av/SB,659,3,62
Gliscor WA+NS/Eq,742,3,94
Gliscor (Shadow) FC+NS/Acr,507,3,3
Golisopod FC+XS/AJ,378,40,0
Goodra DB+AT/TP,422,40,0
Grimmsnarl SkP+FoP/PR,456,3,0
Gyarados DB+AT/Tw,386,40,0
Gyarados (Shadow) DB+AT/Tw,412,28,0
Ho-Oh I+BrB/SF,486,3,0
Ho-Oh (Shadow) I+BrB/SF,791,3,113
Hoopa A+SB/P,401,38,0
Hoopa (Unbound) Cf+DP/SB,618,3,46
Jirachi Cf+DD/AuS,390,39,0
Kangaskhan LK+Cr/St,729,5,89
Kangaskhan (Mega) LK+BkB/O,317,30,0
Keldeo (Ordinary) LK+AJ/SSw,348,28,0
Keldeo (Resolute) LK+AJ/SeS,348,28,0
Kingdra DB+Sw/S,711,6,82
Kingdra (Shadow) DB+Sw/S,662,4,63
Kyogre W+Av/T,326,40,0
Kyogre (Shadow) W+Av/T,388,40,0
Kyurem DB+G/DC,454,18,0
Landorus (Incarnate) MS+RS/EP,675,3,68
Landorus (Incarnate) (Shadow) MS+EP/RS,649,38,58
Landorus (Therian) MS+SSt/SE,654,15,60
Lapras IS+S/IB,755,9,99
Lapras (Shadow) Psy+SpA/IB,621,7,47
Latias DB+AuS/MsB,348,16,0
Latias (Shadow) DB+AuS/MsB,444,6,0
Latios DB+AuS/LrP,427,6,0
Latios (Shadow) DB+AuS/LrP,293,39,0
Lickilicky RO+BS/SB,716,5,84
Lopunny (Mega) LK+TP/SB,533,3,13
Lugia DT+Fl/A,204,28,0
Lugia (Shadow) DT+Fl/A,242,28,0
Malamar (Mega) Psy+FoP/SP,347,40,0
Mamoswine PS+ISp/HH,734,3,91
Mamoswine (Shadow) PS+HH/ISp,711,26,82
Mawile (Mega) FW+Y/IH,804,28,118
Medicham (Mega) PC+DyP/IP,667,6,65
Mesprit Cf+Sw/FS,618,5,46
Mew SC+Psh/WC,325,30,0
Mewtwo PC+Pst/SB,346,28,0
Mewtwo (Armored) Cf+Pst/DyP,512,6,5
Mewtwo (Shadow) PC+Pst/SB,312,2,0
Milotic DT+AT/Wr,500,7,0
Milotic (Shadow) DT+AT/Wr,500,5,0
Miltank RO+BS/Tb,654,5,60
Moltres FS+Fl/Ov,590,3,35
Moltres (Shadow) WA+Fl/HW,478,26,0
Mr. Rime Cf+IP/TAx,716,3,84
Musharna CB+Psh/DG,688,5,73
Necrozma SC+DP/O,512,5,5
Necrozma (Dawn Wings) SC+MoG/DP,433,3,0
Necrozma (Dusk Mane) SC+Stl/DP,369,15,0
Noivern G+Hu/HW,765,6,103
Obstagoon C+NS/Ob,610,21,43
Obstagoon (Shadow) C+NS/CrC,623,3,48
Oinkologne MSl+BS/TBl,585,5,33
Oinkologne (Female) MSl+BS/TBl,641,5,55
Omastar MS+RS/RB,716,3,84
Omastar (Shadow) MS+RS/RB,682,3,71
Oranguru Cf+BrS/TBl,559,5,23
Palkia DB+AT/DM,429,6,0
Palkia (Shadow) DB+AT/DM,675,6,68
Pidgeot (Mega) WA+BrB/Tw,352,16,0
Pinsir (Mega) FC+XS/CC,291,4,0
Poliwrath MS+DyP/Sc,554,7,21
Poliwrath (Shadow) MS+DyP/Sc,659,5,62
Porygon-Z LO+TA/Bl,474,40,0
Porygon-Z (Shadow) LO+TA/Bl,646,6,57
Porygon2 LO+TA/ZC,337,26,0
Porygon2 (Shadow) LO+TA/ZC,435,6,0
Primarina Ch+DV/HC,270,30,0
Pyroar I+FmC/DP,680,38,70
Quaquaval LK+CC/AJ,505,5,2
Rayquaza DT+BkS/DrA,337,4,0
Regice LO+T/Eq,441,19,0
Regice (Shadow) LO+Bl/T,587,7,34
Regigigas HPI+CrG/T,811,7,121
Regigigas (Shadow) HPR+CrG/T,685,5,72
Relicanth WG+AT/AP,690,4,74
Reuniclus Ch+Psh/SB,546,5,18
Reuniclus (Shadow) Ch+Psh/SB,515,30,6
Salamence DT+BrS/Fl,556,6,22
Salamence (Shadow) DT+BrS/Fl,322,39,0
Samurott FC+HC/Mh,541,5,16
Samurott (Hisuian) FC+SSw/DP,459,40,0
Samurott (Shadow) FC+HC/Mh,623,30,48
Sceptile (Mega) FC+LB/DC,251,27,0
Seismitoad MS+EP/IW,698,3,77
Sharpedo (Mega) W+Cr/PF,811,6,121
Shaymin (Land) ZH+GK/SFl,811,7,121
Shaymin (Sky) ML+EB/GK,343,16,0
Slaking Y+BS/Eq,801,7,117
Slaking (Shadow) Y+BS/Eq,770,5,105
Slowbro Cf+S/DrP,634,7,52
Slowbro (Mega) Cf+S/DrP,417,19,0
Slowbro (Shadow) Cf+S/DrP,613,5,44
Slowking Cf+S/Sc,623,7,48
Slowking (Galarian) Ac+Psh/SB,654,5,60
Slowking (Shadow) Cf+S/P,613,5,44
Snorlax L+BS/SP,429,7,0
Snorlax (Shadow) L+BS/SP,434,27,0
Solgaleo FS+PsF/IH,331,15,0
Stoutland SdA+WC/Cr,847,3,135
Suicune IF+Sc/IB,713,9,83
Suicune (Shadow) IF+Sc/IB,822,7,125
Swampert MS+HC/Eq,603,5,40
Swampert (Shadow) MS+HC/Sl,690,3,74
Sylveon FW+M/SB,402,7,0
