Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lugia DT+Fl/A,242,44,0
Kyogre W+Av/T,380,25,0
Mewtwo (Shadow) PC+Pst/SB,117,49,0
Lugia (Shadow) DT+Fl/A,269,35,0
Palkia DB+AT/DM,321,8,0
Mewtwo PC+Pst/SB,398,17,0
Palkia (Shadow) DB+AT/DM,391,8,0
Necrozma (Dusk Mane) SC+Stl/DP,333,8,0
Solgaleo FS+PsF/IH,535,3,14
Kyogre (Shadow) W+Av/T,353,8,0
Blastoise (Mega) RO+HC/IB,341,35,0
Kyurem DB+G/DC,396,25,0
Giratina (Altered) SC+DC/SS,282,8,0
Slowbro (Mega) Cf+S/DrP,642,3,56
Alakazam (Mega) PC+FiP/SB,114,40,0
Giratina (Altered) (Shadow) DB+DC/SS,362,26,0
Jirachi Cf+DD/AuS,642,3,56
Latios (Shadow) DB+AuS/LrP,447,8,0
Zacian (Hero) QA+WC/PR,323,53,0
Florges FW+CW/M,419,12,0
Aerodactyl (Mega) DB+RS/EP,380,53,0
Latios DB+AuS/LrP,530,7,12
Tapu Lele A+NM/Psh,318,8,0
Necrozma (Dawn Wings) SC+MoG/DP,660,8,63
Latias DB+AuS/MsB,556,3,22
Latias (Shadow) DB+AuS/MsB,522,7,9
Goodra DB+AT/TP,535,43,14
Dragonite (Shadow) DB+TP/SP,573,7,29
Sylveon FW+M/SB,384,3,0
Ho-Oh I+BrB/SF,289,26,0
Mew SC+Psh/WC,368,44,0
Zapdos TS+DrlP/HW,379,26,0
Zapdos (Shadow) TS+DrlP/HW,604,16,41
Togekiss Pk+DG/AuS,418,12,0
Gyarados DB+AT/Tw,373,35,0
Malamar (Mega) Psy+FoP/SP,269,25,0
Salamence (Shadow) DT+BrS/Fl,188,58,0
Avalugg (Hisuian) PS+RS/IW,306,33,0
Gyarados (Shadow) DB+AT/Tw,476,16,0
Baxcalibur DB+GlR/Av,790,7,114
Xurkitree TS+D/DG,632,7,52
Abomasnow (Mega) PS+IW/EB,400,43,0
Thundurus (Therian) VS+WbS/FB,364,44,0
Sceptile (Mega) FC+LB/DC,178,49,0
Dragonite DB+TP/SP,599,7,39
Rayquaza DT+BkS/DrA,151,58,0
Ho-Oh (Shadow) I+BrB/SF,317,26,0
Mewtwo (Armored) Cf+Pst/DyP,579,30,31
Golisopod FC+XS/AJ,137,49,0
Salamence DT+BrS/Fl,589,7,35
Volcanion I+Sc/EP,351,35,0
Primarina Ch+DV/HC,311,44,0
Pinsir (Mega) FC+XS/CC,137,40,0
Landorus (Therian) MS+SSt/SE,345,25,0
Enamorus (Therian) FW+Fl/M,312,35,0
Milotic DT+AT/Wr,399,52,0
Victini Cf+VC/Psh,719,3,86
Avalugg IF+Av/BS,381,52,0
Tapu Koko VS+Tb/NM,353,17,0
Snorlax (Shadow) L+BS/SP,404,52,0
Milotic (Shadow) DT+AT/Wr,378,35,0
Cetitan PS+Av/ISp,351,44,0
Pidgeot (Mega) WA+BrB/Tw,173,58,0
Ursaluna Tk+Sw/HH,365,34,0
Dondozo W+S/O,594,1,37
Empoleon (Shadow) MSo+HC/DrlP,404,35,0
Aurorus (Shadow) PS+WBI/MeB,380,26,0
Snorlax L+BS/SP,337,52,0
Cresselia PC+GK/M,614,7,45
Diancie (Mega) RTh+RS/M,393,44,0
Thundurus (Incarnate) (Shadow) TS+TP/Cr,515,7,6
Grimmsnarl SkP+FoP/PR,95,48,0
Keldeo (Resolute) LK+AJ/SeS,670,16,67
Necrozma SC+DP/O,364,8,0
Ursaluna (Shadow) Tk+Sw/HH,371,44,0
Regice (Shadow) LO+Bl/T,596,3,38
Articuno PS+TAx/AP,389,43,0
Cresselia (Shadow) PC+GK/M,767,3,105
Articuno (Shadow) PS+TAx/AP,540,3,16
Empoleon MSo+HC/FC,323,35,0
Urshifu (Rapid Strike) W+DyP/AJ,566,25,26
Kangaskhan (Mega) LK+BkB/O,632,2,52
Keldeo (Ordinary) LK+AJ/SSw,670,16,67
Altaria (Mega) DB+Ft/M,356,34,0
Feraligatr (Shadow) SC+HC/IB,551,7,20
Lopunny (Mega) LK+TP/SB,244,58,0
Mamoswine PS+ISp/HH,488,25,0
Thundurus (Incarnate) TS+Cr/T,594,7,37
Mamoswine (Shadow) PS+HH/ISp,543,7,17
Feraligatr SC+HC/IB,477,25,0
Tapu Fini WG+NM/S,468,30,0
Tapu Bulu BS+GK/NM,461,3,0
Samurott FC+HC/Mh,365,8,0
Samurott (Shadow) FC+HC/Mh,188,58,0
Enamorus (Incarnate) FW+Fl/DG,383,35,0
Swampert MS+HC/Eq,533,3,13
Armarouge I+Psh/HW,457,53,0
Glalie (Mega) PS+Av/SB,177,58,0
Hoopa (Unbound) Cf+DP/SB,347,25,0
Tornadus (Therian) A+BwS/Hu,402,7,0
Banette (Mega) SC+SB/T,630,8,51
Celebi Cf+SeB/LfS,696,3,77
Regigigas HPI+CrG/T,721,2,87
Skarmory (Mega) AS+SA/BrB,691,3,75
Zapdos (Galarian) LK+Fl/BrB,535,7,14
Walrein (Shadow) PS+ISp/WP,490,25,0
Landorus (Incarnate) MS+RS/EP,413,44,0
Articuno (Galarian) PC+AP/BrB,540,3,16
Barbaracle FC+SE/CrC,387,35,0
Regice LO+T/Eq,714,1,84
Suicune IF+Sc/IB,609,2,43
Walrein PS+ISp/WP,630,3,51
Vaporeon WG+AT/LR,408,52,0
Hoopa A+SB/P,589,8,35
Hoopa (Confined) A+SB/P,589,8,35
Swampert (Shadow) MS+HC/Sl,686,16,73
Samurott (Hisuian) FC+SSw/DP,61,39,0
Gallade (Shadow) PC+LB/CC,737,7,93
Aurorus PS+WBI/Tb,563,3,25
Moltres (Shadow) WA+Fl/HW,571,7,28
Gallade PC+LB/CC,602,34,40
Slowking (Galarian) Ac+Psh/SB,533,44,13
Lapras (Shadow) Psy+SpA/IB,658,3,62
Regigigas (Shadow) HPR+CrG/T,660,3,63
Ursaring (Shadow) SC+Sw/CC,586,8,34
Suicune (Shadow) IF+Sc/IB,548,3,19
Moltres FS+Fl/Ov,395,35,0
Kingdra (Shadow) DB+Sw/S,619,7,47
Dudunsparce RO+BS/RS,627,3,50
Sharpedo (Mega) W+Cr/PF,698,7,78
Kingdra DB+Sw/S,647,7,58
Drampa DB+Sw/Fl,642,7,56
Celesteela AS+BS/Bd,517,48,7
Delphox FS+Psh/BB,454,17,0
Ursaring SC+Sw/CC,619,7,47
Delphox (Shadow) FS+Psh/BB,732,8,91
Espeon Cf+PsF/SB,734,8,92
Beartic PS+IP/Li,489,25,0
Bewear SC+SP/Pbk,732,7,91
Gardevoir Ch+TAx/SB,599,3,39
Diancie RTh+RS/M,456,21,0
Mesprit Cf+Sw/FS,614,3,45
Shaymin (Sky) ML+EB/GK,380,35,0
Lickilicky RO+BS/SB,568,3,27
Quaquaval LK+CC/AJ,737,7,93
Alakazam (Shadow) PC+FiP/SB,151,40,0
Gardevoir (Shadow) Ch+TAx/SB,568,3,27
Gliscor (Shadow) FC+NS/Acr,185,58,0
Blastoise RO+HC/IB,571,3,28
Oranguru Cf+BrS/TBl,599,3,39
Corviknight SdA+AC/IH,586,39,34
Tauros (Aqua) DK+AJ/TBl,744,7,96
Cryogonal IS+NS/TAx,658,3,62
Weavile Sn+Av/FB,439,33,0
Charizard DB+BB/DC,548,7,19
Mawile (Mega) FW+VG/IH,609,3,43
Wyrdeer Cf+WC/St,696,53,77
Corviknight (Shadow) SdA+AC/IH,681,3,71
Blastoise (Shadow) RO+HC/IB,711,16,83
Tentacruel Ac+Sc/Pbk,658,25,62
Weavile (Shadow) Sn+Av/FB,528,7,11
Darmanitan (Galarian) IF+Av/SP,698,7,78
Charizard (Shadow) DB+BB/DC,235,67,0
Tentacruel (Shadow) Ac+Sc/Pbk,844,8,135
Aerodactyl (Shadow) DB+RS/EP,596,17,38
Archeops (Shadow) WA+AP/Cr,259,58,0
Uxie Cf+Sw/T,701,3,79
Slowbro Cf+S/DrP,696,3,77
Aerodactyl DB+RS/EP,630,7,51
Lapras IS+S/IB,653,2,60
Alakazam PC+FiP/SB,543,8,17
Seismitoad MS+EP/IW,701,34,79
Obstagoon C+NS/Ob,584,4,33
Omastar MS+RS/RB,609,43,43
Archeops WA+AP/Cr,540,17,16
Poliwrath (Shadow) MS+DyP/IP,793,7,115
Omastar (Shadow) MS+RS/RB,714,7,84
Stoutland SdA+WC/Cr,637,34,54
Carracosta RTh+AP/BS,602,3,40
Porygon-Z LO+TA/Bl,670,25,67
Carracosta (Shadow) RTh+AP/BS,732,7,91
Relicanth WG+AT/AP,625,2,49
Obstagoon (Shadow) C+NS/CrC,386,42,0
Poliwrath MS+DyP/IP,841,7,134
Miltank RO+BS/Tb,701,3,79
Exeggutor (Shadow) Cf+SeB/P,813,8,123
Mr. Rime Cf+IP/TAx,678,3,70
Azelf Cf+Sw/FS,732,8,91
Exeggutor Cf+SeB/P,688,35,74
Oinkologne MSl+BS/TBl,670,3,67
Pyroar I+FmC/DP,438,8,0
Arboliva ML+EB/SeB,668,25,66
Gliscor WA+NS/Eq,579,3,31
Bouffalant MS+St/Mh,617,3,46
Reuniclus Ch+Psh/SB,647,3,58
Glaceon IS+Av/WP,551,34,20
Oinkologne (Female) MSl+BS/TBl,686,3,73
Porygon2 LO+TA/ZC,612,3,44
Vanilluxe A+Av/SiB,676,7,69
Reuniclus (Shadow) Ch+Psh/SB,744,17,96
Slowking Cf+S/Sc,678,3,70
Porygon-Z (Shadow) LO+TA/Bl,869,8,145
Slowbro (Shadow) Cf+S/IB,670,26,67
Medicham (Mega) PC+DyP/IP,801,7,118
Porygon2 (Shadow) LO+TA/ZC,760,16,102
Slowking (Shadow) Cf+S/P,670,26,67
Kangaskhan LK+Cr/St,737,3,93
Noivern AS+Hu/HW,813,7,123
Crabominable B+IP/BkB,714,7,84
Blissey Pd+WC/DG,676,14,69
Noivern (Shadow) AS+Hu/HW,790,7,114
Musharna CB+Psh/DG,742,3,95
Yanmega WA+AP/AA,678,16,70
Deoxys (Defense) C+RS/PB,772,3,107
Crobat (Shadow) AS+CP/AC,813,8,123
Braviary AS+BrB/CC,721,3,87
Braviary (Hisuian) AS+BrB/Fl,599,53,39
Crobat AS+CP/AC,755,7,100
Tornadus (Incarnate) AS+Hu/GK,767,7,105
Slaking Y+BS/Eq,653,2,60
Tornadus (Incarnate) (Shadow) AS+Hu/GK,721,17,87
Slaking (Shadow) Y+BS/Eq,785,3,112
Deoxys (Speed) CB+Sw/PB,808,8,121
Audino (Mega) Pd+DV/HB,681,25,71
Shaymin (Land) ZH+GK/SFl,875,2,147
