Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lugia DT+Fl/A,395,13,0
Kyogre W+Av/T,770,1,105
Mewtwo (Shadow) PC+Pst/SB,811,2,121
Lugia (Shadow) DT+Fl/A,347,14,0
Palkia DB+AT/DM,318,37,0
Mewtwo PC+Pst/SB,471,2,0
Palkia (Shadow) DB+AT/DM,371,37,0
Necrozma (Dusk Mane) SC+Stl/DP,397,26,0
Solgaleo FS+PsF/IH,631,3,51
Kyogre (Shadow) W+Av/T,729,1,89
Blastoise (Mega) RO+HC/IB,559,1,23
Kyurem DB+G/DC,412,2,0
Giratina (Altered) SC+DC/SS,780,1,109
Slowbro (Mega) Cf+S/DrP,621,3,47
Alakazam (Mega) PC+FiP/SB,652,2,59
Giratina (Altered) (Shadow) DB+DC/SS,610,1,43
Jirachi Cf+DD/AuS,365,26,0
Latios (Shadow) DB+AuS/LrP,579,2,31
Zacian (Hero) QA+WC/PR,291,3,0
Florges FW+CW/M,166,26,0
Aerodactyl (Mega) DB+RS/EP,389,14,0
Latios DB+AuS/LrP,672,2,67
Tapu Lele A+NM/Psh,296,14,0
Necrozma (Dawn Wings) SC+MoG/DP,788,2,112
Latias DB+AuS/MsB,719,2,85
Latias (Shadow) DB+AuS/MsB,626,2,49
Goodra DB+AT/TP,435,14,0
Dragonite (Shadow) DB+TP/SP,556,2,22
Sylveon FW+M/SB,198,26,0
Ho-Oh I+BrB/SF,822,1,125
Mew SC+Psh/WC,603,1,40
Zapdos TS+DrlP/HW,564,1,25
Zapdos (Shadow) TS+DrlP/HW,489,14,0
Togekiss Pk+DG/AuS,210,26,0
Gyarados DB+AT/Tw,365,2,0
Malamar (Mega) Psy+FoP/SP,556,1,22
Salamence (Shadow) DT+BrS/Fl,500,2,0
Avalugg (Hisuian) PS+RS/IW,172,49,0
Gyarados (Shadow) DB+AT/Tw,427,2,0
Baxcalibur DB+GlR/Av,600,14,39
Xurkitree TS+D/DG,559,2,23
Abomasnow (Mega) PS+IW/EB,322,2,0
Thundurus (Therian) VS+WbS/FB,701,14,78
Sceptile (Mega) FC+LB/DC,850,2,136
Dragonite DB+TP/SP,462,2,0
Rayquaza DT+BkS/DrA,523,14,9
Ho-Oh (Shadow) I+BrB/SF,791,1,113
Mewtwo (Armored) Cf+Pst/DyP,690,3,74
Golisopod FC+XS/AJ,675,1,68
Salamence DT+BrS/Fl,500,2,0
Volcanion I+Sc/EP,811,1,121
Primarina Ch+DV/HC,200,2,0
Pinsir (Mega) FC+XS/CC,739,1,93
Landorus (Therian) MS+SSt/SE,410,26,0
Enamorus (Therian) FW+Fl/M,208,2,0
Milotic DT+AT/Wr,621,1,47
Victini Cf+VC/Psh,703,1,79
Avalugg IF+Av/BS,131,25,0
Tapu Koko VS+Tb/NM,401,3,0
Snorlax (Shadow) L+BS/SP,750,1,97
Milotic (Shadow) DT+AT/Wr,536,1,14
Cetitan PS+Av/ISp,328,2,0
Pidgeot (Mega) WA+BrB/Tw,261,24,0
Ursaluna Tk+Sw/HH,750,1,97
Dondozo W+S/O,716,13,84
Empoleon (Shadow) MSo+HC/DrlP,572,1,28
Aurorus (Shadow) PS+WBI/MeB,219,12,0
Snorlax L+BS/SP,654,13,60
Cresselia PC+GK/M,538,3,15
Diancie (Mega) RTh+RS/M,82,25,0
Thundurus (Incarnate) (Shadow) TS+TP/Cr,835,2,130
Grimmsnarl SkP+FoP/PR,345,1,0
Keldeo (Resolute) LK+AJ/SeS,682,1,71
Necrozma SC+DP/O,780,1,109
Ursaluna (Shadow) Tk+Sw/HH,688,1,73
Regice (Shadow) LO+Bl/T,935,1,169
Articuno PS+TAx/AP,190,49,0
Cresselia (Shadow) PC+GK/M,480,1,0
Articuno (Shadow) PS+TAx/AP,357,2,0
Empoleon MSo+HC/FC,646,3,57
Urshifu (Rapid Strike) W+DyP/AJ,791,1,113
Kangaskhan (Mega) LK+BkB/O,765,1,103
Keldeo (Ordinary) LK+AJ/SSw,682,1,71
Altaria (Mega) DB+Ft/M,442,13,0
Feraligatr (Shadow) SC+HC/IB,641,14,55
Lopunny (Mega) LK+TP/SB,515,1,6
Mamoswine PS+ISp/HH,225,37,0
Thundurus (Incarnate) TS+Cr/T,610,26,43
Mamoswine (Shadow) PS+HH/ISp,220,60,0
Feraligatr SC+HC/IB,680,1,70
Tapu Fini WG+NM/S,334,27,0
Tapu Bulu BS+GK/NM,226,14,0
Samurott FC+HC/Mh,721,26,86
Samurott (Shadow) FC+HC/Mh,850,2,136
Enamorus (Incarnate) FW+Fl/DG,251,2,0
Swampert MS+HC/Eq,786,1,111
Armarouge I+Psh/HW,873,2,145
Glalie (Mega) PS+Av/SB,247,37,0
Hoopa (Unbound) Cf+DP/SB,579,26,31
Tornadus (Therian) A+BwS/Hu,729,1,89
Banette (Mega) SC+SB/T,742,2,94
Celebi Cf+SeB/LfS,703,1,79
Regigigas HPI+CrG/T,169,37,0
Skarmory (Mega) AS+SA/BrB,636,3,53
Zapdos (Galarian) LK+Fl/BrB,842,1,133
Walrein (Shadow) PS+ISp/WP,409,2,0
Landorus (Incarnate) MS+RS/EP,569,1,27
Articuno (Galarian) PC+AP/BrB,546,26,18
Barbaracle FC+SE/CrC,443,14,0
Regice LO+T/Eq,706,25,80
Suicune IF+Sc/IB,176,49,0
Walrein PS+ISp/WP,337,2,0
Vaporeon WG+AT/LR,811,1,121
Hoopa A+SB/P,734,2,91
Hoopa (Confined) A+SB/P,734,2,91
Swampert (Shadow) MS+HC/Sl,729,26,89
Samurott (Hisuian) FC+SSw/DP,775,1,107
Gallade (Shadow) PC+LB/CC,835,2,130
Aurorus PS+WBI/Tb,180,12,0
Moltres (Shadow) WA+Fl/HW,742,14,94
Gallade PC+LB/CC,827,26,127
Slowking (Galarian) Ac+Psh/SB,626,14,49
Lapras (Shadow) Psy+SpA/IB,667,1,65
Regigigas (Shadow) HPR+CrG/T,419,14,0
Ursaring (Shadow) SC+Sw/CC,811,2,121
Suicune (Shadow) IF+Sc/IB,181,37,0
Moltres FS+Fl/Ov,791,1,113
Kingdra (Shadow) DB+Sw/S,672,2,67
Dudunsparce RO+BS/RS,548,1,19
Sharpedo (Mega) W+Cr/PF,770,14,105
Kingdra DB+Sw/S,719,2,85
Drampa DB+Sw/Fl,672,2,67
Celesteela AS+BS/Bd,548,15,19
Delphox FS+Psh/BB,858,2,139
Ursaring SC+Sw/CC,652,14,59
Delphox (Shadow) FS+Psh/BB,827,2,127
Espeon Cf+PsF/SB,760,2,101
Beartic PS+IP/Li,234,37,0
Bewear SC+SP/Pbk,780,1,109
Gardevoir Ch+TAx/SB,311,14,0
Diancie RTh+RS/M,236,26,0
Mesprit Cf+Sw/FS,613,26,44
Shaymin (Sky) ML+EB/GK,873,1,145
Lickilicky RO+BS/SB,639,1,54
Quaquaval LK+CC/AJ,695,1,76
Alakazam (Shadow) PC+FiP/SB,811,2,121
