Pokemon,Battle Rating,Energy Remaining,HP Remaining
Abomasnow (Mega) PS+IW/EB,274,0,0
Aerodactyl DB+RS/EP,589,5,28
Aerodactyl (Mega) DB+RS/EP,220,40,0
Aerodactyl (Shadow) DB+RS/EP,450,0,0
Alakazam PC+FiP/SB,707,5,65
Alakazam (Mega) PC+FiP/SB,621,5,38
Alakazam (Shadow) PC+FiP/SB,662,10,51
Altaria (Mega) DB+Ft/M,301,10,0
Arboliva ML+EB/SeB,303,0,0
Archeops WA+AP/Cr,531,10,10
Archeops (Shadow) WA+AP/Cr,402,40,0
Armarouge I+Psh/HW,789,5,91
Articuno PS+TAx/AP,503,0,1
Articuno (Galarian) PC+AP/BrB,252,0,0
Articuno (Shadow) PS+TAx/AP,614,0,36
Audino (Mega) Pd+DV/HB,560,0,19
Aurorus PS+WBI/Tb,506,15,2
Aurorus (Shadow) PS+WBI/MeB,745,5,77
Avalugg IF+Av/BS,396,35,0
Avalugg (Hisuian) PS+RS/IW,538,35,12
Azelf Cf+Sw/FS,707,5,65
Banette (Mega) SC+SB/T,522,5,7
Barbaracle FC+SE/CrC,231,0,0
Baxcalibur DB+GlR/Av,65,30,0
Beartic PS+IP/Li,710,15,66
Bewear SC+SP/Pbk,110,30,0
Bewear (Shadow) LK+SP/DrP,136,30,0
Blastoise RO+HC/IB,554,5,17
Blastoise (Mega) RO+HC/IB,338,25,0
Blastoise (Shadow) RO+HC/IB,355,30,0
Blissey Pd+WC/DG,496,0,0
Bouffalant MS+St/Mh,262,0,0
Braviary AS+BrB/CC,447,5,0
Braviary (Hisuian) AS+BrB/Fl,824,5,102
Carracosta RTh+AP/BS,519,25,6
Carracosta (Shadow) RTh+AP/BS,598,5,31
Celebi Cf+SeB/LfS,395,5,0
Celesteela AS+BS/Bd,464,35,0
Cetitan PS+Av/ISp,333,30,0
Charizard DB+BB/DC,608,5,34
Charizard (Shadow) DB+BB/DC,512,5,4
Corviknight SdA+AC/IH,579,45,25
Corviknight (Shadow) SdA+AC/IH,579,25,25
Crabominable B+IP/BkB,547,30,15
Cresselia PC+GK/M,385,35,0
Cresselia (Shadow) PC+GK/M,190,0,0
Crobat AS+CP/AC,611,25,35
Crobat (Shadow) AS+CP/AC,649,5,47
Cryogonal IS+NS/TAx,707,0,65
Darmanitan (Galarian) IF+Av/SP,367,0,0
Delphox FS+Psh/BB,780,5,88
Delphox (Shadow) FS+Psh/BB,745,10,77
Deoxys (Defense) C+RS/PB,557,25,18
Deoxys (Speed) CB+Sw/PB,707,5,65
Diancie RTh+RS/M,464,20,0
Diancie (Mega) RTh+RS/M,617,5,37
Dondozo W+S/O,481,10,0
Dragonite DB+TP/SP,63,30,0
Dragonite (Shadow) DB+TP/SP,79,30,0
Drampa DB+Sw/Fl,455,15,0
Dudunsparce RO+BS/RS,375,30,0
Empoleon MSo+HC/FC,435,35,0
Empoleon (Shadow) MSo+HC/DrlP,477,25,0
Enamorus (Incarnate) FW+Fl/DG,138,30,0
Enamorus (Therian) FW+Fl/M,361,0,0
Espeon Cf+PsF/SB,843,5,108
Exeggutor Cf+SeB/P,579,5,25
Exeggutor (Shadow) Cf+SeB/P,394,0,0
Feraligatr SC+HC/IB,457,45,0
Feraligatr (Shadow) SC+HC/IB,474,25,0
Florges FW+CW/M,294,0,0
Gallade PC+LB/CC,126,30,0
Gallade (Shadow) PC+LB/CC,146,30,0
Gardevoir Ch+TAx/SB,470,5,0
Gardevoir (Shadow) Ch+TAx/SB,538,5,12
Giratina (Altered) SC+DC/SS,346,45,0
Giratina (Altered) (Shadow) DB+DC/SS,354,5,0
Glaceon IS+Av/WP,621,25,38
Glalie (Mega) PS+Av/SB,621,15,38
Gliscor WA+NS/Eq,789,15,91
Gliscor (Shadow) FC+NS/Acr,356,0,0
Golisopod FC+XS/AJ,64,30,0
Goodra DB+AT/TP,268,5,0
Grimmsnarl SkP+FoP/PR,691,20,60
Gyarados DB+AT/Tw,353,15,0
Gyarados (Shadow) DB+AT/Tw,309,20,0
Ho-Oh I+BrB/SF,390,5,0
Ho-Oh (Shadow) I+BrB/SF,460,5,0
Hoopa A+SB/P,824,5,102
Hoopa (Unbound) Cf+DP/SB,605,15,33
Jirachi Cf+DD/AuS,512,25,4
Kangaskhan LK+Cr/St,475,25,0
Kangaskhan (Mega) LK+BkB/O,322,5,0
Keldeo (Ordinary) LK+AJ/SSw,63,30,0
Keldeo (Resolute) LK+AJ/SeS,63,30,0
Kingdra DB+Sw/S,335,15,0
Kingdra (Shadow) DB+Sw/S,280,20,0
Kyogre W+Av/T,282,5,0
Kyogre (Shadow) W+Av/T,345,5,0
Kyurem DB+G/DC,194,0,0
Landorus (Incarnate) MS+RS/EP,317,0,0
Landorus (Incarnate) (Shadow) MS+EP/FB,375,0,0
Landorus (Therian) MS+SSt/SE,317,0,0
Lapras IS+S/IB,697,0,62
Lapras (Shadow) Psy+SpA/IB,395,35,0
Latias DB+AuS/MsB,61,30,0
Latias (Shadow) DB+AuS/MsB,69,30,0
Latios DB+AuS/LrP,69,30,0
Latios (Shadow) DB+AuS/LrP,78,30,0
Lickilicky RO+BS/SB,560,0,19
Lopunny (Mega) LK+TP/SB,120,30,0
Lugia DT+Fl/A,323,15,0
Lugia (Shadow) DT+Fl/A,378,15,0
Malamar (Mega) Psy+FoP/SP,277,10,0
Mamoswine PS+ISp/HH,707,5,65
Mamoswine (Shadow) PS+HH/ISp,649,5,47
Mawile (Mega) FW+VG/IH,460,15,0
Medicham (Mega) PC+DyP/IP,147,30,0
Mesprit Cf+Sw/FS,767,5,84
Mew SC+Psh/WC,218,0,0
Mewtwo PC+Pst/SB,675,5,55
Mewtwo (Armored) Cf+Pst/DyP,424,35,0
Mewtwo (Shadow) PC+Pst/SB,624,5,39
Milotic DT+AT/Wr,309,25,0
Milotic (Shadow) DT+AT/Wr,384,25,0
Miltank RO+BS/Tb,368,30,0
Moltres FS+Fl/Ov,856,5,112
Moltres (Shadow) WA+Fl/HW,427,0,0
Mr. Rime Cf+IP/TAx,799,5,94
Musharna CB+Psh/DG,500,15,0
Necrozma SC+DP/O,489,5,0
Necrozma (Dawn Wings) SC+MoG/DP,675,5,55
Necrozma (Dusk Mane) SC+Stl/DP,681,15,57
Noivern G+Hu/HW,289,20,0
Noivern (Shadow) G+Hu/HW,480,15,0
Obstagoon C+NS/Ob,402,40,0
Obstagoon (Shadow) C+NS/CrC,294,0,0
Oinkologne MSl+BS/TBl,490,25,0
Oinkologne (Female) MSl+BS/TBl,376,30,0
Omastar MS+RS/RB,643,25,45
Omastar (Shadow) MS+RS/RB,713,5,67
Oranguru Cf+BrS/TBl,859,5,113
Palkia DB+AT/DM,286,5,0
Palkia (Shadow) DB+AT/DM,342,5,0
Pidgeot (Mega) WA+BrB/Tw,292,0,0
Pinsir (Mega) FC+XS/CC,110,30,0
Poliwrath MS+DyP/IP,217,0,0
Poliwrath (Shadow) MS+DyP/IP,80,30,0
Porygon-Z LO+TA/Bl,621,5,38
Porygon-Z (Shadow) LO+TA/Bl,563,5,20
Porygon2 LO+TA/ZC,438,5,0
Porygon2 (Shadow) LO+TA/ZC,643,5,45
Primarina Ch+DV/HC,290,0,0
Pyroar I+FmC/DP,856,10,112
Quaquaval LK+CC/AJ,258,0,0
Rayquaza DT+BkS/DrA,222,0,0
Regice LO+T/Eq,360,35,0
Regice (Shadow) LO+Bl/T,212,0,0
Regigigas HPI+CrG/T,297,20,0
Regigigas (Shadow) HPR+CrG/T,436,15,0
Relicanth WG+AT/AP,659,5,50
Reuniclus Ch+Psh/SB,713,5,67
Reuniclus (Shadow) Ch+Psh/SB,649,5,47
Salamence DT+BrS/Fl,219,0,0
Salamence (Shadow) DT+BrS/Fl,265,0,0
Samurott FC+HC/Mh,237,0,0
Samurott (Hisuian) FC+SSw/DP,252,0,0
Samurott (Shadow) FC+HC/Mh,286,0,0
Sceptile (Mega) FC+LB/DC,57,30,0
Seismitoad MS+EP/IW,617,25,37
Sharpedo (Mega) W+Cr/PF,500,0,0
Shaymin (Land) ZH+GK/SFl,914,0,130
Shaymin (Sky) ML+EB/GK,296,0,0
Skarmory (Mega) AS+SA/BrB,416,5,0
Slaking Y+BS/Eq,422,35,0
Slaking (Shadow) Y+BS/Eq,980,35,151
Slowbro Cf+S/DrP,742,25,76
Slowbro (Mega) Cf+S/DrP,368,35,0
Slowbro (Shadow) Cf+S/IB,898,5,125
Slowking Cf+S/Sc,742,25,76
