Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lugia DT+Fl/A,385,26,0
Kyogre W+Av/T,282,7,0
Mewtwo (Shadow) PC+Pst/SB,393,40,0
Lugia (Shadow) DT+Fl/A,216,40,0
Palkia DB+AT/DM,230,28,0
Mewtwo PC+Pst/SB,440,3,0
Palkia (Shadow) DB+AT/DM,230,28,0
Necrozma (Dusk Mane) SC+Stl/DP,747,3,143
Solgaleo FS+PsF/IH,393,22,0
Kyogre (Shadow) W+Av/T,222,41,0
Blastoise (Mega) RO+HC/IB,314,13,0
Kyurem DB+G/DC,360,9,0
Giratina (Altered) SC+DC/SS,581,53,47
Slowbro (Mega) Cf+S/DrP,335,8,0
Alakazam (Mega) PC+FiP/SB,448,40,0
Giratina (Altered) (Shadow) DB+DC/SS,424,17,0
Jirachi Cf+DD/AuS,522,15,13
Latios (Shadow) DB+AuS/LrP,308,13,0
Zacian (Hero) QA+WC/PR,447,5,0
Florges FW+CW/M,455,23,0
Aerodactyl (Mega) DB+RS/EP,558,2,34
Latios DB+AuS/LrP,305,28,0
Tapu Lele A+NM/Psh,686,2,108
Necrozma (Dawn Wings) SC+MoG/DP,728,90,132
Latias DB+AuS/MsB,369,3,0
Latias (Shadow) DB+AuS/MsB,305,28,0
Goodra DB+AT/TP,317,31,0
Dragonite (Shadow) DB+TP/SP,170,13,0
Sylveon FW+M/SB,631,11,76
Ho-Oh I+BrB/SF,229,40,0
Mew SC+Psh/WC,624,14,72
Zapdos TS+DrlP/HW,338,16,0
Zapdos (Shadow) TS+DrlP/HW,344,7,0
Togekiss Pk+DG/AuS,325,3,0
Gyarados DB+AT/Tw,340,25,0
Malamar (Mega) Psy+FoP/SP,419,3,0
Salamence (Shadow) DT+BrS/Fl,291,34,0
Avalugg (Hisuian) PS+RS/IW,440,27,0
Gyarados (Shadow) DB+AT/Tw,329,7,0
Baxcalibur DB+GlR/Av,517,0,10
Xurkitree TS+D/DG,343,40,0
Abomasnow (Mega) PS+IW/EB,416,15,0
Thundurus (Therian) VS+WbS/FB,370,16,0
Sceptile (Mega) FC+LB/DC,280,37,0
Dragonite DB+TP/SP,218,31,0
Rayquaza DT+BkS/DrA,222,34,0
Ho-Oh (Shadow) I+BrB/SF,330,47,0
Mewtwo (Armored) Cf+Pst/DyP,416,20,0
Golisopod FC+XS/AJ,307,6,0
Salamence DT+BrS/Fl,363,3,0
Volcanion I+Sc/EP,470,12,0
Primarina Ch+DV/HC,456,2,0
Pinsir (Mega) FC+XS/CC,157,19,0
Landorus (Therian) MS+SSt/SE,328,5,0
Enamorus (Therian) FW+Fl/M,361,3,0
Milotic DT+AT/Wr,512,0,7
Victini Cf+VC/Psh,427,31,0
Avalugg IF+Av/BS,435,33,0
Tapu Koko VS+Tb/NM,280,37,0
Snorlax (Shadow) L+BS/SP,266,20,0
Milotic (Shadow) DT+AT/Wr,484,27,0
Cetitan PS+Av/ISp,476,9,0
Pidgeot (Mega) WA+BrB/Tw,73,35,0
Ursaluna Tk+Sw/HH,257,28,0
Dondozo W+S/O,312,49,0
Empoleon (Shadow) MSo+HC/DrlP,626,0,73
Aurorus (Shadow) PS+WBI/MeB,605,0,61
Snorlax L+BS/SP,634,11,78
Cresselia PC+GK/M,415,50,0
Diancie (Mega) RTh+RS/M,557,2,33
Thundurus (Incarnate) (Shadow) TS+TP/Cr,355,40,0
Grimmsnarl SkP+FoP/PR,489,8,0
Keldeo (Resolute) LK+AJ/SeS,180,29,0
Necrozma SC+DP/O,688,8,109
Ursaluna (Shadow) Tk+Sw/HH,404,6,0
Regice (Shadow) LO+Bl/T,241,73,0
Articuno PS+TAx/AP,384,5,0
