Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lugia DT+Fl/A,180,22,0
Kyogre W+Av/T,152,17,0
Mewtwo (Shadow) PC+Pst/SB,195,11,0
Lugia (Shadow) DT+Fl/A,145,21,0
Palkia DB+AT/DM,140,8,0
Mewtwo PC+Pst/SB,192,26,0
Palkia (Shadow) DB+AT/DM,108,43,0
Necrozma (Dusk Mane) SC+Stl/DP,818,8,128
Solgaleo FS+PsF/IH,708,26,84
Kyogre (Shadow) W+Av/T,160,17,0
Blastoise (Mega) RO+HC/IB,379,5,0
Kyurem DB+G/DC,137,26,0
Giratina (Altered) SC+DC/SS,288,41,0
Slowbro (Mega) Cf+S/DrP,237,5,0
Alakazam (Mega) PC+FiP/SB,207,11,0
Giratina (Altered) (Shadow) DB+DC/SS,364,6,0
Jirachi Cf+DD/AuS,619,17,48
Latios (Shadow) DB+AuS/LrP,98,34,0
Zacian (Hero) QA+WC/PR,413,41,0
Florges FW+CW/M,413,41,0
Aerodactyl (Mega) DB+RS/EP,206,47,0
Latios DB+AuS/LrP,156,8,0
Tapu Lele A+NM/Psh,216,17,0
Necrozma (Dawn Wings) SC+MoG/DP,191,26,0
Latias DB+AuS/MsB,122,17,0
Latias (Shadow) DB+AuS/MsB,159,8,0
Goodra DB+AT/TP,368,32,0
Dragonite (Shadow) DB+TP/SP,61,34,0
Sylveon FW+M/SB,378,23,0
Ho-Oh I+BrB/SF,283,39,0
Mew SC+Psh/WC,345,5,0
Zapdos TS+DrlP/HW,266,14,0
Zapdos (Shadow) TS+DrlP/HW,290,26,0
Togekiss Pk+DG/AuS,193,21,0
Gyarados DB+AT/Tw,123,26,0
Malamar (Mega) Psy+FoP/SP,383,14,0
Salamence (Shadow) DT+BrS/Fl,59,34,0
Avalugg (Hisuian) PS+RS/IW,378,23,0
Gyarados (Shadow) DB+AT/Tw,134,26,0
Baxcalibur DB+GlR/Av,141,8,0
Xurkitree TS+D/DG,878,8,152
Abomasnow (Mega) PS+IW/EB,67,43,0
