Pokemon,Battle Rating,Energy Remaining,HP Remaining
Lugia DT+Fl/A,352,17,0
Kyogre W+Av/T,271,46,0
Mewtwo (Shadow) PC+Pst/SB,466,30,0
Lugia (Shadow) DT+Fl/A,364,1,0
Palkia DB+AT/DM,233,22,0
Mewtwo PC+Pst/SB,380,30,0
Palkia (Shadow) DB+AT/DM,274,22,0
Necrozma (Dusk Mane) SC+Stl/DP,857,1,133
Solgaleo FS+PsF/IH,316,38,0
Kyogre (Shadow) W+Av/T,214,14,0
Blastoise (Mega) RO+HC/IB,411,30,0
Kyurem DB+G/DC,208,30,0
Giratina (Altered) SC+DC/SS,594,4,35
Slowbro (Mega) Cf+S/DrP,391,1,0
Alakazam (Mega) PC+FiP/SB,466,22,0
Giratina (Altered) (Shadow) DB+DC/SS,462,17,0
Jirachi Cf+DD/AuS,559,9,22
Latios (Shadow) DB+AuS/LrP,468,30,0
Zacian (Hero) QA+WC/PR,430,46,0
Florges FW+CW/M,330,1,0
Aerodactyl (Mega) DB+RS/EP,284,46,0
Latios DB+AuS/LrP,363,30,0
Tapu Lele A+NM/Psh,803,1,113
Necrozma (Dawn Wings) SC+MoG/DP,844,22,128
Latias DB+AuS/MsB,337,30,0
Latias (Shadow) DB+AuS/MsB,406,30,0
Goodra DB+AT/TP,266,38,0
Dragonite (Shadow) DB+TP/SP,284,30,0
Sylveon FW+M/SB,391,1,0
Ho-Oh I+BrB/SF,283,46,0
Mew SC+Psh/WC,655,1,58
Zapdos TS+DrlP/HW,373,38,0
Zapdos (Shadow) TS+DrlP/HW,274,22,0
Togekiss Pk+DG/AuS,328,30,0
Gyarados DB+AT/Tw,365,22,0
Malamar (Mega) Psy+FoP/SP,255,38,0
Salamence (Shadow) DT+BrS/Fl,270,14,0
Avalugg (Hisuian) PS+RS/IW,674,1,65
Gyarados (Shadow) DB+AT/Tw,268,22,0
Baxcalibur DB+GlR/Av,280,46,0
Xurkitree TS+D/DG,306,22,0
Abomasnow (Mega) PS+IW/EB,231,46,0
Thundurus (Therian) VS+WbS/FB,488,1,0
Sceptile (Mega) FC+LB/DC,280,22,0
Dragonite DB+TP/SP,271,30,0
Rayquaza DT+BkS/DrA,329,9,0
Ho-Oh (Shadow) I+BrB/SF,294,46,0
Mewtwo (Armored) Cf+Pst/DyP,466,17,0
Golisopod FC+XS/AJ,405,30,0
Salamence DT+BrS/Fl,273,30,0
Volcanion I+Sc/EP,264,38,0
Primarina Ch+DV/HC,551,1,19
Pinsir (Mega) FC+XS/CC,302,30,0
Landorus (Therian) MS+SSt/SE,391,46,0
Enamorus (Therian) FW+Fl/M,365,30,0
Milotic DT+AT/Wr,260,46,0
Victini Cf+VC/Psh,607,1,40
Avalugg IF+Av/BS,583,1,31
Tapu Koko VS+Tb/NM,529,1,11
Snorlax (Shadow) L+BS/SP,228,9,0
Milotic (Shadow) DT+AT/Wr,268,30,0
Cetitan PS+Av/ISp,245,46,0
Pidgeot (Mega) WA+BrB/Tw,238,30,0
Ursaluna Tk+Sw/HH,261,1,0
Dondozo W+S/O,437,33,0
Empoleon (Shadow) MSo+HC/DrlP,328,83,0
Aurorus (Shadow) PS+WBI/MeB,285,38,0
Snorlax L+BS/SP,717,4,81
Cresselia PC+GK/M,580,49,30
Diancie (Mega) RTh+RS/M,216,51,0
Thundurus (Incarnate) (Shadow) TS+TP/Cr,341,22,0
Grimmsnarl SkP+FoP/PR,195,38,0
Keldeo (Resolute) LK+AJ/SeS,223,22,0
Necrozma SC+DP/O,857,1,133
Ursaluna (Shadow) Tk+Sw/HH,330,1,0
Regice (Shadow) LO+Bl/T,900,1,149
Articuno PS+TAx/AP,284,46,0
Cresselia (Shadow) PC+GK/M,580,25,30
Articuno (Shadow) PS+TAx/AP,556,1,21
Empoleon MSo+HC/FC,306,46,0
Urshifu (Rapid Strike) W+DyP/AJ,551,1,19
Kangaskhan (Mega) LK+BkB/O,197,30,0
Keldeo (Ordinary) LK+AJ/SSw,223,22,0
Altaria (Mega) DB+Ft/M,543,33,16
Feraligatr (Shadow) SC+HC/IB,586,1,32
Lopunny (Mega) LK+TP/SB,117,14,0
Mamoswine PS+ISp/HH,269,30,0
Thundurus (Incarnate) TS+Cr/T,338,46,0
Mamoswine (Shadow) PS+HH/ISp,325,30,0
Feraligatr SC+HC/IB,631,1,49
Tapu Fini WG+NM/S,615,1,43
Tapu Bulu BS+GK/NM,760,1,97
Samurott FC+HC/Mh,314,38,0
Samurott (Shadow) FC+HC/Mh,337,30,0
Enamorus (Incarnate) FW+Fl/DG,328,30,0
Swampert MS+HC/Eq,586,1,32
Armarouge I+Psh/HW,387,30,0
Glalie (Mega) PS+Av/SB,334,46,0
Hoopa (Unbound) Cf+DP/SB,251,22,0
Tornadus (Therian) A+BwS/Hu,408,41,0
Banette (Mega) SC+SB/T,844,22,128
Celebi Cf+SeB/LfS,607,1,40
Regigigas HPI+CrG/T,255,33,0
Skarmory (Mega) AS+SA/BrB,577,1,29
Zapdos (Galarian) LK+Fl/BrB,333,30,0
Walrein (Shadow) PS+ISp/WP,286,83,0
Landorus (Incarnate) MS+RS/EP,288,38,0
Articuno (Galarian) PC+AP/BrB,456,46,0
Barbaracle FC+SE/CrC,300,38,0
Regice LO+T/Eq,653,4,57
Suicune IF+Sc/IB,543,4,16
Walrein PS+ISp/WP,540,1,15
Vaporeon WG+AT/LR,453,1,0
Hoopa A+SB/P,846,51,129
Hoopa (Confined) A+SB/P,846,51,129
