Pokemon,Battle Rating,Energy Remaining,HP Remaining
Kyogre (Primal) W+Av/T,292,0,0
Mewtwo (Mega Y) PC+Pst/Tb/FS+,104,25,0
Mewtwo (Mega X) PC+Pst/Tb/DyP+,118,15,0
Gyarados (Mega) DB+AT/Cr,591,0,38
Dragonite (Mega) DB+TP/SP/O+,202,0,0
Rayquaza (Mega) DT+BkS/DrA,206,0,0
Garchomp (Mega) DT+EP/Tw,199,25,0
Tyranitar (Mega) DB+BrS/SE,653,10,64
Groudon (Primal) DT+PrB/FiP,292,0,0
Metagross (Mega) SC+MM/Eq,328,0,0
Chesnaught (Mega) LK+TP/SP/SeB+,384,0,0
Latios (Mega) DB+AuS/LrP,313,0,0
Latias (Mega) DB+AuS/MsB,264,0,0
Delphox (Mega) Scr+BB/Psh/MFP,129,25,0
Heracross (Mega) FC+RT/UH,345,20,0
Salamence (Mega) DT+Fl/BrS,128,35,0
Dialga (Origin) DB+ROT/IH,766,0,111
Swampert (Mega) MS+HC/Eq,241,35,0
Aggron (Mega) MSo+BkB/MeB,697,0,82
Palkia (Shadow) DB+AT/DM,509,0,4
Palkia (Origin) DB+AT/SpR,342,0,0
Scizor (Mega) FC+NS/TBl,612,10,47
Dialga DB+IH/DM,766,0,111
Xerneas Geo+CC/M,166,35,0
Gallade (Mega) LK+SSw/LB,285,0,0
Zygarde (Complete Forme) DT+Cr/Bd,352,40,0
Charizard (Mega Y) DB+BB/AC,145,25,0
Dialga (Shadow) DB+IH/DM,745,0,102
Keldeo (Resolute) LK+SeS/AJ,576,0,32
Melmetal TS+DbI/DyP,694,0,81
Ursaluna (Shadow) Scr+TP/HH,500,0,0
Lugia DT+A/EP,207,30,0
Gengar (Mega) SC+ShP/SB,320,0,0
Kyurem (White) DB+FuF/IBu,463,0,0
Zacian (Crowned Sword) MC+CC/BB,497,10,0
Metagross SC+MM/Eq,404,0,0
Zekrom DB+O/FuB,342,0,0
Ursaluna Scr+TP/HH,500,0,0
Necrozma (Dusk Mane) SC+DP/Stl,646,10,61
Florges FW+M/CW,193,0,0
Gyarados (Shadow) DB+AT/Tw,378,20,0
Zamazenta (Crowned Shield) IF+CC/BB,766,0,111
Reshiram DB+FuF/DM,342,0,0
Keldeo (Ordinary) LK+AJ/SSw,576,0,32
Marshadow SC+CC/IP,217,0,0
Reshiram (Shadow) DB+FuF/DM,402,0,0
Tyranitar (Shadow) DB+BrS/SE,834,60,139
Lugia (Shadow) DT+A/EP,228,30,0
Aerodactyl (Mega) DB+BrS/RS,620,0,50
Yveltal SkP+DP/ObW,429,10,0
Hydreigon (Shadow) DB+BrS/Fl,399,25,0
Kingambit LK+FoP/IH,853,70,147
Latios (Shadow) DB+AuS/LrP,415,0,0
Ampharos (Mega) VS+TP/DgP,555,0,23
Kyurem (Black) DT+FSh/FuB,463,0,0
Kyogre W+Av/OP,445,0,0
Kyurem DB+G/DC,548,0,20
Palkia DB+AT/FiB,598,0,41
Tyranitar DB+BrS/SE,766,70,111
Greninja (Mega) WSh+HC/BrS/S+,591,0,38
Lunala SC+SB/M,316,10,0
Necrozma (Dawn Wings) SC+DP/MoG,358,20,0
Blastoise (Mega) RO+HC/IB,646,10,61
Garchomp (Shadow) DT+Tw/EP,392,0,0
Gardevoir (Mega) Ch+TAx/SB,116,35,0
Rillaboom Scr+DrB/EP,442,10,0
Starmie (Mega) Psy+IB/PG/Li+,149,25,0
Hydreigon DB+BrS/Fl,335,25,0
Urshifu (Single Strike) SkP+DyP/Pbk,795,0,123
Eternatus DT+DyC/Ft,232,10,0
Metagross (Shadow) SC+MM/Eq,479,0,0
Zarude Bi+DP/EB,663,0,68
Kartana FC+LB/SSw,875,60,156
Lucario (Mega) FPm+MM/AuS,709,70,87
Sylveon FW+DK/SB,201,0,0
Raichu (Mega X) VS+BkB/TBl/VT+,295,35,0
Garchomp DT+Tw/EP,321,0,0
Dragonite (Shadow) DB+TP/SP,297,25,0
Gyarados DB+AT/Cr,358,10,0
Kangaskhan (Mega) LK+BkB/Cr,697,0,82
Kyogre (Shadow) W+Av/OP,670,0,71
Togekiss Pk+DG/AuS,171,0,0
Raichu (Mega Y) VS+BkB/TBl/ZC+,721,0,92
Giratina (Altered) (Shadow) DB+DC/SS,268,30,0
Sceptile (Mega) FC+LB/DC,576,10,32
Primarina W+M/HC,345,0,0
Landorus (Therian) MS+SSt/SE,290,30,0
Tapu Lele A+Psh/NM,248,0,0
Goodra DB+AT/DM,336,0,0
Charizard (Mega X) DB+BB/AC,375,0,0
Pinsir (Mega) FC+CC/XS,281,20,0
Mewtwo (Shadow) PC+Pst/SB,158,25,0
Houndoom (Mega) I+FoP/TBl,593,0,39
Darkrai (Shadow) SkP+FoP/SB,802,70,126
Groudon DT+FiP/PrB,445,0,0
Gholdengo H+SB/FB,398,20,0
Giratina (Altered) DB+DC/SS,368,15,0
Blaziken (Mega) E+BB/AuS,264,15,0
Slowbro (Mega) Cf+S/DrP,247,20,0
Tapu Fini WG+S/NM,385,20,0
Golisopod FC+AJ/XS,359,20,0
Enamorus (Therian) FW+MF/M,168,0,0
Genesect (Shock) FC+MgB/TBS,533,0,14
Latias (Shadow) DB+AuS/MsB,386,10,0
Salamence (Shadow) DT+Fl/BrS,201,35,0
Dragonite DB+TP/SP,337,10,0
Latios DB+AuS/LrP,380,10,0
Solgaleo FS+PsF/IH,405,20,0
Enamorus (Incarnate) FW+Fl/DG,113,15,0
Latias DB+AuS/MsB,331,10,0
Raikou (Shadow) TS+WC/AuS,504,0,2
Baxcalibur DB+GlR/Av,795,0,123
Abomasnow (Mega) PS+WBI/EB,680,0,75
Conkeldurr (Shadow) FPm+DyP/BrS,500,0,0
Annihilape (Shadow) C+RF/IP,283,20,0
Urshifu (Rapid Strike) W+AJ/DyP,524,0,10
Mewtwo PC+Pst/SB,143,25,0
Zapdos TS+DrlP/Tb,346,20,0
Falinks (Mega) C+SP/Mh/BkB+,337,0,0
Malamar (Mega) Psy+FoP/SP/Psb+,321,0,0
Skarmory (Mega) AS+BrB/FC/DrP+,384,0,0
Kommo-o DT+ClS/UH,490,0,0
Steelix (Mega) DT+PsF/Eq,706,0,86
Annihilape C+RF/IP,239,20,0
Genesect (Chill) FC+MgB/TBC,533,0,14
Altaria (Mega) DB+M/SA,274,0,0
