Pokemon,Battle Rating,Energy Remaining,HP Remaining
Kyogre (Primal) W+Av/T,210,8,0
Mewtwo (Mega Y) PC+Pst/Tb/FS+,305,10,0
Mewtwo (Mega X) PC+Pst/Tb/DyP+,313,10,0
Gyarados (Mega) DB+AT/Cr,314,22,0
Dragonite (Mega) DB+TP/SP/O+,360,8,0
Rayquaza (Mega) DT+BkS/DrA,137,48,0
Garchomp (Mega) DT+EP/Tw,131,48,0
Tyranitar (Mega) DB+BrS/SE,370,22,0
Groudon (Primal) DT+PrB/FiP,210,8,0
Metagross (Mega) SC+MM/Eq,389,46,0
Chesnaught (Mega) LK+TP/SP/SeB+,250,32,0
Latios (Mega) DB+AuS/LrP,427,8,0
Latias (Mega) DB+AuS/MsB,343,8,0
Delphox (Mega) Scr+BB/Psh/MFP,615,22,49
Heracross (Mega) FC+RT/UH,343,32,0
Salamence (Mega) DT+Fl/BrS,420,32,0
Dialga (Origin) DB+ROT/IH,475,10,0
Swampert (Mega) MS+HC/Eq,320,10,0
Aggron (Mega) MSo+BkB/MeB,593,8,40
Palkia (Shadow) DB+AT/DM,802,8,129
Palkia (Origin) DB+AT/SpR,461,8,0
Scizor (Mega) FC+NS/TBl,347,34,0
Dialga DB+IH/DM,497,10,0
Xerneas Geo+CC/M,276,22,0
Gallade (Mega) LK+SSw/LB,331,20,0
Zygarde (Complete Forme) DT+Cr/Bd,486,16,0
Charizard (Mega Y) DB+BB/AC,360,32,0
Dialga (Shadow) DB+IH/DM,339,8,0
Keldeo (Resolute) LK+SeS/AJ,353,32,0
Melmetal TS+DbI/DyP,673,6,74
Ursaluna (Shadow) Scr+TP/HH,528,4,12
Lugia DT+A/EP,323,4,0
Gengar (Mega) SC+ShP/SB,563,10,27
Kyurem (White) DB+FuF/IBu,426,8,0
Zacian (Crowned Sword) MC+CC/BB,398,46,0
Metagross SC+MM/Eq,589,6,38
Zekrom DB+O/FuB,442,8,0
Ursaluna Scr+TP/HH,603,6,44
Necrozma (Dusk Mane) SC+DP/Stl,483,34,0
Florges FW+M/CW,285,34,0
Gyarados (Shadow) DB+AT/Tw,417,32,0
Zamazenta (Crowned Shield) IF+CC/BB,349,10,0
Reshiram DB+FuF/DM,788,10,123
Keldeo (Ordinary) LK+AJ/SSw,353,32,0
Marshadow SC+CC/IP,416,22,0
Reshiram (Shadow) DB+FuF/DM,802,8,129
Tyranitar (Shadow) DB+BrS/SE,680,10,77
Lugia (Shadow) DT+A/EP,247,32,0
Aerodactyl (Mega) DB+BrS/RS,516,4,7
Yveltal SkP+DP/ObW,624,4,53
Hydreigon (Shadow) DB+BrS/Fl,699,8,85
Kingambit LK+FoP/IH,669,6,72
Latios (Shadow) DB+AuS/LrP,802,8,129
Ampharos (Mega) VS+TP/DgP,931,20,184
Kyurem (Black) DT+FSh/FuB,426,8,0
Kyogre W+Av/OP,258,8,0
Kyurem DB+G/DC,389,8,0
Palkia DB+AT/FiB,645,20,62
Tyranitar DB+BrS/SE,654,34,66
Greninja (Mega) WSh+HC/BrS/S+,490,22,0
Lunala SC+SB/M,516,6,7
Necrozma (Dawn Wings) SC+DP/MoG,330,32,0
Blastoise (Mega) RO+HC/IB,270,8,0
Garchomp (Shadow) DT+Tw/EP,500,20,0
Gardevoir (Mega) Ch+TAx/SB,324,10,0
